asset,sector,weight,benchmark_weight,active_weight
BRK-B,Financials,0.21713538166424579,0.0,0.21713538166424579
MSFT,Information Technology,0.1203363366262288,0.04996358896072152,0.07037274766550727
V,Financials,0.10566673942566504,0.010058034883468722,0.09560870454219632
AAPL,Information Technology,0.07721550499725474,0.06220292512399854,0.015012579873256202
GRMN,Consumer Discretionary,0.05260816989348107,0.0007703636497912049,0.05183780624368987
ROP,Information Technology,0.04912107146260518,0.0006502280110383643,0.04847084345156681
AME,Industrials,0.03968015910014678,0.0008399849098065547,0.03884017419034023
HD,Consumer Discretionary,0.03735047371251438,0.005857027811805249,0.031493445900709134
TXN,Information Technology,0.03559843967720731,0.0028857478656937833,0.032712691811513525
ADP,Industrials,0.03267433981924381,0.0015042037751235387,0.03117013604412027
CBRE,Real Estate,0.023458651681306782,0.0006693435104837024,0.02278930817082308
ADBE,Information Technology,0.023399185315400483,0.001951556285925189,0.021447629029475293
APTV,Consumer Discretionary,0.022714557648483305,0.00025822172526729115,0.022456335923216015
PAYX,Industrials,0.022394893975591457,0.0005950808959748005,0.021799813079616658
PPG,Materials,0.022232283328518867,0.0003919915237927935,0.021840291804726072
AMP,Financials,0.02095392181131346,0.0007099661855087075,0.020243955625804753
SPGI,Financials,0.020948224572435174,0.00225156802710195,0.018696656545333222
ITW,Industrials,0.013634144616908688,0.001313014577317975,0.012321130039590712
QCOM,Information Technology,0.013317840495970321,0.002381608768124529,0.010936231727845792
CTAS,Industrials,0.012727579858866635,0.001345011947943894,0.011382567910922741
FAST,Industrials,0.012310071093288064,0.0008769814235352773,0.011433089669752787
TDG,Industrials,0.008691442823674702,0.0012017174079504622,0.00748972541572424
INTU,Information Technology,0.0066263718557659215,0.002200981134564654,0.0044253907212012675
FFIV,Information Technology,0.006450019005512434,0.00026728717900507254,0.006182731826507361
KKR,Financials,0.00023470554693757838,0.001390205618204516,-0.0011555000712669377
ADI,Information Technology,0.00010831865366673431,0.0025343835616627513,-0.002426064907996017
BEN,Financials,0.00010173405855639954,0.00022489101303878358,-0.00012315695448238405
BX,Financials,0.0001009492457318222,0.0022314727497413267,-0.0021305235040095043
TEL,Information Technology,0.00010084923483035583,0.0009932452832186799,-0.000892396048388324
APH,Information Technology,0.00010079199226211157,0.0026645192371864677,-0.002563727244924356
DOV,Industrials,0.0001007461230254255,0.0004698837333990829,-0.0003691376103736574
ADSK,Information Technology,0.00010066721833883874,0.0009095042330596903,-0.0008088370147208515
MCO,Financials,0.00010066129524577373,0.001375523896609463,-0.0012748626013636892
BLK,Financials,0.00010064097169524098,0.0024428645480244027,-0.0023422235763291615
MSCI,Financials,0.00010062371362593065,0.0007030867333184821,-0.0006024630196925514
MA,Financials,0.00010035468927312308,0.007662601228118981,-0.007562246538845858
SWKS,Information Technology,0.00010032258771777079,0.00013541860377225162,-3.509601605448083e-05
ROK,Industrials,0.00010032021736295523,0.0006835049102172023,-0.0005831846928542471
ACN,Information Technology,0.00010031337686864484,0.002191656277352222,-0.0020913429004835774
CZR,Consumer Discretionary,0.00010031049703119651,8.85745207746572e-05,1.1735976256539309e-05
NXPI,Information Technology,0.00010025658091464676,0.0008379729043473422,-0.0007377163234326955
TRMB,Information Technology,0.00010024495002672077,0.0002740765107486507,-0.00017383156072192996
PNR,Industrials,0.00010020789404054133,0.00024793000055843464,-0.0001477221065178933
AMAT,Information Technology,0.00010019593160626178,0.0042363111254240466,-0.004136115193817785
MCHP,Information Technology,0.00010018333145880729,0.0005755577168100389,-0.00047537438535123164
TER,Information Technology,0.00010017867688398944,0.000702678649622458,-0.0006024999727384686
TROW,Financials,0.00010016798884976411,0.00032429615489129826,-0.00022412816604153415
ON,Information Technology,0.0001001563515806426,0.000376151567619147,-0.00027599521603850443
MAS,Industrials,0.00010015607952595393,0.0002130612820820673,-0.00011290520255611337
IVZ,Financials,0.00010013833131377756,0.0001726263383498257,-7.248800703604814e-05
