asset,sector,weight,benchmark_weight
AAPL,Information Technology,0.07429428149680724,0.12292735359693868
MSFT,Information Technology,0.06761244421068816,0.09873959713153602
GOOG,Communication Services,0.03852511629378991,0.11722322644796056
KMI,Energy,0.03787943145778733,0.0024269211164863295
C,Financials,0.03643929739576236,0.006053738938886221
TXN,Information Technology,0.0345934773968575,0.005702904607309044
TT,Industrials,0.03184496326158761,0.0030478855302250633
HD,Consumer Discretionary,0.029707787293498752,0.01157484036986403
COST,Consumer Staples,0.028166632722954183,0.014394559015178797
AMZN,Consumer Discretionary,0.027141325484675762,0.07432001653478028
IQV,Health Care,0.025388806095610665,0.0009653125417087415
COP,Energy,0.02415545264259854,0.004648577646404272
GPN,Financials,0.022706694536583562,0.0006946739764182781
GPC,Consumer Discretionary,0.02263117019684355,0.0005220352055569939
MRK,Health Care,0.02209374854435532,0.009299746208283112
MCD,Consumer Discretionary,0.021979801025833856,0.007604900553743213
PM,Consumer Staples,0.02171503793889773,0.008595670782643961
NOC,Industrials,0.021287301117770677,0.0035056150839059804
JPM,Financials,0.020487238046099046,0.025362233139684984
BKNG,Consumer Discretionary,0.018043848390749125,0.004764824487313663
TRV,Financials,0.017743962764273636,0.002219587469953402
ADM,Consumer Staples,0.017658944266131522,0.0010542111334643136
TSLA,Consumer Discretionary,0.017498306725020875,0.04836047838266941
MNST,Consumer Staples,0.01717411971750901,0.002402818896423505
AVGO,Information Technology,0.016759593643192246,0.050895986161148175
ABT,Health Care,0.016295568244829285,0.006184509915454096
MPWR,Information Technology,0.01617834892734761,0.0016325517809360978
ORCL,Information Technology,0.015813229744354663,0.014281083517095223
LLY,Health Care,0.015171109145839625,0.028793522799557988
ACN,Information Technology,0.014831161647050435,0.004331219241409662
CCI,Real Estate,0.01482870497039057,0.001281008247454677
WMT,Consumer Staples,0.014410400787518929,0.03206395216169647
SNPS,Information Technology,0.013891748769741141,0.002721954697109841
D,Utilities,0.013615125511342887,0.0018053338558219358
CME,Financials,0.013563991013677786,0.0037033339218834277
VZ,Communication Services,0.01342976772900928,0.007004024250677577
NVDA,Information Technology,0.013147474059504663,0.14044868667521307
ABBV,Health Care,0.01251744468061595,0.013217277467323962
BAX,Health Care,0.012240714199870323,0.00029565659387232007
CB,Financials,0.012146543571234446,0.004193314465424495
BRK-B,Financials,0.01126671564615265,0.005702904607309044
NFLX,Communication Services,0.010762370572848907,0.013644731684029198
PFE,Health Care,0.010491328578425196,0.004996631054942291
META,Communication Services,0.00835368629722322,0.052989812041642714
COO,Health Care,0.00833938723701194,0.0004873436896129454
MA,Financials,0.007602270587269842,0.015143070663696278
CPB,Consumer Staples,0.0059756549110861,0.00024987009314703286
NEM,Materials,0.005708746443951915,0.004122441909949707
OXY,Energy,0.004860805300276927,0.001736185871806981
PG,Consumer Staples,0.0010289187575474614,0.01166186383444595
