asset,sector,weight,benchmark_weight,active_weight
MSFT,Information Technology,0.06906624149819333,0.04996358896072152,0.019102652537471815
GOOG,Communication Services,0.06064550932381476,0.05931655863547039,0.00132895068834437
AAPL,Information Technology,0.055173467990060655,0.06220292512399854,-0.0070294571339378845
TMUS,Communication Services,0.02791282370125511,0.0040737514799841935,0.023839072221270914
BAC,Financials,0.02764184420479816,0.005838615635621529,0.02180322856917663
NVDA,Information Technology,0.02486181002629444,0.0710689597180084,-0.04620714969171397
DUK,Utilities,0.024617645894003587,0.001693757944967669,0.022923887949035916
PG,Consumer Staples,0.023454537872704052,0.005901062877175393,0.01755347499552866
ORLY,Consumer Discretionary,0.02138574962748138,0.001312599154713707,0.02007315047276767
KO,Consumer Staples,0.020824269727363766,0.005447437013743262,0.015376832713620503
ISRG,Health Care,0.020334744042815094,0.002861347140382994,0.0174733969024321
TXN,Information Technology,0.020161179219021497,0.0028857478656937833,0.017275431353327715
TSLA,Consumer Discretionary,0.019815684113677883,0.02447106463921183,-0.004655380525533947
META,Communication Services,0.01932869118202901,0.026813570896259357,-0.007484879714230348
DIS,Communication Services,0.018909153302647832,0.002959958905856677,0.015949194396791155
AMZN,Consumer Discretionary,0.018361341731115182,0.03760694661080215,-0.019245604879686965
V,Financials,0.017776431152944763,0.010058034883468722,0.007718396269476041
LOW,Consumer Discretionary,0.016534576093642582,0.0023226365332888947,0.014211939560353687
NFLX,Communication Services,0.0160219915686114,0.006904421175954246,0.009117570392657155
ADI,Information Technology,0.015452561344629103,0.0025343835616627513,0.012918177782966351
AVGO,Information Technology,0.01527078204657866,0.025754066313624827,-0.010483284267046167
CB,Financials,0.015133183346512816,0.002121874571297007,0.01301130877521581
CVX,Energy,0.01509944862086266,0.006242392402447899,0.00885705621841476
RTX,Industrials,0.015065425195623315,0.004628212326781893,0.010437212868841422
NKE,Consumer Discretionary,0.014452372687625614,0.001387299545198776,0.013065073142426838
HCA,Health Care,0.01364294129722136,0.0019585394254428975,0.011684401871778462
USB,Financials,0.013141937722901243,0.0013374993297616856,0.011804438393139558
PLD,Real Estate,0.01297713626473114,0.00205576447390564,0.0109213717908255
CI,Health Care,0.012655042194338783,0.0011927203104199714,0.01146232188391881
SHW,Materials,0.012422960031328159,0.0013435631531953302,0.011079396878132829
JNJ,Health Care,0.01169280119401621,0.009523098764412754,0.002169702429603456
QCOM,Information Technology,0.011659313314583046,0.002381608768124529,0.009277704546458517
WMB,Energy,0.011440375392213858,0.0014907296742465005,0.009949645717967357
CAT,Industrials,0.010912948038185,0.005237876576049504,0.005675071462135497
WM,Industrials,0.010674338006470715,0.0016313049130825292,0.009043033093388185
DHR,Health Care,0.010350784112531604,0.0022724626394962635,0.00807832147303534
IBM,Information Technology,0.010025587834597095,0.003991278041068406,0.00603430979352869
PFE,Health Care,0.009693512456532896,0.0025283637716785705,0.007165148684854326
ITW,Industrials,0.009597422396635042,0.001313014577317975,0.008284407819317066
UNH,Health Care,0.0093771935466796,0.004274350370088312,0.005102843176591288
MSI,Information Technology,0.009039610102822027,0.001261471472167095,0.0077781386306549315
PWR,Industrials,0.008641334362568646,0.0013285550185070044,0.007312779344061641
APH,Information Technology,0.008190933519813653,0.0026645192371864677,0.005526414282627186
AON,Financials,0.008144795101395276,0.0012033649591865138,0.006941430142208762
TT,Industrials,0.00798827627428988,0.0015422718367853125,0.006446004437504567
MCD,Consumer Discretionary,0.0079667591779415,0.0038481838734688635,0.004118575304472637
CMCSA,Communication Services,0.007391564170296033,0.0019113385301128367,0.005480225640183196
GLW,Information Technology,0.007284437132748092,0.0017387369689945136,0.005545700163753579
CSCO,Information Technology,0.0070873670896305935,0.00510747131347433,0.001979895776156263
JPM,Financials,0.006972795837291008,0.012833637451742127,-0.005860841614451119
WFC,Financials,0.006786430198396518,0.004149655990056738,0.00263677420833978
CL,Consumer Staples,0.006502153163225131,0.0012327208614800757,0.005269432301745055
