asset,sector,weight,benchmark_weight
AAPL,Information Technology,0.07152471604444606,0.08129817637035958
MSFT,Information Technology,0.06512523101135471,0.06530156997163059
GOOG,Communication Services,0.032976742154038514,0.07752574394236554
AMZN,Consumer Discretionary,0.029566342910592625,0.04915164636101851
BAC,Financials,0.029418413469797736,0.007630972382042624
ISRG,Health Care,0.026851989170225077,0.0037397325610002956
TMO,Health Care,0.02653807025861562,0.004006205202354908
PM,Consumer Staples,0.025512217352489222,0.00568475883406912
WMB,Energy,0.022752131615580144,0.0019483585978605838
UNH,Health Care,0.022211702022131668,0.0055865040038460085
SPG,Real Estate,0.021588789831722643,0.001360165520785772
MA,Financials,0.02027268033964269,0.010014890856941518
NVDA,Information Technology,0.019949088471796658,0.09288593438483651
CSCO,Information Technology,0.019294977113936438,0.006675379056879575
CB,Financials,0.018031377004424882,0.002773254357238115
TSLA,Consumer Discretionary,0.017773573465028728,0.031983269678125814
HON,Industrials,0.017134196404816653,0.0034063902597756355
LIN,Materials,0.015994385872120008,0.004825856430916466
AVGO,Information Technology,0.015545279680687132,0.03366013127590383
TJX,Consumer Discretionary,0.015482737748635024,0.0038096392229093525
PEP,Consumer Staples,0.014936627557893814,0.004683403857992129
PG,Consumer Staples,0.014225899134504881,0.007712589875875399
META,Communication Services,0.013312637640508293,0.03504488593579352
BLK,Financials,0.013296804512323644,0.0031927828551195333
PFE,Health Care,0.013271969600707591,0.0033045289016327643
LLY,Health Care,0.013055806335047677,0.0190426363733314
TMUS,Communication Services,0.012911409246278857,0.005324324630209268
ABBV,Health Care,0.012884981187764825,0.008741264846534879
GOOGL,Communication Services,0.012577023307135553,0.07757252813511112
NOC,Industrials,0.012333527041414476,0.002318443414249819
LOW,Consumer Discretionary,0.012271122884271447,0.003035646863087955
NFLX,Communication Services,0.011517210672397984,0.009023962287609716
C,Financials,0.01141784235787645,0.004003648671778955
SBUX,Consumer Discretionary,0.010997654034542675,0.00242294982939572
CAT,Industrials,0.01094096300094046,0.006845816540572271
MRK,Health Care,0.010179929051549751,0.006150400096625944
LRCX,Information Technology,0.010147494806810669,0.005378828045800864
COP,Energy,0.009507268742498317,0.0030743432955356253
NKE,Consumer Discretionary,0.009329488880348524,0.0018131771597438286
ORCL,Information Technology,0.009273630188571021,0.009444814457972323
ETN,Industrials,0.00876232883246907,0.0029084831385136844
IBM,Information Technology,0.008761709438566872,0.0052165332334304215
AMAT,Information Technology,0.008715099050732625,0.005536787351203935
XOM,Energy,0.008421877682233748,0.013536126468162405
D,Utilities,0.007980214898446848,0.001193960057899173
FCX,Materials,0.007894491796268156,0.0018328486822232072
MO,Consumer Staples,0.007840836539484796,0.0023986546930680093
SPGI,Financials,0.00739723227202034,0.0029427615214605864
DIS,Communication Services,0.007278290331898558,0.0038686164790104308
GILD,Health Care,0.006963736904032946,0.0038395097641741155
PLD,Real Estate,0.006940544717980145,0.0026868495724651975
NEM,Materials,0.006397858834025345,0.0027263826940467023
UNP,Industrials,0.006297843209816507,0.003239500521047146
MS,Financials,0.0060851986045524446,0.005467383336363922
INTC,Information Technology,0.005674768598332446,0.004659677015567058
SRE,Utilities,0.005508028927906974,0.0013000761404447481
AXP,Financials,0.0054772232243840285,0.0044545846916162965
MCD,Consumer Discretionary,0.005473658297482673,0.005029511564403009
MU,Information Technology,0.005359505610412525,0.008954014090438651
RTX,Industrials,0.005220704075222399,0.006048995626365158
HD,Consumer Discretionary,0.005215611742304409,0.0076550367864699435
COST,Consumer Staples,0.005177582141690687,0.009519861636545461
WFC,Financials,0.0051651299542766664,0.005423530547533608
TT,Industrials,0.004837598935114437,0.002015723336934139
PH,Industrials,0.004802108691471053,0.002504791367247715
CRM,Information Technology,0.004721924535812177,0.004068575678165774
ECL,Materials,0.004642752676942682,0.0017201779481396844
MAR,Consumer Discretionary,0.004630150028082145,0.001843369599289152
DE,Industrials,0.004541399807604886,0.0034224256868606046
WMT,Consumer Staples,0.0045369586796308375,0.02120553938319948
SHW,Materials,0.004414606317552818,0.001756014431402497
BKNG,Consumer Discretionary,0.004352235143748357,0.0031512233055432932
GE,Industrials,0.00417275691384658,0.007322193612376869
CVX,Energy,0.004169681502488667,0.008158701821426159
PGR,Financials,0.004139420483954515,0.0026509217468253425
KO,Consumer Staples,0.0040160645125562715,0.007119708506101459
AMD,Information Technology,0.0031644434429958816,0.006740737959592526
WM,Industrials,0.0030970052359555033,0.0021320880693832607
BA,Industrials,0.002049579928187734,0.003899378268439632
WELL,Real Estate,0.0020190537816185627,0.003062411411539526
GD,Industrials,0.001822055149020833,0.0021115321626174874
SCHW,Financials,0.001006282072470289,0.003635472013485856
DLR,Real Estate,0.0005094810881809376,0.0013241024415490822
AMT,Real Estate,0.0003716203444257375,0.0018967739144093985
VZ,Communication Services,0.00037100307385689587,0.0046321211851748645
AMGN,Health Care,0.0002684098444719799,0.004279647319876927
GS,Financials,0.00010000000000000022,0.005292952835618546
JPM,Financials,0.00010000000000000022,0.016773348181699056
ABT,Health Care,0.00010000000000000015,0.0040901342391165395
SYK,Health Care,0.0001000000000000001,0.0029972960884986884
V,Financials,0.00010000000000000005,0.013145682333514442
LMT,Industrials,0.00010000000000000003,0.0033396029664421118
SO,Utilities,0.0001,0.0023442959469059483
BX,Financials,9.999999999999999e-05,0.0029164973321187107
T,Communication Services,9.999999999999998e-05,0.0043621493739929695
DUK,Utilities,9.999999999999998e-05,0.0022137131310815713
JNJ,Health Care,9.999999999999996e-05,0.012446529827949889
AEP,Utilities,9.999999999999995e-05,0.0015323114941222838
EQIX,Real Estate,9.999999999999995e-05,0.001978343185098995
NEE,Utilities,9.999999999999994e-05,0.004074270936973281
