asset,sector,weight,benchmark_weight,active_weight
AAPL,Information Technology,0.07132071854045706,0.06220292512399854,0.00911779341645852
ROP,Information Technology,0.06949814252830366,0.0006502280110383643,0.0688479145172653
MSFT,Information Technology,0.06490054638825044,0.04996358896072152,0.014936957427528916
HD,Consumer Discretionary,0.06199134423150525,0.005857027811805249,0.0561343164197
JNJ,Health Care,0.05851089970035522,0.009523098764412754,0.04898780093594247
NWSA,Communication Services,0.05624275866313117,0.00023197277334411007,0.056010785889787064
META,Communication Services,0.05045105905416675,0.026813570896259357,0.02363748815790739
GOOGL,Communication Services,0.049393033993580845,0.059352354194095014,-0.009959320200514168
NVDA,Information Technology,0.04571394716374938,0.0710689597180084,-0.025355012554259024
BRO,Financials,0.03563262114551638,0.00041249845330941243,0.035220122692206965
COST,Consumer Staples,0.033553827826784996,0.0072838440787554954,0.0262699837480295
AMP,Financials,0.02949415337104753,0.0007099661855087075,0.028784187185538823
PPL,Utilities,0.02625802066523814,0.00047608743373068,0.02578193323150746
COP,Energy,0.02546858613711912,0.002352243978345754,0.023116342158773364
AIG,Financials,0.025447880981049054,0.0006982047434298484,0.024749676237619204
RTX,Industrials,0.02220783828272005,0.004628212326781893,0.017579625955938157
STT,Financials,0.02213464693347126,0.0005557304779239038,0.021578916455547357
LYB,Materials,0.020530946413664555,0.0003553999292767238,0.02017554648438783
PEP,Consumer Staples,0.02015856003681446,0.0035833696708889875,0.016575190365925474
BSX,Health Care,0.01934755739343842,0.0017403610895877313,0.017607196303850686
KLAC,Information Technology,0.01908601324982876,0.0029039693649220272,0.016182043884906735
NSC,Industrials,0.017186522744141574,0.0011179282172465697,0.016068594526895005
TSLA,Consumer Discretionary,0.016986119430792077,0.02447106463921183,-0.0074849452084197535
RMD,Health Care,0.01542817946465317,0.0006067291572760625,0.014821450307377108
REG,Real Estate,0.01478829628719546,0.00024146120741506212,0.014546835079780397
ETN,Industrials,0.014771490737858946,0.002225340923579917,0.012546149814279029
APA,Energy,0.014006596252229086,0.0001921989373187255,0.01381439731491036
STZ,Consumer Staples,0.010544673977327137,0.0004191574352698686,0.010125516542057268
AVGO,Information Technology,0.010166362972475435,0.025754066313624827,-0.015587703341149391
BBY,Consumer Discretionary,0.010102910913347609,0.0002302869116604363,0.009872624001687173
TXT,Industrials,0.009292128893338398,0.0002718567939873042,0.009020272099351094
ADBE,Information Technology,0.00821151915474951,0.001951556285925189,0.0062599628688243215
CRL,Health Care,0.004960563871522337,0.00014117289696805648,0.004819390974554281
ORCL,Information Technology,0.004869603201055132,0.007226423922019307,-0.0023568207209641754
PWR,Industrials,0.00405373752970821,0.0013285550185070044,0.002725182511201206
USB,Financials,0.0032843543367324576,0.0013374993297616856,0.001946855006970772
RCL,Consumer Discretionary,0.003088876269036034,0.0012465810293284063,0.0018422952397076275
ABBV,Health Care,0.0019900435739502783,0.006688123485833668,-0.00469807991188339
AMD,Information Technology,0.001987852836259608,0.005157478768907521,-0.003169625932647913
ENPH,Information Technology,0.001985400048879502,8.669495231100301e-05,0.001898705096568499
NOW,Information Technology,0.0017034327735392129,0.0021565880112675243,-0.00045315523772831144
MOS,Materials,0.0017010438349793543,0.00013731461745002127,0.001563729217529333
ALGN,Health Care,0.0008452208154804016,0.00020521834569944727,0.0006400024697809543
INTU,Information Technology,0.00010055082054562646,0.002200981134564654,-0.0021004303140190277
PCG,Utilities,0.00010053820335146374,0.0006568409733310705,-0.0005563027699796067
GPN,Financials,0.00010032707966713311,0.00035151454966173267,-0.00025118746999459955
LLY,Health Care,0.00010025838293051038,0.014569917031075283,-0.014469658648144772
TMO,Health Care,0.00010014517069180299,0.0030652308988853346,-0.0029650857281935316
MTD,Health Care,0.00010012278780927719,0.00040620012145912835,-0.00030607733364985116
AMZN,Consumer Discretionary,0.00010002493556075281,0.03760694661080215,-0.037506921675241396
