asset,sector,weight,benchmark_weight,active_weight
MA,Financials,0.09922438848794395,0.007662601228118981,0.09156178725982496
MSFT,Information Technology,0.09022727097899329,0.04996358896072152,0.04026368201827177
AMP,Financials,0.0813662301000805,0.0007099661855087075,0.08065626391457179
ROP,Information Technology,0.07752053656142244,0.0006502280110383643,0.07687030855038407
AAPL,Information Technology,0.07133226119880264,0.06220292512399854,0.009129336074804095
V,Financials,0.06477023960227338,0.010058034883468722,0.054712204718804655
HD,Consumer Discretionary,0.06175410072009722,0.005857027811805249,0.05589707290829197
AVY,Materials,0.044997106787031435,0.0002270124961567546,0.04477009429087468
GOOGL,Communication Services,0.0432558087249951,0.059352354194095014,-0.016096545469099915
NVDA,Information Technology,0.03448568767411081,0.0710689597180084,-0.036583272043897594
FFIV,Information Technology,0.03311850907603986,0.00026728717900507254,0.03285122189703479
TXN,Information Technology,0.029468806899939595,0.0028857478656937833,0.026583059034245814
GS,Financials,0.028615055358505625,0.00404974826764838,0.024565307090857247
AMZN,Consumer Discretionary,0.027791976546321956,0.03760694661080215,-0.009814970064480191
META,Communication Services,0.025565209457611864,0.026813570896259357,-0.0012483614386474932
CTAS,Industrials,0.022590178501588214,0.001345011947943894,0.02124516655364432
QCOM,Information Technology,0.022166326719894706,0.002381608768124529,0.019784717951770177
IQV,Health Care,0.019930531395595065,0.0004884613716654591,0.019442070023929607
PLD,Real Estate,0.016580503383418328,0.00205576447390564,0.014524738909512688
HST,Real Estate,0.015570407377777441,0.00022022333273676002,0.01535018404504068
APH,Information Technology,0.01448323012185329,0.0026645192371864677,0.011818710884666822
MGM,Consumer Discretionary,0.013636812384659565,0.00015991765530438704,0.013476894729355177
XYL,Industrials,0.012997449380779551,0.0004928595995748926,0.012504589781204658
GOOG,Communication Services,0.007533841188668439,0.05931655863547039,-0.05178271744680195
ALLE,Industrials,0.005573340598337895,0.0002129309154665869,0.005360409682871308
TEL,Information Technology,0.004944127839063222,0.0009932452832186799,0.0039508825558445424
ISRG,Health Care,0.0042764013198940245,0.002861347140382994,0.0014150541795110304
SPGI,Financials,0.004239204084374675,0.00225156802710195,0.001987636057272725
TROW,Financials,0.004214251731536969,0.00032429615489129826,0.0038899555766456705
SWKS,Information Technology,0.004052113741138778,0.00013541860377225162,0.0039166951373665266
CAT,Industrials,0.003569182938480117,0.005237876576049504,-0.0016686936375693868
NOW,Information Technology,0.0029561044175122676,0.0021565880112675243,0.0007995164062447433
