asset,sector,weight,benchmark_weight,active_weight
MSFT,Information Technology,0.13994008447961342,0.04996358896072152,0.0899764955188919
BRK-B,Financials,0.07108082987482167,0.0,0.07108082987482167
NVDA,Information Technology,0.05968589497305026,0.0710689597180084,-0.011383064744958142
REG,Real Estate,0.040634734466953926,0.00024146120741506212,0.04039327325953886
GOOGL,Communication Services,0.04003083420689628,0.059352354194095014,-0.019321519987198735
DE,Industrials,0.0271580432444418,0.0026185690534118173,0.024539474191029982
META,Communication Services,0.024747541722553255,0.026813570896259357,-0.002066029173706102
VRTX,Health Care,0.023306818029296596,0.0019070351020456738,0.02139978292725092
TJX,Consumer Discretionary,0.022312294029509218,0.002914834180935888,0.01939745984857333
LYB,Materials,0.02229230021252267,0.0003553999292767238,0.021936900283245946
TSLA,Consumer Discretionary,0.021900582178078123,0.02447106463921183,-0.0025704824611337065
DTE,Utilities,0.020197372143143936,0.0005128211270160054,0.01968455101612793
DXCM,Health Care,0.019344269793977843,0.00043659104546810536,0.018907678748509738
ACGL,Financials,0.019028382065842498,0.0005794484827797045,0.018448933583062793
BA,Industrials,0.016943099399069322,0.002983495390559948,0.013959604008509374
ROP,Information Technology,0.016891594903270177,0.0006502280110383643,0.016241366892231813
OXY,Energy,0.016700829679867704,0.0008785338382818912,0.01582229584158581
FANG,Energy,0.01451678522813004,0.0008443836090220222,0.013672401619108017
VRSK,Industrials,0.014487910918368044,0.0004921953273846643,0.013995715590983381
BF-B,Consumer Staples,0.014356362451760361,0.0,0.014356362451760361
SYK,Health Care,0.013680612094010586,0.0022932935582465515,0.011387318535764034
ACN,Information Technology,0.013204370342821924,0.002191656277352222,0.011012714065469702
AMAT,Information Technology,0.013189975699532877,0.0042363111254240466,0.00895366457410883
AMGN,Health Care,0.012531532328463161,0.003274447148515394,0.009257085179947767
AVGO,Information Technology,0.012411489815702776,0.025754066313624827,-0.013342576497922051
APH,Information Technology,0.012040996248403928,0.0026645192371864677,0.00937647701121746
PM,Consumer Staples,0.011843281324194498,0.004349527183644337,0.007493754140550161
MDLZ,Consumer Staples,0.01156949121294297,0.0012387060441354733,0.010330785168807496
GPN,Financials,0.011431978542311054,0.00035151454966173267,0.01108046399264932
RMD,Health Care,0.011412919816395365,0.0006067291572760625,0.010806190659119303
SHW,Materials,0.010019088297619782,0.0013435631531953302,0.008675525144424451
BKR,Energy,0.009857289655383666,0.0009715825766477877,0.008885707078735879
CMCSA,Communication Services,0.009751547809743995,0.0019113385301128367,0.00784020927963116
DUK,Utilities,0.008491694640668686,0.001693757944967669,0.006797936695701017
CTAS,Industrials,0.008163208303638541,0.001345011947943894,0.006818196355694648
JBL,Information Technology,0.008110324279338665,0.00042333950203327255,0.007686984777305393
NWSA,Communication Services,0.007718786464867625,0.00023197277334411007,0.007486813691523516
EQIX,Real Estate,0.0076575826925399,0.001513671505393711,0.006143911187146189
AMZN,Consumer Discretionary,0.0073089746155563596,0.03760694661080215,-0.03029797199524579
ORCL,Information Technology,0.007166993942731104,0.007226423922019307,-5.942997928820321e-05
ISRG,Health Care,0.006996097696687738,0.002861347140382994,0.004134750556304743
BKNG,Consumer Discretionary,0.006828924731869398,0.0024110664725214385,0.004417858259347959
IDXX,Health Care,0.006743128777860372,0.0007985892928857642,0.005944539484974608
UPS,Industrials,0.006606094162545002,0.001428680080326478,0.005177414082218524
TER,Information Technology,0.006356188403139825,0.000702678649622458,0.005653509753517367
JCI,Industrials,0.005565477711165565,0.0013320832154776452,0.004233394495687919
CLX,Consumer Staples,0.005371021320916712,0.00022990421116081565,0.005141117109755896
EXR,Real Estate,0.005137307351190853,0.0005340710031658165,0.004603236348025037
ABBV,Health Care,0.005085392733667626,0.006688123485833668,-0.0016027307521660423
CDNS,Information Technology,0.004944988816033323,0.0013465634874078735,0.00359842532862545
CPB,Consumer Staples,0.004895872267038083,0.00012643769055432176,0.004769434576483761
MU,Information Technology,0.004772449144227028,0.006850902355908773,-0.002078453211681745
TKO,Communication Services,0.004696531647536246,0.0002629395659972207,0.004433592081539026
NKE,Consumer Discretionary,0.004598695377028149,0.001387299545198776,0.0032113958318293733
SLB,Energy,0.004595247604625875,0.0011528036518339217,0.003442443952791953
KLAC,Information Technology,0.004471061379995972,0.0029039693649220272,0.001567092015073945
FE,Utilities,0.0039780384384281026,0.00048297866857175564,0.003495059769856347
LULU,Consumer Discretionary,0.003967588678670978,0.0003316430753378336,0.0036359456033331445
WELL,Real Estate,0.003434162540108485,0.0023431146458080055,0.0010910478943004795
CL,Consumer Staples,0.0034195600186182665,0.0012327208614800757,0.002186839157138191
A,Health Care,0.003418208616868459,0.0005349921371445832,0.0028832164797238757
AKAM,Information Technology,0.00314677030266651,0.00023790291418767783,0.0029088673884788323
MTB,Financials,0.0030501021420851035,0.0005316948128011767,0.002518407329283927
NCLH,Consumer Discretionary,0.002971372061881337,0.00015004325525629295,0.0028213288066250442
EOG,Energy,0.0028451215716349034,0.001172065794785272,0.0016730557768496314
MOH,Health Care,0.002594104662532385,0.00012230097858051265,0.0024718036839518724
GPC,Consumer Discretionary,0.0025842870084456606,0.0002641569663154413,0.0023201300421302196
CVS,Health Care,0.002184650544346465,0.001629495367229643,0.0005551551771168217
ANET,Information Technology,0.0021184453336571553,0.002750815102696989,-0.0006323697690398338
INTU,Information Technology,0.001737155322032862,0.002200981134564654,-0.000463825812531792
ATO,Utilities,0.0017303460787348223,0.0005032089751111242,0.001227137103623698
NSC,Industrials,0.001557366596962739,0.0011179282172465697,0.0004394383797161692
AIZ,Financials,0.001465580201404801,0.0001835052598799906,0.0012820749415248104
NVR,Consumer Discretionary,0.0008994902101627367,0.0003247975235173407,0.000574692686645396
BLDR,Industrials,0.0007577011696239852,0.00016930236838313893,0.0005883988012408462
NXPI,Information Technology,0.0004684713706424429,0.0008379729043473422,-0.00036950153370489934
LOW,Consumer Discretionary,0.000361811292594599,0.0023226365332888947,-0.0019608252406942955
PYPL,Financials,0.00029824376491261985,0.0007224036150992117,-0.0004241598501865919
TXN,Information Technology,0.00026580208000840923,0.0028857478656937833,-0.0026199457856853742
APA,Energy,0.0002121875973721306,0.0001921989373187255,1.9988660053405107e-05
LYV,Communication Services,0.00017653810286901288,0.0006026054314667263,-0.0004260673285977134
YUM,Consumer Discretionary,0.00014659847168729977,0.0007302425117158259,-0.0005836440400285262
LH,Health Care,0.00012204138864884885,0.00036747872864005895,-0.0002454373399912101
PSKY,Communication Services,0.00012052948829362013,0.00021742300060622295,-9.689351231260282e-05
DVN,Energy,0.00011352877480725239,0.0004535097201594633,-0.00033998094535221094
NWS,Communication Services,0.00011220017470806124,0.0002516104293780624,-0.00013941025467000115
AOS,Industrials,0.00010914976664193222,0.00016141915216696893,-5.226938552503671e-05
MRK,Health Care,0.00010682133206928434,0.004705798995419273,-0.004598977663349988
RCL,Consumer Discretionary,0.00010643969023854678,0.0012465810293284063,-0.0011401413390898596
KIM,Real Estate,0.00010508462647495144,0.0002591439870140679,-0.00015405936053911648
PEP,Consumer Staples,0.00010323840334994608,0.0035833696708889875,-0.0034801312675390413
D,Utilities,0.00010182121028713708,0.0009135236655766422,-0.0008117024552895051
TT,Industrials,0.00010174723316402914,0.0015422718367853125,-0.0014405246036212833
AEE,Utilities,0.00010160952180279037,0.0005067273083197673,-0.0004051177865169769
DOV,Industrials,0.00010153193398949813,0.0004698837333990829,-0.00036835179940958475
T,Communication Services,0.00010129139765510942,0.003337571185534105,-0.003236279787878996
GOOG,Communication Services,0.00010113123544561253,0.05931655863547039,-0.05921542740002478
PSA,Real Estate,0.00010103122941630166,0.000888939265571454,-0.0007879080361551524
ADBE,Information Technology,0.00010082589169456122,0.001951556285925189,-0.0018507303942306278
EL,Consumer Staples,0.00010072344128090868,0.0005513145087087613,-0.00045059106742785266
BSX,Health Care,0.00010068370554972034,0.0017403610895877313,-0.001639677384038011
VTRS,Health Care,0.00010060940808242346,0.00026808589124150377,-0.0001674764831590803
PCAR,Industrials,0.00010058400250185358,0.0010410660133129046,-0.000940482010811051
ETR,Utilities,0.00010055218068791448,0.000779614915932897,-0.0006790627352449825
AXON,Industrials,0.00010049404207693695,0.0007585914350029969,-0.00065809739292606
O,Real Estate,0.00010049075084307899,0.000999838383328524,-0.000899347632485445
MS,Financials,0.00010048339853678098,0.004183208670594909,-0.004082725272058128
LVS,Consumer Discretionary,0.00010046612843879656,0.0005957209295689937,-0.0004952548011301972
MPWR,Information Technology,0.00010046291829897469,0.0008260935684305458,-0.0007256306501315711
NOW,Information Technology,0.00010045055983170602,0.0021565880112675243,-0.0020561374514358184
DLTR,Consumer Staples,0.00010042790321313595,0.000388219863590867,-0.00028779196037773103
MSI,Information Technology,0.00010039261345139867,0.001261471472167095,-0.0011610788587156963
APD,Materials,0.00010038731371220095,0.0009961749215261207,-0.0008957876078139197
SNPS,Information Technology,0.0001003774354641547,0.0013773463697135677,-0.001276968934249413
ROST,Consumer Discretionary,0.00010037421759529784,0.0011320198636870353,-0.0010316456460917375
CMS,Utilities,0.00010032429704223128,0.0003886472708342857,-0.0002883229737920544
DLR,Real Estate,0.0001003099753956083,0.0010130983092778189,-0.0009127883338822106
TEL,Information Technology,0.00010030718678672678,0.0009932452832186799,-0.000892938096431953
FITB,Financials,0.00010030101583509504,0.000701173567467546,-0.0006008725516324509
LRCX,Information Technology,0.00010029620382525983,0.004115453176509361,-0.0040151569726841006
OKE,Energy,0.00010028281523607616,0.0008999244666122894,-0.0007996416513762132
COF,Financials,0.00010028005192439163,0.0019190003503195279,-0.0018187202983951363
NI,Utilities,0.00010027135683200405,0.00036545699407771566,-0.00026518563724571163
MCHP,Information Technology,0.00010021358367332199,0.0005755577168100389,-0.0004753441331367169
PTC,Information Technology,0.00010020781097028547,0.00031826730909832095,-0.00021805949812803548
PNC,Financials,0.00010020434104722356,0.0013698839792886987,-0.001269679638241475
