asset,sector,weight,benchmark_weight,active_weight
AAPL,Information Technology,0.06080932128861465,0.06220292512399854,-0.0013936038353838873
MSFT,Information Technology,0.05106442361026938,0.04996358896072152,0.0011008346495478619
GOOGL,Communication Services,0.03922087462534548,0.059352354194095014,-0.020131479568749534
AMZN,Consumer Discretionary,0.03510157946161492,0.03760694661080215,-0.0025053671491872265
NVDA,Information Technology,0.029122864401811284,0.0710689597180084,-0.04194609531619712
HD,Consumer Discretionary,0.020826762233268414,0.005857027811805249,0.014969734421463165
AVGO,Information Technology,0.019993296054766567,0.025754066313624827,-0.00576077025885826
META,Communication Services,0.017051454150602975,0.026813570896259357,-0.009762116745656382
HON,Industrials,0.0170503135977551,0.0026063000147343238,0.014444013583020776
COP,Energy,0.015855632676563734,0.002352243978345754,0.01350338869821798
UNH,Health Care,0.01569658753561861,0.004274350370088312,0.011422237165530298
APH,Information Technology,0.015445565533437913,0.0026645192371864677,0.012781046296251446
BMY,Health Care,0.015256517437376748,0.002018222793754428,0.01323829464362232
LLY,Health Care,0.014629329571908774,0.014569917031075283,5.9412540833490846e-05
TSLA,Consumer Discretionary,0.014574819547755129,0.02447106463921183,-0.009896245091456701
DUK,Utilities,0.014526608716315942,0.001693757944967669,0.012832850771348273
PM,Consumer Staples,0.01449473846511398,0.004349527183644337,0.010145211281469644
ORCL,Information Technology,0.014480486907505818,0.007226423922019307,0.0072540629854865105
PNC,Financials,0.013949476463033348,0.0013698839792886987,0.012579592483744649
ETN,Industrials,0.013860892681972353,0.002225340923579917,0.011635551758392437
MDT,Health Care,0.013639676350074691,0.001918381592826299,0.011721294757248393
ABBV,Health Care,0.013171239326076821,0.006688123485833668,0.006483115840243153
COST,Consumer Staples,0.012452527418994093,0.0072838440787554954,0.005168683340238597
MRK,Health Care,0.01241866486140286,0.004705798995419273,0.007712865865983587
IBM,Information Technology,0.012323759595655952,0.003991278041068406,0.008332481554587545
CVX,Energy,0.011619642407774373,0.006242392402447899,0.005377250005326474
TJX,Consumer Discretionary,0.011496880852093659,0.002914834180935888,0.008582046671157771
TMO,Health Care,0.011364332981035848,0.0030652308988853346,0.008299102082150513
MO,Consumer Staples,0.011361813183966502,0.0018352605794197737,0.009526552604546728
BKNG,Consumer Discretionary,0.010853950480161892,0.0024110664725214385,0.008442884007640454
VZ,Communication Services,0.010847082085684792,0.003544132231627388,0.007302949854057404
CAT,Industrials,0.010801601126868334,0.005237876576049504,0.005563724550818831
PEP,Consumer Staples,0.010451639121520698,0.0035833696708889875,0.0068682694506317105
BAC,Financials,0.010396629202062942,0.005838615635621529,0.004558013566441413
V,Financials,0.010167864761302168,0.010058034883468722,0.00010982987783344535
ISRG,Health Care,0.009821447338059223,0.002861347140382994,0.00696010019767623
WM,Industrials,0.009729415481118438,0.0016313049130825292,0.008098110568035909
GE,Industrials,0.009699427875434215,0.0056023625787029975,0.004097065296731217
UNP,Industrials,0.00952201539133681,0.002478609205597346,0.007043406185739464
NOC,Industrials,0.00951370608333728,0.0017738892622121331,0.007739816821125147
TMUS,Communication Services,0.009396213571810544,0.0040737514799841935,0.00532246209182635
UPS,Industrials,0.00906502821083439,0.001428680080326478,0.007636348130507911
WMB,Energy,0.008880383815725345,0.0014907296742465005,0.007389654141478845
PGR,Financials,0.008637834324871299,0.00202827534748338,0.006609558977387919
ACN,Information Technology,0.008545619634753112,0.002191656277352222,0.00635396335740089
MAR,Consumer Discretionary,0.008457938870422718,0.0014104004084677499,0.007047538461954968
AMT,Real Estate,0.008379806660281685,0.0014512611603693661,0.006928545499912319
SCHW,Financials,0.008164409788844714,0.002781575227654184,0.005382834561190531
QCOM,Information Technology,0.008143035212649292,0.002381608768124529,0.0057614264445247625
CRM,Information Technology,0.008079515511397536,0.003112951846759215,0.004966563664638321
DE,Industrials,0.007872342421989083,0.0026185690534118173,0.005253773368577266
PANW,Information Technology,0.00782569083536269,0.0022138628710863684,0.005611827964276322
C,Financials,0.007794075034469568,0.0030632748441853028,0.004730800190284265
KLAC,Information Technology,0.007648099111472526,0.0029039693649220272,0.004744129746550498
WELL,Real Estate,0.00706134591168363,0.0023431146458080055,0.004718231265875624
MCO,Financials,0.006736300990899869,0.001375523896609463,0.005360777094290406
MCD,Consumer Discretionary,0.006614262255448582,0.0038481838734688635,0.002766078381979718
KO,Consumer Staples,0.00654847279531452,0.005447437013743262,0.0011010357815712576
LIN,Materials,0.006464186379047395,0.003692363096362232,0.002771823282685163
CB,Financials,0.006394909692110521,0.002121874571297007,0.004273035120813513
ICE,Financials,0.006357730828591124,0.0015576174265939933,0.004800113401997131
HCA,Health Care,0.006349992602486563,0.0019585394254428975,0.004391453177043665
NFLX,Communication Services,0.006214566827700413,0.006904421175954246,-0.000689854348253833
RTX,Industrials,0.006004758960199148,0.004628212326781893,0.0013765466334172555
MU,Information Technology,0.005940140885819752,0.006850902355908773,-0.000910761470089021
ABT,Health Care,0.0058770014765657875,0.0031294467499965594,0.002747554726569228
JPM,Financials,0.0057098754569091855,0.012833637451742127,-0.007123761994832941
NOW,Information Technology,0.005612272337565033,0.0021565880112675243,0.0034556843262975086
SBUX,Consumer Discretionary,0.005573904048562393,0.0018538492933779492,0.003720054755184444
PLD,Real Estate,0.005564419542011594,0.00205576447390564,0.003508655068105954
PFE,Health Care,0.0055496537142009665,0.0025283637716785705,0.003021289942522396
DHR,Health Care,0.005412211682819893,0.0022724626394962635,0.0031397490433236292
ADI,Information Technology,0.005407828602639035,0.0025343835616627513,0.0028734450409762836
DIS,Communication Services,0.0053475568641892825,0.002959958905856677,0.0023875979583326055
VRTX,Health Care,0.005201016246622152,0.0019070351020456738,0.003293981144576478
CVS,Health Care,0.004962788239033243,0.001629495367229643,0.0033332928718035996
MA,Financials,0.0047170553327962874,0.007662601228118981,-0.0029455458953226935
WFC,Financials,0.004668656601139803,0.004149655990056738,0.0005190006110830647
