asset,sector,weight,benchmark_weight
AAPL,Information Technology,0.06263793471828066,0.07681766371465802
MSFT,Information Technology,0.04966343196741068,0.061702663775233486
GOOGL,Communication Services,0.04738864637272195,0.07329734375138307
TMUS,Communication Services,0.04557325593732926,0.005030889956102437
NVDA,Information Technology,0.045042412653123136,0.08776679613194384
META,Communication Services,0.03245559906452245,0.03311348892342231
APH,Information Technology,0.022960515790012598,0.003290554942800571
UNH,Health Care,0.02049808808333527,0.0052786200757203436
COST,Consumer Staples,0.018612861225668003,0.008995202136819945
HON,Industrials,0.01764290563771671,0.00321865696303286
AMZN,Consumer Discretionary,0.01740144830063246,0.046442796256363494
BMY,Health Care,0.016769332799656405,0.002492409473715748
CRM,Information Technology,0.015848688961015295,0.003844347957070821
NFLX,Communication Services,0.015836348989469697,0.008526632838914359
PG,Consumer Staples,0.01583203619904582,0.007287532905474594
TSLA,Consumer Discretionary,0.015812148662225817,0.030220604745634115
MO,Consumer Staples,0.015163753526698185,0.002266459812582751
XOM,Energy,0.015131483625795306,0.012790122207581103
LOW,Consumer Discretionary,0.014699777899638103,0.002868346010897313
ABT,Health Care,0.013634734286936711,0.0038647183806058277
JPM,Financials,0.013406743102988773,0.01584893385702558
BAC,Financials,0.013272985239859448,0.007210413522551201
LLY,Health Care,0.013116574413378561,0.01799315682682904
UPS,Industrials,0.01262143214858416,0.0017643521706989327
MS,Financials,0.012467122484456644,0.005166064397541064
QCOM,Information Technology,0.012150370684439454,0.0029411739252610675
IBM,Information Technology,0.012069398893924317,0.004929039168805939
PLD,Real Estate,0.011932751441461437,0.002538771668988562
CSCO,Information Technology,0.011784953422110648,0.006307484945581175
V,Financials,0.011710082022241577,0.01242119626638763
SPGI,Financials,0.011562650733949192,0.0027805797748547325
ETN,Industrials,0.01135831290953588,0.002748190545336204
ORLY,Consumer Discretionary,0.011264588292333299,0.0016209977305398512
DIS,Communication Services,0.011116810349591855,0.003655408927892699
DE,Industrials,0.011077606626948785,0.0032338086441692547
ORCL,Information Technology,0.010814223572654932,0.008924290965330654
C,Financials,0.010742699850787856,0.0037829992138972836
AVGO,Information Technology,0.009856480139513894,0.03180505099111102
MAR,Consumer Discretionary,0.009833578443976145,0.0017417776425258788
MCD,Consumer Discretionary,0.009534277305591232,0.004752324655392331
TMO,Health Care,0.009465961740150238,0.003785414848722414
COP,Energy,0.00933681797634828,0.0029049098019617073
HD,Consumer Discretionary,0.009043345994258321,0.007233151687284074
ISRG,Health Care,0.008752223058110985,0.0035336280723563163
CVX,Energy,0.008463169476789918,0.007709058688000072
NKE,Consumer Discretionary,0.007889334862585971,0.001713249171516246
LIN,Materials,0.007620567992971182,0.0045598933825595385
