asset,sector,weight,benchmark_weight,active_weight
AAPL,Information Technology,0.06688780017517133,0.06220292512399854,0.004684875051172793
MSFT,Information Technology,0.06535614071164221,0.04996358896072152,0.015392551750920691
NVDA,Information Technology,0.06352593384776137,0.0710689597180084,-0.007543025870247036
GOOGL,Communication Services,0.04967033572649565,0.059352354194095014,-0.009682018467599363
META,Communication Services,0.03212531290935863,0.026813570896259357,0.005311742013099276
AMZN,Consumer Discretionary,0.02990086933821955,0.03760694661080215,-0.0077060772725825975
CMCSA,Communication Services,0.017685207207146388,0.0019113385301128367,0.01577386867703355
NFLX,Communication Services,0.01654688721601939,0.006904421175954246,0.009642466040065144
AVGO,Information Technology,0.01601151677522555,0.025754066313624827,-0.009742549538399276
TSLA,Consumer Discretionary,0.015427051663740173,0.02447106463921183,-0.009044012975471657
JPM,Financials,0.015280238673812807,0.012833637451742127,0.002446601222070681
TMO,Health Care,0.014618247089197966,0.0030652308988853346,0.011553016190312631
V,Financials,0.014531703329207701,0.010058034883468722,0.004473668445738979
LLY,Health Care,0.013594385891487107,0.014569917031075283,-0.0009755311395881761
PFE,Health Care,0.013065187715539248,0.0025283637716785705,0.010536823943860678
VZ,Communication Services,0.012501897247659228,0.003544132231627388,0.00895776501603184
MAR,Consumer Discretionary,0.01184322734913522,0.0014104004084677499,0.01043282694066747
TXT,Industrials,0.011491045137811544,0.0002718567939873042,0.01121918834382424
UNH,Health Care,0.011417010043486572,0.004274350370088312,0.00714265967339826
COST,Consumer Staples,0.011414421590781588,0.0072838440787554954,0.004130577512026092
AJG,Financials,0.011404804628447304,0.0009641164831040798,0.010440688145343224
USB,Financials,0.011307382961093928,0.0013374993297616856,0.009969883631332242
VRSK,Industrials,0.011305378459127739,0.0004921953273846643,0.010813183131743075
CDW,Information Technology,0.011123721623504543,0.00026413161678375457,0.010859590006720788
PG,Consumer Staples,0.009872241116717284,0.005901062877175393,0.00397117823954189
PWR,Industrials,0.008987790060952738,0.0013285550185070044,0.007659235042445734
OKE,Energy,0.008787507984479633,0.0008999244666122894,0.007887583517867345
ECL,Materials,0.008751875476464013,0.0013161439147249716,0.007435731561739042
DPZ,Consumer Discretionary,0.008467107641850307,0.00022576363616076344,0.008241344005689544
KMI,Energy,0.008323881508649902,0.0012280553357199222,0.00709582617292998
PSX,Energy,0.00795720650033633,0.0010932399952550311,0.006863966505081298
C,Financials,0.007928348273111186,0.0030632748441853028,0.004865073428925884
DIS,Communication Services,0.00787345477335382,0.002959958905856677,0.004913495867497144
ALLE,Industrials,0.007756933334664311,0.0002129309154665869,0.007544002419197724
CMG,Consumer Discretionary,0.0077032315416878175,0.0007687813407761477,0.00693445020091167
CBRE,Real Estate,0.007428500269904525,0.0006693435104837024,0.006759156759420823
ACN,Information Technology,0.007427242122372474,0.002191656277352222,0.005235585845020252
MTCH,Communication Services,0.007302405757595148,0.00011823842156144839,0.007184167336033699
CPRT,Industrials,0.007246497751297865,0.0006005238073733463,0.006645973943924519
AMT,Real Estate,0.0071690705660421294,0.0014512611603693661,0.0057178094056727635
HUBB,Industrials,0.007085521058847554,0.000412061081309846,0.0066734599775377075
ORCL,Information Technology,0.00702152819320369,0.007226423922019307,-0.0002048957288156173
GE,Industrials,0.006851243209808127,0.0056023625787029975,0.00124888063110513
ZBH,Health Care,0.006728541368289883,0.00030658013138453605,0.006421961236905347
CMS,Utilities,0.0066905670726073565,0.0003886472708342857,0.006301919801773071
WFC,Financials,0.00654875438549677,0.004149655990056738,0.002399098395440032
