asset,sector,weight,benchmark_weight
MSFT,Information Technology,0.08595135562742084,0.0755576281019662
AAPL,Information Technology,0.06965184121404802,0.09406661092877705
NVDA,Information Technology,0.062116727110617095,0.1074743055825778
HD,Consumer Discretionary,0.05544764272479343,0.008857312662930512
BAC,Financials,0.043038011722328996,0.008829468779222898
LIN,Materials,0.04081517295780774,0.005583790185122305
AMZN,Consumer Discretionary,0.03642798484396454,0.05687124854668273
V,Financials,0.03639672406664769,0.015210301641044446
XOM,Energy,0.03166165376598138,0.015662067697100084
KO,Consumer Staples,0.03093620027263091,0.008237907415275376
GOOGL,Communication Services,0.03087017082633176,0.08975582416025152
GS,Financials,0.029009673096414085,0.006124247274432373
CAT,Industrials,0.02683102509736006,0.007920998843543312
MCD,Consumer Discretionary,0.023516582038780758,0.005819430750023233
LLY,Health Care,0.021468965385187534,0.022033412639270746
META,Communication Services,0.020799815529472573,0.04054892492726992
AVGO,Information Technology,0.019949636870591262,0.038946685078367904
ABT,Health Care,0.01983839837601791,0.004732517791847038
LRCX,Information Technology,0.019048814693140036,0.006223609773633429
GE,Industrials,0.018052082247311668,0.008472194192190403
PEP,Consumer Staples,0.01645900501807859,0.0054189644614549975
CSCO,Information Technology,0.01643138782470929,0.007723792987496017
TSLA,Consumer Discretionary,0.016178366930794587,0.037006460899402176
UNH,Health Care,0.0158182608189841,0.0064639026610863876
NFLX,Communication Services,0.01572228936089603,0.01044123727545287
PG,Consumer Staples,0.015575652743608047,0.008923904858605223
JPM,Financials,0.015480054841521165,0.019407717218562954
ORCL,Information Technology,0.01545779441745771,0.01092818715717819
GOOG,Communication Services,0.015101089369315654,0.08970169219010048
RTX,Industrials,0.013515815897368779,0.006999031755681787
AXP,Financials,0.01288643184936791,0.005154207680214699
MRK,Health Care,0.012028416842520052,0.007116362491453837
AMGN,Health Care,0.01146874596639696,0.0049517951979304135
AMD,Information Technology,0.01124214455681189,0.0077994169528384
WMT,Consumer Staples,0.009823146892913076,0.024536014357900683
IBM,Information Technology,0.009522980665699022,0.006035825451123394
MA,Financials,0.009296165850041267,0.011587797953086086
ABBV,Health Care,0.006778681390714695,0.010114140268024265
VZ,Communication Services,0.0056332459456279365,0.0053596274941740425
CVX,Energy,0.005334446665546346,0.00944008173595155
T,Communication Services,0.004668118580253144,0.005047254763837579
JNJ,Health Care,0.004129539063274604,0.014401342453310461
MS,Financials,0.003951280969588209,0.00632607327816681
PM,Consumer Staples,0.0037630717913169384,0.006577589084313959
COST,Consumer Staples,0.0035765504709066786,0.011015021008358099
INTC,Information Technology,0.0035019016128759973,0.005391511156170511
MU,Information Technology,0.0025379360555844157,0.010360303235573732
WFC,Financials,0.002088999140978625,0.006275333108962388
AMAT,Information Technology,0.00010000000000000011,0.006406377668158402
TMUS,Communication Services,9.999999999999996e-05,0.006160546223900308
