asset,sector,weight,benchmark_weight
MSFT,Information Technology,0.06875844070386163,0.055398873072671675
NVDA,Information Technology,0.06414850090137787,0.07880018951240503
AAPL,Information Technology,0.059691116066938686,0.06896966421692242
GOOGL,Communication Services,0.05039913487490953,0.06580899420871866
AMZN,Consumer Discretionary,0.03501286531157588,0.04169801459979993
META,Communication Services,0.030967717399442433,0.02973048256951124
DIS,Communication Services,0.023734338426588494,0.003281957744364371
NFLX,Communication Services,0.017904618579777425,0.007655517954637985
AVGO,Information Technology,0.017060714047574525,0.02855571988504061
TSLA,Consumer Discretionary,0.015930224784180706,0.02713314699963986
BDX,Health Care,0.015458547572402007,0.001103527598728107
AEP,Utilities,0.014029857729477027,0.001299943171466703
MA,Financials,0.01370680645941571,0.008496176549222243
T,Communication Services,0.013663221665959733,0.003700648538754213
WFC,Financials,0.013487122026897272,0.00460107590888093
CAT,Industrials,0.013394961801288423,0.005807678464311348
IBM,Information Technology,0.012376544311851546,0.00442546883028591
COST,Consumer Staples,0.01219599181401992,0.008076216340610126
BK,Financials,0.011844060882520276,0.0014645632922917497
OKE,Energy,0.011497035402432734,0.0009978226612191317
AMT,Real Estate,0.01134078578257196,0.0016091364629911829
PSA,Real Estate,0.011208426928678487,0.0009856424361632927
LLY,Health Care,0.011123154881600301,0.01615490402257606
DHR,Health Care,0.010970944891433231,0.0025196722642725055
MAR,Consumer Discretionary,0.010548305559604568,0.0015638306782119686
ORCL,Information Technology,0.010538246173518048,0.008012549737769771
AMAT,Information Technology,0.01033655838899729,0.004697157814627986
C,Financials,0.010218683732588933,0.003396512896884561
AJG,Financials,0.010178417790577677,0.0010689977999126952
USB,Financials,0.00949033307175878,0.0014829990628275524
CMCSA,Communication Services,0.00946733392227583,0.0021192633041607427
JPM,Financials,0.009367482918334918,0.014229743439941241
PG,Consumer Staples,0.009242126985660617,0.006543009421991159
LMT,Industrials,0.008116163222085533,0.0028331668125501372
WMT,Consumer Staples,0.008007397128923356,0.017989812270023046
PGR,Financials,0.007991023069863688,0.0022489210817100234
MMC,Financials,0.007964034201557576,0.001637057603572493
NSC,Industrials,0.007954411496802814,0.0012395419284288837
UNH,Health Care,0.007795121879593407,0.004739335154782485
REGN,Health Care,0.007771217564732746,0.0014641388104481919
ANET,Information Technology,0.007540014435292609,0.0030500622531439967
HLT,Consumer Discretionary,0.007454975482984524,0.001265150441759098
MDLZ,Consumer Staples,0.007406557430334927,0.0013734585593392758
SHW,Materials,0.007405331500339445,0.0014897225386971433
TMUS,Communication Services,0.0073646535545697665,0.004516914134144172
GE,Industrials,0.007196434581363477,0.006211815040921972
MCD,Consumer Discretionary,0.007134134150523367,0.004266808177735138
LOW,Consumer Discretionary,0.006595004637157272,0.002575304320167546
VZ,Communication Services,0.006321644182294974,0.003929680307934687
CDNS,Information Technology,0.006232251685195514,0.001493049263971962
ORLY,Consumer Discretionary,0.0061841007949290155,0.0014553901246855245
PWR,Industrials,0.005707464846785538,0.0014730817455525648
LIN,Materials,0.005614685497838881,0.004094036452713511
APO,Financials,0.005598524014729206,0.0011499160884276725
AMD,Information Technology,0.0055585785604565004,0.005718534589625298
FTNT,Information Technology,0.005553415873575474,0.001134043110225231
TGT,Consumer Staples,0.005550156692277938,0.0010003702988190702
XOM,Energy,0.005320678688506686,0.011483432211984166
TDG,Industrials,0.005206061772392193,0.0013324461180041355
MDT,Health Care,0.005181842156115543,0.002127072545758913
ADP,Industrials,0.005168341554897801,0.0016678384348853053
GS,Financials,0.004962518983467101,0.004490299734714749
NEM,Materials,0.004951918379377829,0.002312938706996457
NDAQ,Financials,0.00475329115696927,0.0009202897759123245
ABBV,Health Care,0.004512322784835936,0.007415690341567154
PSX,Energy,0.004379184633967592,0.0012121680006356985
ITW,Industrials,0.0042604132197833515,0.0014558507389969475
GD,Industrials,0.004259005445697573,0.0017913275640467608
AMGN,Health Care,0.004258523741444005,0.003630657559575689
COR,Health Care,0.004195680294160116,0.0012709285011554539
NXPI,Information Technology,0.004178246460454062,0.0009291317043451649
HD,Consumer Discretionary,0.004162762029470839,0.006494184006364886
ECL,Materials,0.004124101380397243,0.0014593205010660425
BA,Industrials,0.004122428008206068,0.0033080546432416405
ELV,Health Care,0.0040930428858222115,0.0011650978465475425
WMB,Energy,0.004022629551186461,0.0016528985552693267
CMI,Industrials,0.0037518254858176663,0.0013578938269215774
DE,Industrials,0.0036904669193437234,0.00290342983039168
CVX,Energy,0.0036235323482994458,0.006921470446105984
BLK,Financials,0.00355050613040661,0.0027086113276635006
APD,Materials,0.0033254059207706273,0.0011045437124060288
CRM,Information Technology,0.0032903467363897894,0.003451594007298515
OXY,Energy,0.0030846167274014044,0.0009741050554892468
FDX,Industrials,0.003060818363233646,0.001544321683795936
MNST,Consumer Staples,0.002993829405260376,0.0013481264145959152
PFE,Health Care,0.0029449996590544415,0.0028034115759553685
