asset,sector,weight,benchmark_weight,active_weight
AAPL,Information Technology,0.06382183557596875,0.06220292512399854,0.0016189104519702124
NVDA,Information Technology,0.062125128303620936,0.0710689597180084,-0.008943831414387468
MSFT,Information Technology,0.05619450222342476,0.04996358896072152,0.006230913262703239
AMZN,Consumer Discretionary,0.04955437386275739,0.03760694661080215,0.011947427251955245
GOOGL,Communication Services,0.03614982157022432,0.059352354194095014,-0.023202532623870696
META,Communication Services,0.02619998971794867,0.026813570896259357,-0.0006135811783106876
AVGO,Information Technology,0.023927084242221425,0.025754066313624827,-0.0018269820714034019
PNC,Financials,0.022794545031248014,0.0013698839792886987,0.021424661051959316
AEP,Utilities,0.02205626618535925,0.0011724033845644942,0.020883862800794756
TSLA,Consumer Discretionary,0.019457715697128824,0.02447106463921183,-0.005013348942083006
COST,Consumer Staples,0.019329129742855965,0.0072838440787554954,0.012045285664100468
CME,Financials,0.016959892150462633,0.0018739377031363623,0.01508595444732627
MA,Financials,0.0169452396708517,0.007662601228118981,0.009282638442732721
LLY,Health Care,0.01502919086564038,0.014569917031075283,0.0004592738345650972
JPM,Financials,0.014819559223857833,0.012833637451742127,0.0019859217721157063
BAC,Financials,0.01441121458003273,0.005838615635621529,0.008572598944411203
EXC,Utilities,0.013666164920783541,0.0008299466972469235,0.012836218223536618
ORCL,Information Technology,0.013288845759071743,0.007226423922019307,0.006062421837052436
BK,Financials,0.011856752495696192,0.0013208723261759498,0.010535880169520243
BMY,Health Care,0.011559096683419368,0.002018222793754428,0.009540873889664939
CAT,Industrials,0.011480395938338618,0.005237876576049504,0.006242519362289114
PCAR,Industrials,0.011431882192107171,0.0010410660133129046,0.010390816178794266
AMD,Information Technology,0.011220164950860508,0.005157478768907521,0.006062686181952987
XOM,Energy,0.010549668682524462,0.010356771809152905,0.00019289687337155706
ADP,Industrials,0.010490339928510615,0.0015042037751235387,0.008986136153387076
UNH,Health Care,0.00983990872303485,0.004274350370088312,0.005565558352946538
PANW,Information Technology,0.009631387755647047,0.0022138628710863684,0.007417524884560678
ROST,Consumer Discretionary,0.009467466261273712,0.0011320198636870353,0.008335446397586677
GE,Industrials,0.009374366134820268,0.0056023625787029975,0.0037720035561172706
CCI,Real Estate,0.009138910970092203,0.0006482077240588398,0.008490703246033363
DHR,Health Care,0.008969132165005219,0.0022724626394962635,0.0066966695255089555
MCD,Consumer Discretionary,0.008932403515659628,0.0038481838734688635,0.005084219642190765
BLK,Financials,0.008781679769604742,0.0024428645480244027,0.0063388152215803385
T,Communication Services,0.008489178853626924,0.003337571185534105,0.00515160766809282
JNJ,Health Care,0.008002784068319235,0.009523098764412754,-0.0015203146960935197
MDLZ,Consumer Staples,0.007798106849992125,0.0012387060441354733,0.006559400805856652
IBM,Information Technology,0.007792491765090818,0.003991278041068406,0.0038012137240224127
QCOM,Information Technology,0.007762999541301656,0.002381608768124529,0.005381390773177126
CTAS,Industrials,0.007760778458846283,0.001345011947943894,0.00641576651090239
GS,Financials,0.007742056451473953,0.00404974826764838,0.003692308183825573
O,Real Estate,0.007370776663064332,0.000999838383328524,0.006370938279735808
APH,Information Technology,0.007311735781210322,0.0026645192371864677,0.004647216544023855
UPS,Industrials,0.007202461265003664,0.001428680080326478,0.005773781184677186
ECL,Materials,0.006983712219347901,0.0013161439147249716,0.00566756830462293
SNPS,Information Technology,0.006848949653228724,0.0013773463697135677,0.005471603283515156
ACN,Information Technology,0.006846248838713496,0.002191656277352222,0.004654592561361274
GRMN,Consumer Discretionary,0.006648114352518431,0.0007703636497912049,0.005877750702727226
CRM,Information Technology,0.006596667547568406,0.003112951846759215,0.003483715700809191
SHW,Materials,0.006409558365873482,0.0013435631531953302,0.005065995212678151
