model,K,quarter,train_start,train_end,eval_start,eval_end,universe_size,assets_dropped,train_length_days,TE_annual_insample,TE_annual_oos,information_ratio_oos,sharpe_ratio_oos,max_drawdown_te_oos,portfolio_return_oos,benchmark_return_oos,tracking_difference,asset_active_share,sector_active_share,n_eff_absolute,diversification_norm,turnover,composition_stability,avg_weight_stability,assets_added,assets_removed,execution_time,solver_gap,solver_optimal
Stratified,75,2024-Q1,2021-12-29,2023-12-29,2024-01-01,2024-03-31,459,0,504,0.014593221739251473,0.023499494457593088,-1.532130010157739,3.743831559883148,-0.01947507319452219,0.09230401556015089,0.10158014260367709,-0.009276127043526206,0.48760747228415513,0.1519611151645575,39.17469458813747,0.5223292611751663,0.16055739679430853,1.0,0.9197213016028457,0,0,0.17328715324401855,,
MarketCap,75,2024-Q1,2021-12-29,2023-12-29,2024-01-01,2024-03-31,459,0,504,0.014356884792384868,0.02445878418848102,-0.2643435819927082,4.084481855754441,-0.015118963005908604,0.10015648168324853,0.10158014260367709,-0.00142366092042856,0.4954757840547259,0.12516586967628188,39.631827694542096,0.5284243692605612,0.18984418381138887,1.0,0.9050779080943055,0,0,0.18120336532592773,,
Contribution,75,2024-Q1,2021-12-29,2023-12-29,2024-01-01,2024-03-31,459,0,504,0.034241933159991224,0.039902667863435215,-1.6988631496042113,3.2107915314474442,-0.02763876319927155,0.08376962820308975,0.10158014260367709,-0.01781051440058734,0.7572930615541242,0.40877481379525227,14.991895737468163,0.19989194316624218,0.35230941328216003,0.92,0.82384529335892,6,6,0.18268680572509766,,
LASSO,75,2024-Q1,2021-12-29,2023-12-29,2024-01-01,2024-03-31,459,0,504,0.009065296216019541,0.026579155858690966,-1.7948896735813678,3.660954338185433,-0.02323120474038763,0.08924319019090055,0.10158014260367709,-0.012336952412776547,0.572286851795726,0.14300772045083884,44.01219272337213,0.5868292363116284,0.8438554900227486,0.52,0.5780722549886257,36,36,1.8745286464691162,,
MIQP_Gurobi,75,2024-Q1,2021-12-29,2023-12-29,2024-01-01,2024-03-31,459,0,504,0.011418414793860701,0.022431362818687718,-1.6947633777338884,3.817166287517704,-0.016259197185751053,0.09183580460421004,0.10158014260367709,-0.009744337999467056,0.5410485695527543,0.1465740418999027,46.991158954475324,0.626548786059671,0.5960655810974604,0.7066666666666667,0.7019672094512698,22,22,1.5491573810577393,0.002884559236487226,True
Layered,75,2024-Q1,2021-12-29,2023-12-29,2024-01-01,2024-03-31,459,0,504,0.014968791869296786,0.034670227981953294,-2.1203754869369664,3.431834193130372,-0.033157598440000026,0.0824934387260674,0.10158014260367709,-0.01908670387760969,0.6067892248829148,0.0576185667017945,38.2271537551447,0.5096953834019293,0.8943090330898391,0.6133333333333333,0.5528454834550804,29,29,4.499902963638306,0.004885452827527326,True
Stratified,100,2024-Q1,2021-12-29,2023-12-29,2024-01-01,2024-03-31,459,0,504,0.01136504927422724,0.02513145122534544,-0.2427241494807552,4.133047418932193,-0.015258899843151083,0.10028169807924914,0.10158014260367709,-0.0012984445244279552,0.46338888037932763,0.14873496464910763,46.769293811221445,0.46769293811221446,0.20402442634586815,1.0,0.8979877868270659,0,0,0.2644083499908447,,
MarketCap,100,2024-Q1,2021-12-29,2023-12-29,2024-01-01,2024-03-31,459,0,504,0.01158347038880825,0.02414612392146373,-1.5987229445967013,3.8320817259290973,-0.02032139486200563,0.09169379620773732,0.10158014260367709,-0.009886346395939771,0.45007611379083257,0.12425973857397271,50.05692769081363,0.5005692769081364,0.1832666025561146,1.0,0.9083666987219428,0,0,0.22864556312561035,,
Contribution,100,2024-Q1,2021-12-29,2023-12-29,2024-01-01,2024-03-31,459,0,504,0.03218913461287115,0.039694806479156186,-1.6334629728221788,3.18313824613478,-0.026538577782262776,0.08449023005566048,0.10158014260367709,-0.017089912548016617,0.7430251814164597,0.3479235210133113,17.379681377103218,0.17379681377103218,0.45370969317943355,0.9,0.7731451534102832,10,10,0.27648282051086426,,
LASSO,100,2024-Q1,2021-12-29,2023-12-29,2024-01-01,2024-03-31,459,0,504,0.007844940540673896,0.02625186009876187,-2.06675080083814,3.629738822796256,-0.024257181733910508,0.08754497509418613,0.10158014260367709,-0.014035167509490964,0.5639336108254258,0.1491287129835256,47.43506010065502,0.47435060100655024,0.6894138520311386,0.64,0.6552930739844307,36,36,2.055018186569214,,
MIQP_Gurobi,100,2024-Q1,2021-12-29,2023-12-29,2024-01-01,2024-03-31,459,0,504,0.013686066998408124,0.027173713708040042,-1.193856459662242,3.760531932940025,-0.018060734300034742,0.09323243927398606,0.10158014260367709,-0.008347703329691036,0.5620550803744246,0.15232243066161963,43.33188815009669,0.43331888150096687,0.5935557437915724,0.78,0.7032221281042138,22,22,1.285139560699463,0.004397497137377901,True
