model,K,quarter,train_start,train_end,eval_start,eval_end,universe_size,assets_dropped,train_length_days,TE_annual_insample,TE_annual_oos,information_ratio_oos,sharpe_ratio_oos,max_drawdown_te_oos,portfolio_return_oos,benchmark_return_oos,tracking_difference,asset_active_share,sector_active_share,n_eff_absolute,diversification_norm,turnover,composition_stability,avg_weight_stability,assets_added,assets_removed,execution_time,solver_gap,solver_optimal
Stratified,75,2023-Q1,2020-12-31,2022-12-30,2023-01-01,2023-03-31,459,0,504,0.014935846775747736,0.020444817647576042,6.7394016786602755,2.593164427468954,-0.003951368331119129,0.10720091182102331,0.07027218611635555,0.036928725704667764,0.4821850715179322,0.1457791387394229,40.91418705456998,0.545522494060933,,,,,,0.1260995864868164,,
MarketCap,75,2023-Q1,2020-12-31,2022-12-30,2023-01-01,2023-03-31,459,0,504,0.014532763632791363,0.02116388565475539,5.357506241825921,2.4730273906174696,-0.004402508541154065,0.1006655814895574,0.07027218611635555,0.030393395373201848,0.49065459448630844,0.1106028938009448,42.109309226732684,0.5614574563564357,,,,,,0.11153650283813477,,
Contribution,75,2023-Q1,2020-12-31,2022-12-30,2023-01-01,2023-03-31,459,0,504,0.034314474928686674,0.04506333961381769,1.1073513434601698,1.833397376438377,-0.018102109014221865,0.08260240557795617,0.07027218611635555,0.012330219461600622,0.7384158331346207,0.3505449159736169,14.767007173692921,0.19689342898257228,,,,,,0.1325361728668213,,
LASSO,75,2023-Q1,2020-12-31,2022-12-30,2023-01-01,2023-03-31,459,0,504,0.009084967337894581,0.01324873590221249,9.610097245370222,2.449803860044383,-0.0010448386703207392,0.10411555109192228,0.07027218611635555,0.033843364975566725,0.5921185375873024,0.15189612778009084,45.379395726150356,0.6050586096820048,,,,,,3.330411672592163,,
MIQP_Gurobi,75,2023-Q1,2020-12-31,2022-12-30,2023-01-01,2023-03-31,459,0,504,0.01148163447665518,0.01516267726388644,3.2958593154822258,2.005059504686374,-0.004638238683088609,0.08336670880594488,0.07027218611635555,0.013094522689589327,0.5305437921179648,0.14690162249543767,49.44693942730786,0.6592925256974381,,,,,,1.4385349750518799,0.0027478489985029225,True
Layered,75,2023-Q1,2020-12-31,2022-12-30,2023-01-01,2023-03-31,459,0,504,0.011056933534778664,0.01711697137680396,5.990569588061026,2.337390292509361,-0.0018243055682858854,0.09752290974154021,0.07027218611635555,0.02725072362518466,0.5518872097907899,0.03570122225676585,47.82083168156583,0.6376110890875444,,,,,,3.308499813079834,0.0019809455157012014,True
Stratified,100,2023-Q1,2020-12-31,2022-12-30,2023-01-01,2023-03-31,459,0,504,0.01162034362050931,0.017288305661499363,6.499766809682404,2.3949634432107976,-0.0034613250672745413,0.10017328617656673,0.07027218611635555,0.029901100060211183,0.4542688149503932,0.15355342596868787,48.53610630070551,0.4853610630070551,,,,,,0.16659903526306152,,
MarketCap,100,2023-Q1,2020-12-31,2022-12-30,2023-01-01,2023-03-31,459,0,504,0.011779586102135904,0.017027133170398088,7.670276246977501,2.5216803355073996,-0.002460007650920283,0.10516641155635309,0.07027218611635555,0.03489422543999754,0.43816403073139915,0.11809546797251377,52.22362146454332,0.5222362146454332,,,,,,0.1662750244140625,,
Contribution,100,2023-Q1,2020-12-31,2022-12-30,2023-01-01,2023-03-31,459,0,504,0.031792631476584114,0.04122704945557138,0.8384337540201982,1.7418430550418376,-0.013289073921188058,0.07848318349210448,0.07027218611635555,0.00821099737574893,0.7259164031631946,0.33357086520546886,18.793615529757478,0.1879361552975748,,,,,,0.15935254096984863,,
LASSO,100,2023-Q1,2020-12-31,2022-12-30,2023-01-01,2023-03-31,459,0,504,0.007674525306610726,0.016874776513859397,5.233798652504238,2.186467797394214,-0.0023678449018907765,0.09346326698965823,0.07027218611635555,0.023191080873302683,0.5675885953512866,0.1363606058647314,51.283789230712,0.5128378923071201,,,,,,1.4424452781677246,,
