asset,sector,weight,benchmark_weight,active_weight
AAPL,Information Technology,0.05953003085272948,0.06220292512399854,-0.002672894271269058
MSFT,Information Technology,0.058057740560996045,0.04996358896072152,0.008094151600274525
GOOGL,Communication Services,0.04378495034049052,0.059352354194095014,-0.015567403853604493
AMZN,Consumer Discretionary,0.030920035149222834,0.03760694661080215,-0.006686911461579313
NVDA,Information Technology,0.029130741603432975,0.0710689597180084,-0.04193821811457543
AVGO,Information Technology,0.024062274632044477,0.025754066313624827,-0.0016917916815803492
TMUS,Communication Services,0.022131318949262735,0.0040737514799841935,0.018057567469278543
EA,Communication Services,0.01790097271177702,0.0008144993053348954,0.017086473406442124
ABBV,Health Care,0.017820424441755165,0.006688123485833668,0.011132300955921496
META,Communication Services,0.01700998135461214,0.026813570896259357,-0.009803589541647218
VZ,Communication Services,0.016218968305269314,0.003544132231627388,0.012674836073641926
COST,Consumer Staples,0.015742851234943043,0.0072838440787554954,0.008459007156187547
LLY,Health Care,0.015382639736624196,0.014569917031075283,0.0008127227055489128
JPM,Financials,0.015135419556237265,0.012833637451742127,0.0023017821044951387
BRK-B,Financials,0.01457676692135775,0.0,0.01457676692135775
ORCL,Information Technology,0.01415467640791425,0.007226423922019307,0.006928252485894943
PM,Consumer Staples,0.013459986522058126,0.004349527183644337,0.009110459338413788
TSLA,Consumer Discretionary,0.012294281787774305,0.02447106463921183,-0.012176782851437525
V,Financials,0.011788072327641036,0.010058034883468722,0.0017300374441723138
APH,Information Technology,0.011690856509149061,0.0026645192371864677,0.009026337271962594
XOM,Energy,0.01104242701450629,0.010356771809152905,0.0006856552053533856
NOC,Industrials,0.010539022632197045,0.0017738892622121331,0.008765133369984912
MO,Consumer Staples,0.01038937067949009,0.0018352605794197737,0.008554110100070315
CAT,Industrials,0.010344513754505756,0.005237876576049504,0.005106637178456252
HD,Consumer Discretionary,0.009867611647893959,0.005857027811805249,0.00401058383608871
XYL,Industrials,0.009741967539868654,0.0004928595995748926,0.00924910794029376
ROL,Industrials,0.009549774369956871,0.0004608853229446402,0.00908888904701223
ETN,Industrials,0.0089691276537097,0.002225340923579917,0.006743786730129783
NFLX,Communication Services,0.008758222195828069,0.006904421175954246,0.0018538010198738226
MCD,Consumer Discretionary,0.008468654320512737,0.0038481838734688635,0.004620470447043874
NOW,Information Technology,0.008258912080354603,0.0021565880112675243,0.006102324069087079
UNH,Health Care,0.00815773636278415,0.004274350370088312,0.0038833859926958383
NWS,Communication Services,0.008046009602894255,0.0002516104293780624,0.007794399173516193
