asset,sector,weight,benchmark_weight,active_weight
AAPL,Information Technology,0.05969381890529291,0.06220292512399854,-0.002509106218705627
MSFT,Information Technology,0.058993924890931096,0.04996358896072152,0.009030335930209576
NVDA,Information Technology,0.0552130761464641,0.0710689597180084,-0.015855883571544306
GOOGL,Communication Services,0.04876926606492231,0.059352354194095014,-0.010583088129172705
AMZN,Consumer Discretionary,0.03875610078430684,0.03760694661080215,0.0011491541735046962
META,Communication Services,0.029052349615639003,0.026813570896259357,0.0022387787193796464
COST,Consumer Staples,0.019389875616244598,0.0072838440787554954,0.012106031537489102
JPM,Financials,0.0186598808528439,0.012833637451742127,0.005826243401101773
TSLA,Consumer Discretionary,0.01823712510845187,0.02447106463921183,-0.006233939530759961
ORCL,Information Technology,0.015580109853134317,0.007226423922019307,0.00835368593111501
DTE,Utilities,0.015428108771421811,0.0005128211270160054,0.014915287644405806
CSCO,Information Technology,0.015008752935394358,0.00510747131347433,0.009901281621920027
REG,Real Estate,0.014447172290626743,0.00024146120741506212,0.01420571108321168
AEP,Utilities,0.014436861764313993,0.0011724033845644942,0.013264458379749499
ETN,Industrials,0.013093671546592987,0.002225340923579917,0.01086833062301307
UNH,Health Care,0.012716580228989235,0.004274350370088312,0.008442229858900923
LLY,Health Care,0.012271911085999199,0.014569917031075283,-0.002298005945076084
XOM,Energy,0.01199432305760897,0.010356771809152905,0.0016375512484560657
JNJ,Health Care,0.011564295353294795,0.009523098764412754,0.0020411965888820407
NDAQ,Financials,0.010493899087881895,0.0008299984735812318,0.009663900614300664
VZ,Communication Services,0.010475365767407558,0.003544132231627388,0.00693123353578017
HD,Consumer Discretionary,0.010352768438440532,0.005857027811805249,0.004495740626635283
NFLX,Communication Services,0.01007214829138151,0.006904421175954246,0.0031677271154272645
PGR,Financials,0.009969953229317492,0.00202827534748338,0.007941677881834112
V,Financials,0.009867821502735352,0.010058034883468722,-0.00019021338073337002
IBM,Information Technology,0.009786366322280459,0.003991278041068406,0.005795088281212053
GLW,Information Technology,0.009535214446072542,0.0017387369689945136,0.0077964774770780286
TMUS,Communication Services,0.009419056798787457,0.0040737514799841935,0.005345305318803263
KLAC,Information Technology,0.009355262251905472,0.0029039693649220272,0.006451292886983444
APH,Information Technology,0.008806432959669552,0.0026645192371864677,0.006141913722483084
CMCSA,Communication Services,0.008650078548422379,0.0019113385301128367,0.006738740018309542
BLK,Financials,0.008165793256569612,0.0024428645480244027,0.005722928708545209
ZBH,Health Care,0.008078722435342836,0.00030658013138453605,0.0077721423039583005
RTX,Industrials,0.007818055979724495,0.004628212326781893,0.0031898436529426023
MU,Information Technology,0.007814153735456268,0.006850902355908773,0.000963251379547495
PWR,Industrials,0.007446543127306652,0.0013285550185070044,0.006117988108799648
GS,Financials,0.007278951694780659,0.00404974826764838,0.003229203427132279
TMO,Health Care,0.007225837300814533,0.0030652308988853346,0.004160606401929198
PSX,Energy,0.006849355298248029,0.0010932399952550311,0.005756115302992998
BA,Industrials,0.006603745828733017,0.002983495390559948,0.003620250438173069
