model,K,quarter,train_start,train_end,eval_start,eval_end,universe_size,assets_dropped,coverage_threshold,train_length_days,TE_annual_insample,TE_annual_oos,information_ratio_oos,sharpe_ratio_oos,max_drawdown_te_oos,portfolio_return_oos,benchmark_return_oos,tracking_difference,asset_active_share,sector_active_share,n_eff_absolute,diversification_norm,turnover,composition_stability,avg_weight_stability,retained_fraction,assets_added,assets_removed,execution_time,solver_gap,solver_optimal
Layered_LW,100,2023-Q1,2020-12-31,2022-12-30,2023-01-01,2023-03-31,459,0,0.9,504,0.008914635396369743,0.015463158287794723,,2.292989574789344,-0.0016087696487349437,0.09537675078812247,0.07027218611635555,0.025104564671766916,0.5158245050906725,0.05123681083183999,55.82921938053405,0.5582921938053405,,,,,,,4.666994094848633,0.0006675356260981457,True
Layered_noLW,100,2023-Q1,2020-12-31,2022-12-30,2023-01-01,2023-03-31,459,0,0.9,504,0.012750452215881298,0.022625892500132583,,2.4106164010140145,-0.0038956807907772444,0.10355699607353097,0.07027218611635555,0.03328480995717542,0.5897803806610191,0.053972566439166855,45.574679779802686,0.45574679779802685,,,,,,,2.1342222690582275,0.0028325950268452697,True
Layered_LW,150,2023-Q1,2020-12-31,2022-12-30,2023-01-01,2023-03-31,459,0,0.9,504,0.010015409824861033,0.017305548234328297,,2.4782407820485894,-0.0022620841509825296,0.10503943449811581,0.07027218611635555,0.03476724838176026,0.5236704148210487,0.04999898222969611,55.78943458154346,0.3719295638769564,,,,,,,2.534512758255005,0.0013353368211339726,True
Layered_noLW,150,2023-Q1,2020-12-31,2022-12-30,2023-01-01,2023-03-31,459,0,0.9,504,0.012514455503967147,0.018620385904810546,,2.409518010526016,-0.005111106779292872,0.10079595912293526,0.07027218611635555,0.030523773006579713,0.5692437336939589,0.05140939680967257,47.989322880135745,0.319928819200905,,,,,,,2.0709757804870605,0.0028680011911924696,True
Layered_LW,200,2023-Q1,2020-12-31,2022-12-30,2023-01-01,2023-03-31,459,0,0.9,504,0.011079755683325473,0.016174295940769735,,2.1899178762238876,-0.004262320396639874,0.09114829491473375,0.07027218611635555,0.0208761087983782,0.5135304931735023,0.06077142548636636,51.43643878929301,0.257182193946465,,,,,,,2.5678443908691406,0.002255000961736006,True
Layered_noLW,200,2023-Q1,2020-12-31,2022-12-30,2023-01-01,2023-03-31,459,0,0.9,504,0.010614680551748221,0.01764758108566665,,2.239443460274054,-0.004461183469208339,0.09383577060800707,0.07027218611635555,0.023563584491651524,0.5119416835469469,0.051858705412920834,52.958934916933416,0.2647946745846671,,,,,,,2.3188679218292236,0.0017524197125263167,True
Layered_LW,100,2023-Q2,2021-04-01,2023-03-31,2023-04-01,2023-06-30,459,0,0.9,504,0.0129258865617088,0.01838382628461072,,3.0186510021576662,-0.0056824586057155225,0.09104708709703613,0.0829992916950808,0.008047795401955327,0.5560774280492313,0.054171190505887576,47.20249013180859,0.4720249013180859,0.7955806621157314,0.54,0.6022096689421343,0.54,46.0,46.0,3.3230323791503906,0.0029133603405311534,True
Layered_noLW,100,2023-Q2,2021-04-01,2023-03-31,2023-04-01,2023-06-30,459,0,0.9,504,0.012819504966442448,0.01865312833395284,,2.874334816090809,-0.005846777266428672,0.0854959108452027,0.0829992916950808,0.0024966191501218926,0.5851905746119324,0.05276970522182169,44.25142038830665,0.4425142038830665,0.6926780136510581,0.73,0.653660993174471,0.73,27.0,27.0,2.179062604904175,0.0028309383562286996,True
Layered_LW,150,2023-Q2,2021-04-01,2023-03-31,2023-04-01,2023-06-30,459,0,0.9,504,0.00999231870321834,0.01807778076013152,,2.68042614005529,-0.007864947115699841,0.0794488566747984,0.0829992916950808,-0.0035504350202824053,0.5257038129114098,0.04489044508808958,56.38400901851395,0.37589339345675965,0.5965476946654241,0.7666666666666667,0.701726152667288,0.7666666666666667,35.0,35.0,2.508639335632324,0.0010752988801938604,True
Layered_noLW,150,2023-Q2,2021-04-01,2023-03-31,2023-04-01,2023-06-30,459,0,0.9,504,0.012408618200654444,0.019771404528580703,,2.467814034023835,-0.017182697147891703,0.07316631984557609,0.0829992916950808,-0.009832971849504712,0.5598283582312202,0.051497739282391854,46.764398605998316,0.3117626573733221,0.5873560010439282,0.7333333333333333,0.7063219994780359,0.7333333333333333,40.0,40.0,2.1260814666748047,0.002697528819918618,True
Layered_LW,200,2023-Q2,2021-04-01,2023-03-31,2023-04-01,2023-06-30,459,0,0.9,504,0.010848363756241104,0.017641274999906822,,2.528662480226473,-0.013276427960679377,0.07502985510338034,0.0829992916950808,-0.007969436591700463,0.5151911156279424,0.049999947201395015,50.46853987901978,0.2523426993950989,0.5255067888396192,0.8,0.7372466055801904,0.8,40.0,40.0,2.6199092864990234,0.0019677999615682084,True
Layered_noLW,200,2023-Q2,2021-04-01,2023-03-31,2023-04-01,2023-06-30,459,0,0.9,504,0.011040467398080648,0.017105613691409182,,2.630493397588431,-0.009543774503514794,0.079092028270078,0.0829992916950808,-0.003907263425002805,0.5246017849327074,0.049999958622045045,50.55070449001037,0.25275352245005184,0.5336791765878024,0.77,0.7331604117060988,0.77,46.0,46.0,2.3346598148345947,0.00188637186212849,True
Layered_LW,100,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,0.9,504,0.009768222669395355,0.013905977190451307,,-0.8783216605988046,-0.00464501953351849,-0.023690477764540363,-0.03647555543559822,0.012785077671057854,0.5300720107385298,0.051929765891307066,57.62235706279764,0.5762235706279764,0.8831520408751988,0.53,0.5584239795624006,0.53,47.0,47.0,3.7151949405670166,0.0007252253366787147,True
Layered_noLW,100,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,0.9,504,0.013383092076446777,0.018111466668801108,,-1.2008433794621316,-0.008913167430078996,-0.03134182109650996,-0.03647555543559822,0.005133734339088258,0.5536556822376408,0.05236080834891707,46.6105518364108,0.466105518364108,0.6043725512049272,0.76,0.6978137243975364,0.76,24.0,24.0,1.9073946475982666,0.0029068741818261607,True
Layered_LW,150,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,0.9,504,0.010435734119937323,0.014139058012587673,,-1.197245702276813,-0.004820448327059288,-0.03159652660416512,-0.03647555543559822,0.0048790288314330965,0.5159796051255265,0.04999997298836915,55.91010759915597,0.3727340506610398,0.4622497248602452,0.8133333333333334,0.7688751375698775,0.8133333333333334,28.0,28.0,2.631601333618164,0.00118749004580972,True
Layered_noLW,150,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,0.9,504,0.010550142064033057,0.016322568443335725,,-1.3020280410751643,-0.006969819393058447,-0.034195963132894636,-0.03647555543559822,0.0022795923027035814,0.5161305216096939,0.04736843133564696,56.48103929036789,0.37654026193578594,0.5890137546172866,0.7866666666666666,0.7054931226913568,0.7866666666666666,32.0,32.0,2.0455825328826904,0.0010449619971592058,True
Layered_LW,200,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,0.9,504,0.011460878046582993,0.016612762058905346,,-1.1349795282728292,-0.00820280572350495,-0.02968032029181933,-0.03647555543559822,0.006795235143778888,0.5054156953717028,0.05068609349296812,50.624925229779706,0.2531246261488985,0.49395193420286276,0.795,0.7530240328985687,0.795,41.0,41.0,2.5750207901000977,0.0021973210684305866,True
Layered_noLW,200,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,0.9,504,0.011104050458599255,0.01668886460821379,,-1.106696955407884,-0.008008461226235105,-0.028904449866217874,-0.03647555543559822,0.007571105569380343,0.5029876746787323,0.04999989588215808,50.441734795224136,0.2522086739761207,0.40638518778766586,0.8,0.7968074061061671,0.8,40.0,40.0,2.3606619834899902,0.0016669494707413223,True
Layered_LW,100,2023-Q4,2021-09-29,2023-09-29,2023-10-01,2023-12-31,459,0,0.9,504,0.012382609959292442,0.01359217841425744,,4.098791024036528,-0.003980880747890384,0.12587545394789723,0.11235416923349062,0.013521284714406612,0.5530511706715309,0.05426878560658813,48.21431255672182,0.4821431255672182,0.7834637409966666,0.58,0.6082681295016668,0.58,42.0,42.0,3.7842013835906982,0.0026638529490666018,True
Layered_noLW,100,2023-Q4,2021-09-29,2023-09-29,2023-10-01,2023-12-31,459,0,0.9,504,0.012642332018156432,0.015586832202933205,,4.4307511866827936,-0.004621486053723568,0.13368043354539383,0.11235416923349062,0.02132626431190321,0.5556411280497555,0.05998599251047275,48.477785651625126,0.48477785651625127,0.5486154731139943,0.74,0.7256922634430029,0.74,26.0,26.0,2.4148285388946533,0.0023717405223681438,True
Layered_LW,150,2023-Q4,2021-09-29,2023-09-29,2023-10-01,2023-12-31,459,0,0.9,504,0.011025207331262171,0.017653791540491508,,4.214541714858638,-0.00526010901268264,0.12857715745247655,0.11235416923349062,0.016222988218985934,0.5134926193565861,0.04999995050034721,53.07458515301039,0.35383056768673593,0.46728101300684355,0.8266666666666667,0.7663594934965783,0.8266666666666667,26.0,26.0,2.7309587001800537,0.0014775853903372983,True
Layered_noLW,150,2023-Q4,2021-09-29,2023-09-29,2023-10-01,2023-12-31,459,0,0.9,504,0.012326145808562526,0.01802746130487217,,4.467560567240868,-0.006482584984854694,0.13562174113405567,0.11235416923349062,0.023267571900565054,0.547637038405559,0.059884904024993614,49.745930513614574,0.3316395367574305,0.603582591263397,0.76,0.6982087043683015,0.76,36.0,36.0,2.3230068683624268,0.0024314007352269087,True
Layered_LW,200,2023-Q4,2021-09-29,2023-09-29,2023-10-01,2023-12-31,459,0,0.9,504,0.01213500327053796,0.016272231495685907,,4.26409052098949,-0.006041057048449278,0.12973414379835457,0.11235416923349062,0.017379974564863954,0.5227601771708796,0.05440084891114655,50.91206233771399,0.25456031168856996,0.42102972391930954,0.84,0.7894851380403453,0.84,32.0,32.0,2.9848997592926025,0.0025340672559640153,True
Layered_noLW,200,2023-Q4,2021-09-29,2023-09-29,2023-10-01,2023-12-31,459,0,0.9,504,0.011463114273553088,0.015315361035729067,,4.317969976238548,-0.0023691398815202137,0.13328788570136196,0.11235416923349062,0.020933716467871344,0.5032029699054699,0.05038467070072785,51.66810094312892,0.2583405047156446,0.4556432965094255,0.805,0.7721783517452873,0.805,39.0,39.0,1.9917747974395752,0.0019725530556785028,True
Layered_LW,100,2024-Q1,2021-12-29,2023-12-29,2024-01-01,2024-03-31,459,0,0.9,504,0.01223103075851906,0.028419732144747356,,3.4740566119122485,-0.024462742962752256,0.08577281629754796,0.10158014260367709,-0.015807326306129132,0.5438409354417677,0.04544217846403427,47.39477207039841,0.4739477207039841,0.6154538471987212,0.72,0.6922730764006394,0.72,28.0,28.0,3.7072031497955322,0.0027260435712755655,True
Layered_noLW,100,2024-Q1,2021-12-29,2023-12-29,2024-01-01,2024-03-31,459,0,0.9,504,0.011525505861228582,0.025926719374759256,,3.5693897721857466,-0.023541141820313284,0.08898998285692006,0.10158014260367709,-0.012590159746757035,0.5494600372950409,0.05167176194994741,48.2453018307502,0.482453018307502,0.502940826425535,0.74,0.7485295867872326,0.74,26.0,26.0,2.3180179595947266,0.0018729274492161878,True
Layered_LW,150,2024-Q1,2021-12-29,2023-12-29,2024-01-01,2024-03-31,459,0,0.9,504,0.010257214804128086,0.026916969907473172,,3.591823917242316,-0.024572927785081092,0.08842230908919912,0.10158014260367709,-0.013157833514477968,0.5034315794327224,0.04597094136345108,50.696228501253074,0.3379748566750205,0.4381822011025924,0.8133333333333334,0.7809088994487038,0.8133333333333334,28.0,28.0,2.6951520442962646,0.00138230519021291,True
