asset,sector,weight,benchmark_weight,active_weight
AAPL,Information Technology,0.06901382392814771,0.06220292512399854,0.006810898804149174
MSFT,Information Technology,0.04961239242864114,0.04996358896072152,-0.0003511965320803778
AMZN,Consumer Discretionary,0.034171825461647064,0.03760694661080215,-0.0034351211491550834
GOOGL,Communication Services,0.0252061133873706,0.059352354194095014,-0.03414624080672442
UNH,Health Care,0.020946515898092887,0.004274350370088312,0.016672165528004573
TSLA,Consumer Discretionary,0.020454472497964726,0.02447106463921183,-0.004016592141247104
JPM,Financials,0.019649899536294663,0.012833637451742127,0.006816262084552537
META,Communication Services,0.01914819474681112,0.026813570896259357,-0.0076653761494482366
V,Financials,0.016222712874953832,0.010058034883468722,0.00616467799148511
MCD,Consumer Discretionary,0.016130201362475265,0.0038481838734688635,0.012282017489006402
VZ,Communication Services,0.015244593576576164,0.003544132231627388,0.011700461344948777
JNJ,Health Care,0.013749003345199904,0.009523098764412754,0.00422590458078715
NVDA,Information Technology,0.012601742707951983,0.0710689597180084,-0.05846721701005642
O,Real Estate,0.012342403545164376,0.000999838383328524,0.011342565161835851
CTAS,Industrials,0.012341447720407482,0.001345011947943894,0.010996435772463588
ADBE,Information Technology,0.012014256410335666,0.001951556285925189,0.010062700124410476
DIS,Communication Services,0.011818942887640033,0.002959958905856677,0.008858983981783357
CRM,Information Technology,0.010983750459709183,0.003112951846759215,0.007870798612949967
MDT,Health Care,0.010949099821147447,0.001918381592826299,0.009030718228321149
ABT,Health Care,0.010703959595688067,0.0031294467499965594,0.007574512845691508
PNC,Financials,0.009362782832245632,0.0013698839792886987,0.007992898852956933
SCHW,Financials,0.009178772938157942,0.002781575227654184,0.0063971977105037586
WMT,Consumer Staples,0.009080163056413633,0.016224799095838877,-0.007144636039425244
LIN,Materials,0.009043888212219069,0.003692363096362232,0.0053515251158568365
GS,Financials,0.008881530248914847,0.00404974826764838,0.004831781981266468
AVGO,Information Technology,0.008796929611928534,0.025754066313624827,-0.016957136701696292
KMI,Energy,0.00878322391859617,0.0012280553357199222,0.007555168582876247
ACN,Information Technology,0.00877848561095228,0.002191656277352222,0.006586829333600057
TMO,Health Care,0.008647601090124486,0.0030652308988853346,0.005582370191239151
ETN,Industrials,0.008437816447020319,0.002225340923579917,0.006212475523440402
AMGN,Health Care,0.008376437455919329,0.003274447148515394,0.005101990307403935
KO,Consumer Staples,0.00815861523070584,0.005447437013743262,0.002711178216962579
LLY,Health Care,0.008077287983984662,0.014569917031075283,-0.006492629047090621
MRK,Health Care,0.00787800555306223,0.004705798995419273,0.0031722065576429573
MMM,Industrials,0.007561193452032606,0.001328195479332484,0.0062329979727001215
ALL,Financials,0.007539783439006455,0.000905801989503631,0.006633981449502824
ADI,Information Technology,0.007491597353282841,0.0025343835616627513,0.00495721379162009
AMD,Information Technology,0.007456340556118364,0.005157478768907521,0.0022988617872108427
