asset,sector,weight,benchmark_weight,active_weight
BRK-B,Financials,0.21278167906809417,0.0,0.21278167906809417
AAPL,Information Technology,0.0761612176146584,0.06220292512399854,0.013958292490659857
MSFT,Information Technology,0.0747757646356117,0.04996358896072152,0.024812175674890177
AMZN,Consumer Discretionary,0.048853038964225846,0.03760694661080215,0.0112460923534237
NDAQ,Financials,0.045530657833027594,0.0008299984735812318,0.04470065935944636
TDY,Information Technology,0.04099334998768514,0.0004998312594242014,0.04049351872826094
AME,Industrials,0.04095217669822396,0.0008399849098065547,0.040112191788417406
MS,Financials,0.03692232256919257,0.004183208670594909,0.03273911389859766
MA,Financials,0.03427281516122439,0.007662601228118981,0.026610213933105413
ADP,Industrials,0.034119074049995306,0.0015042037751235387,0.03261487027487177
TXN,Information Technology,0.032325388184306796,0.0028857478656937833,0.029439640318613014
A,Health Care,0.031823121523983,0.0005349921371445832,0.03128812938683841
TXT,Industrials,0.027364131685897283,0.0002718567939873042,0.02709227489190998
AVGO,Information Technology,0.027123498852494897,0.025754066313624827,0.0013694325388700704
ITW,Industrials,0.026037168413842793,0.001313014577317975,0.024724153836524817
MSI,Information Technology,0.024232012594244134,0.001261471472167095,0.02297054112207704
VRSN,Information Technology,0.01966535558234535,0.00037146920950063557,0.019293886372844717
GOOGL,Communication Services,0.018755308544715257,0.059352354194095014,-0.04059704564937976
APO,Financials,0.017310864464973666,0.0010370957312823572,0.01627376873369131
CPRT,Industrials,0.015238615442896451,0.0006005238073733463,0.014638091635523105
TYL,Information Technology,0.014418556985602075,0.0002646802675044238,0.01415387671809765
PAYX,Industrials,0.013823113495396075,0.0005950808959748005,0.013228032599421274
CDW,Information Technology,0.012011979157697365,0.00026413161678375457,0.01174784754091361
PH,Industrials,0.011313651967899706,0.0019164679556693287,0.009397184012230378
KEYS,Information Technology,0.010986853674501198,0.0007693484565939354,0.010217505217907262
BR,Industrials,0.009119058630319879,0.0003778319756187129,0.008741226654701166
ISRG,Health Care,0.008936144570018487,0.002861347140382994,0.006074797429635494
TDG,Industrials,0.008052448825929502,0.0012017174079504622,0.00685073141797904
ADBE,Information Technology,0.006986301633068085,0.001951556285925189,0.005034745347142896
ECL,Materials,0.004427409302324806,0.0013161439147249716,0.0031112653875998344
APTV,Consumer Discretionary,0.003999030900060528,0.00025822172526729115,0.0037408091747932366
QCOM,Information Technology,0.0030714151135911557,0.002381608768124529,0.0006898063454666265
IQV,Health Care,0.0020279003479680064,0.0004884613716654591,0.0015394389763025472
CBRE,Real Estate,0.0014536431239469893,0.0006693435104837024,0.0007842996134632869
CTAS,Industrials,0.0001291637499418998,0.001345011947943894,-0.0012158481980019942
SPGI,Financials,0.00010406993484634376,0.00225156802710195,-0.0021474980922556062
