asset,sector,weight,benchmark_weight,active_weight
AAPL,Information Technology,0.07030364093155642,0.06220292512399854,0.008100715807557876
MSFT,Information Technology,0.06402104495297306,0.04996358896072152,0.014057455992251541
VZ,Communication Services,0.0366821076228243,0.003544132231627388,0.03313797539119691
GOOG,Communication Services,0.03448873669766505,0.05931655863547039,-0.02482782193780534
AMZN,Consumer Discretionary,0.023823708625784062,0.03760694661080215,-0.013783237985018085
CMCSA,Communication Services,0.020750372385127346,0.0019113385301128367,0.01883903385501451
MCD,Consumer Discretionary,0.02051185330008712,0.0038481838734688635,0.016663669426618254
GOOGL,Communication Services,0.01964128758110288,0.059352354194095014,-0.03971106661299213
JPM,Financials,0.018793687473475446,0.012833637451742127,0.00596005002173332
DIS,Communication Services,0.018504009843598367,0.002959958905856677,0.01554405093774169
AVGO,Information Technology,0.01750825193472607,0.025754066313624827,-0.008245814378898757
UNH,Health Care,0.015279007648710692,0.004274350370088312,0.01100465727862238
RSG,Industrials,0.014780914418745732,0.0011757116836055498,0.013605202735140182
TSLA,Consumer Discretionary,0.014339644942570647,0.02447106463921183,-0.010131419696641183
MET,Financials,0.013885001046476931,0.0007779736263341544,0.013107027420142777
V,Financials,0.013488150450811235,0.010058034883468722,0.0034301155673425125
ACN,Information Technology,0.012656141508787416,0.002191656277352222,0.010464485231435193
COP,Energy,0.012554689305249897,0.002352243978345754,0.010202445326904144
O,Real Estate,0.012007496167465428,0.000999838383328524,0.011007657784136904
FITB,Financials,0.011890269498478484,0.000701173567467546,0.011189095931010938
META,Communication Services,0.011889384002426088,0.026813570896259357,-0.014924186893833269
LLY,Health Care,0.01160964541483753,0.014569917031075283,-0.0029602716162377522
SLB,Energy,0.011550967716482768,0.0011528036518339217,0.010398164064648847
PFE,Health Care,0.011534991581814417,0.0025283637716785705,0.009006627810135847
EVRG,Utilities,0.011404938360318783,0.0003155454494224475,0.011089392910896336
LIN,Materials,0.010930982309124744,0.003692363096362232,0.0072386192127625116
GPC,Consumer Discretionary,0.010695268895201839,0.0002641569663154413,0.010431111928886398
TDY,Information Technology,0.010674071601027972,0.0004998312594242014,0.01017424034160377
VRSK,Industrials,0.010435377878253682,0.0004921953273846643,0.009943182550869019
ABBV,Health Care,0.0103584690431336,0.006688123485833668,0.0036703455572999312
TER,Information Technology,0.009929298483512749,0.000702678649622458,0.00922661983389029
NVDA,Information Technology,0.00992290991513294,0.0710689597180084,-0.06114604980287546
ORCL,Information Technology,0.009897764715969894,0.007226423922019307,0.002671340793950587
COST,Consumer Staples,0.009877277465833936,0.0072838440787554954,0.0025934333870784405
AMD,Information Technology,0.009388244457875615,0.005157478768907521,0.0042307656889680936
BRK-B,Financials,0.009343746673161665,0.0,0.009343746673161665
ETN,Industrials,0.009212744901614575,0.002225340923579917,0.006987403978034658
HD,Consumer Discretionary,0.009169690941380608,0.005857027811805249,0.0033126631295753595
MRK,Health Care,0.009026827950570972,0.004705798995419273,0.004321028955151699
XYL,Industrials,0.008817326799318528,0.0004928595995748926,0.008324467199743635
KMI,Energy,0.008673572061111124,0.0012280553357199222,0.007445516725391202
WMT,Consumer Staples,0.008399166879346978,0.016224799095838877,-0.007825632216491898
GILD,Health Care,0.008085023567034654,0.0029376887531373723,0.005147334813897281
PEP,Consumer Staples,0.007959722702469942,0.0035833696708889875,0.004376353031580954
NXPI,Information Technology,0.007799308745637928,0.0008379729043473422,0.006961335841290586
PG,Consumer Staples,0.00777784864008507,0.005901062877175393,0.001876785762909677
TTWO,Communication Services,0.007761918944909758,0.0006437819584111331,0.007118136986498625
SBUX,Consumer Discretionary,0.007650704135991593,0.0018538492933779492,0.005796854842613644
SNPS,Information Technology,0.007330863321458068,0.0013773463697135677,0.0059535169517445
SCHW,Financials,0.007092391110631504,0.002781575227654184,0.0043108158829773206
TJX,Consumer Discretionary,0.0070502436360187085,0.002914834180935888,0.00413540945508282
PM,Consumer Staples,0.007035702675965793,0.004349527183644337,0.002686175492321456
GS,Financials,0.006586480089302962,0.00404974826764838,0.0025367318216545824
DE,Industrials,0.006516677412499543,0.0026185690534118173,0.0038981083590877252
MKC,Consumer Staples,0.006511553687364785,0.00028615369420558357,0.006225399993159201
NFLX,Communication Services,0.006369032194963192,0.006904421175954246,-0.0005353889809910544
CB,Financials,0.0061878305552155,0.002121874571297007,0.004065955983918493
PANW,Information Technology,0.006093786615426821,0.0022138628710863684,0.0038799237443404525
NSC,Industrials,0.005994028253010003,0.0011179282172465697,0.004876100035763433
ADBE,Information Technology,0.0058700146949268355,0.001951556285925189,0.0039184584090016465
WDC,Information Technology,0.005838494833107143,0.0013783269555820538,0.004460167877525089
DOC,Real Estate,0.005772102758239925,0.00019742449247379829,0.0055746782657661266
KMB,Consumer Staples,0.00574514141881201,0.0005705978940963592,0.0051745435247156505
NOW,Information Technology,0.005701345065681625,0.0021565880112675243,0.0035447570544141008
CBOE,Financials,0.005433837980840012,0.0005183386057620757,0.004915499375077936
HRL,Consumer Staples,0.005371791842044607,0.0002208908535721513,0.005150900988472456
TT,Industrials,0.0052926435523541005,0.0015422718367853125,0.003750371715568788
BKNG,Consumer Discretionary,0.005237873093370936,0.0024110664725214385,0.002826806620849497
NOC,Industrials,0.005135978909149042,0.0017738892622121331,0.003362089646936909
CNC,Health Care,0.005087046339327037,0.0003528516785449516,0.004734194660782086
UPS,Industrials,0.0046330319865513754,0.001428680080326478,0.0032043519062248975
AMAT,Information Technology,0.004423283237995447,0.0042363111254240466,0.00018697211257140064
HAL,Energy,0.004399090835701992,0.0004710658025971107,0.003928025033104881
