asset,sector,weight,benchmark_weight,active_weight
MSFT,Information Technology,0.06576557649277012,0.04996358896072152,0.015801987532048603
AAPL,Information Technology,0.0637615402003637,0.06220292512399854,0.0015586150763651635
NVDA,Information Technology,0.05208960220718469,0.0710689597180084,-0.018979357510823712
META,Communication Services,0.03137415784776748,0.026813570896259357,0.004560586951508124
GOOG,Communication Services,0.031071278759621027,0.05931655863547039,-0.028245279875849363
AMZN,Consumer Discretionary,0.024294958682609728,0.03760694661080215,-0.01331198792819242
JPM,Financials,0.022198431628689626,0.012833637451742127,0.0093647941769475
GOOGL,Communication Services,0.019734806205282937,0.059352354194095014,-0.03961754798881208
AVGO,Information Technology,0.019323789525004794,0.025754066313624827,-0.0064302767886200325
TSLA,Consumer Discretionary,0.018977456954392947,0.02447106463921183,-0.005493607684818883
NWS,Communication Services,0.01839780492694077,0.0002516104293780624,0.018146194497562707
XOM,Energy,0.016556334991623938,0.010356771809152905,0.006199563182471033
PG,Consumer Staples,0.016437013467425435,0.005901062877175393,0.010535950590250042
PWR,Industrials,0.016219540606465813,0.0013285550185070044,0.014890985587958809
COST,Consumer Staples,0.015884001696601525,0.0072838440787554954,0.008600157617846028
WFC,Financials,0.015158693999371588,0.004149655990056738,0.01100903800931485
QCOM,Information Technology,0.014089810921839259,0.002381608768124529,0.01170820215371473
TMUS,Communication Services,0.013827304572101138,0.0040737514799841935,0.009753553092116944
TER,Information Technology,0.013352135509329835,0.000702678649622458,0.012649456859707376
PH,Industrials,0.013339114970291067,0.0019164679556693287,0.011422647014621739
PSX,Energy,0.012888737269392927,0.0010932399952550311,0.011795497274137897
UNH,Health Care,0.012753616362895397,0.004274350370088312,0.008479265992807085
ORCL,Information Technology,0.01237274597686093,0.007226423922019307,0.005146322054841623
LIN,Materials,0.011989316989708631,0.003692363096362232,0.0082969538933464
DTE,Utilities,0.011969184264216911,0.0005128211270160054,0.011456363137200906
MA,Financials,0.011628062786799634,0.007662601228118981,0.003965461558680653
SYK,Health Care,0.01146349240519261,0.0022932935582465515,0.00917019884694606
JNJ,Health Care,0.011235949976048319,0.009523098764412754,0.0017128512116355646
NI,Utilities,0.011149111457407481,0.00036545699407771566,0.010783654463329765
VRTX,Health Care,0.011041943106458011,0.0019070351020456738,0.009134908004412337
HD,Consumer Discretionary,0.010937522548494501,0.005857027811805249,0.005080494736689253
CSCO,Information Technology,0.010868771551057357,0.00510747131347433,0.005761300237583027
CRM,Information Technology,0.010699320901289625,0.003112951846759215,0.00758636905453041
ABT,Health Care,0.010206229115813679,0.0031294467499965594,0.00707678236581712
DIS,Communication Services,0.010193469866451524,0.002959958905856677,0.007233510960594847
IBM,Information Technology,0.009145889377331502,0.003991278041068406,0.005154611336263096
PFE,Health Care,0.009084834097521886,0.0025283637716785705,0.006556470325843316
NVR,Consumer Discretionary,0.00897728658554721,0.0003247975235173407,0.00865248906202987
SPGI,Financials,0.00871503276002718,0.00225156802710195,0.0064634647329252296
CVX,Energy,0.008330192199949982,0.006242392402447899,0.002087799797502083
ESS,Real Estate,0.008269061810799293,0.00028995834582989114,0.007979103464969403
BLK,Financials,0.008263705945384467,0.0024428645480244027,0.0058208413973600635
TKO,Communication Services,0.008046761628711287,0.0002629395659972207,0.007783822062714067
T,Communication Services,0.007840315388178568,0.003337571185534105,0.004502744202644463
VZ,Communication Services,0.0077433961198777315,0.003544132231627388,0.004199263888250343
TRV,Financials,0.00764221858596082,0.0011231416699359832,0.006519076916024836
PYPL,Financials,0.007568402392795739,0.0007224036150992117,0.006845998777696527
NDAQ,Financials,0.007107122110277767,0.0008299984735812318,0.006277123636696536
MCK,Health Care,0.007077860697413885,0.001865057893478908,0.0052128028039349775
YUM,Consumer Discretionary,0.006768621217185115,0.0007302425117158259,0.006038378705469289
NSC,Industrials,0.006720954710337648,0.0011179282172465697,0.005603026493091079
ABBV,Health Care,0.006676158819037387,0.006688123485833668,-1.196466679628111e-05
RTX,Industrials,0.0065795575171013615,0.004628212326781893,0.0019513451903194687
PGR,Financials,0.0065421858007397,0.00202827534748338,0.00451391045325632
BRK-B,Financials,0.006449137409828313,0.0,0.006449137409828313
TT,Industrials,0.006427108554984029,0.0015422718367853125,0.004884836718198717
REGN,Health Care,0.006344451652455112,0.0013204894910174624,0.00502396216143765
UNP,Industrials,0.006275256924781133,0.002478609205597346,0.0037966477191837865
WAT,Health Care,0.005909767705588504,0.00048787112818728795,0.005421896577401216
ULTA,Consumer Discretionary,0.005806855912025043,0.00047638253863740716,0.0053304733733876355
UPS,Industrials,0.005805881837032724,0.001428680080326478,0.004377201756706246
NOW,Information Technology,0.005655476030192429,0.0021565880112675243,0.0034988880189249045
HON,Industrials,0.00529207926254981,0.0026063000147343238,0.002685779247815486
