asset,sector,weight,benchmark_weight,active_weight
MSFT,Information Technology,0.07204945681019612,0.04996358896072152,0.022085867849474597
AAPL,Information Technology,0.06342218269580081,0.06220292512399854,0.0012192575718022736
NVDA,Information Technology,0.054009192885683885,0.0710689597180084,-0.01705976683232452
GOOGL,Communication Services,0.05259872545752276,0.059352354194095014,-0.006753628736572252
META,Communication Services,0.03090010692436287,0.026813570896259357,0.004086536028103514
AMZN,Consumer Discretionary,0.021104084823525552,0.03760694661080215,-0.016502861787276595
DIS,Communication Services,0.02058061008761328,0.002959958905856677,0.017620651181756604
TMO,Health Care,0.02017144436742789,0.0030652308988853346,0.017106213468542554
ETN,Industrials,0.019714550313006333,0.002225340923579917,0.017489209389426417
CSCO,Information Technology,0.01963380384893649,0.00510747131347433,0.014526332535462158
TSLA,Consumer Discretionary,0.0187727859232974,0.02447106463921183,-0.0056982787159144295
MAR,Consumer Discretionary,0.018663619138249803,0.0014104004084677499,0.017253218729782055
BAC,Financials,0.017982282599918138,0.005838615635621529,0.012143666964296609
MCD,Consumer Discretionary,0.017180091702178976,0.0038481838734688635,0.013331907828710113
SPGI,Financials,0.017148489440499435,0.00225156802710195,0.014896921413397485
AVGO,Information Technology,0.01697073765662028,0.025754066313624827,-0.008783328657004548
TMUS,Communication Services,0.01531638846526338,0.0040737514799841935,0.011242636985279187
NFLX,Communication Services,0.015265319983696601,0.006904421175954246,0.008360898807742354
LLY,Health Care,0.015254514278018282,0.014569917031075283,0.0006845972469429994
XOM,Energy,0.015161941953850204,0.010356771809152905,0.0048051701446972985
JPM,Financials,0.014958729140822477,0.012833637451742127,0.002125091689080351
HD,Consumer Discretionary,0.01490441602549352,0.005857027811805249,0.009047388213688272
V,Financials,0.014531222527245041,0.010058034883468722,0.004473187643776319
UNH,Health Care,0.013774740201915062,0.004274350370088312,0.00950038983182675
CRM,Information Technology,0.013640927218842277,0.003112951846759215,0.01052797537208306
T,Communication Services,0.013096502992247077,0.003337571185534105,0.009758931806712973
PG,Consumer Staples,0.013028537618731231,0.005901062877175393,0.0071274747415558375
GS,Financials,0.012515186075963842,0.00404974826764838,0.008465437808315462
CAT,Industrials,0.01224449689156182,0.005237876576049504,0.007006620315512316
CVX,Energy,0.011757115630042529,0.006242392402447899,0.00551472322759463
HON,Industrials,0.011080082323979295,0.0026063000147343238,0.00847378230924497
COST,Consumer Staples,0.01072014362574084,0.0072838440787554954,0.0034362995469853453
PEP,Consumer Staples,0.010086391581719012,0.0035833696708889875,0.006503021910830024
ABBV,Health Care,0.009866270972081011,0.006688123485833668,0.003178147486247343
KLAC,Information Technology,0.009756869805913468,0.0029039693649220272,0.00685290044099144
AMAT,Information Technology,0.009519781704412198,0.0042363111254240466,0.005283470578988152
ORCL,Information Technology,0.009387557433955114,0.007226423922019307,0.002161133511935807
DE,Industrials,0.0088800306865078,0.0026185690534118173,0.006261461633095983
LOW,Consumer Discretionary,0.008588200476617066,0.0023226365332888947,0.006265563943328171
WMB,Energy,0.008489311644257981,0.0014907296742465005,0.006998581970011481
AEP,Utilities,0.008328994259629886,0.0011724033845644942,0.0071565908750653925
VZ,Communication Services,0.008227646367878714,0.003544132231627388,0.004683514136251326
PLD,Real Estate,0.008163320628574304,0.00205576447390564,0.006107556154668663
ABT,Health Care,0.008055479793451274,0.0031294467499965594,0.004926033043454715
SHW,Materials,0.007855637445094226,0.0013435631531953302,0.006512074291898895
WMT,Consumer Staples,0.007789291439046237,0.016224799095838877,-0.00843550765679264
NEE,Utilities,0.007654644688329692,0.0031173094076908563,0.004537335280638836
DLR,Real Estate,0.0076242215419422225,0.0010130983092778189,0.006611123232664403
ADP,Industrials,0.007500746830811863,0.0015042037751235387,0.005996543055688324
MS,Financials,0.007351323466446652,0.004183208670594909,0.0031681147958517427
ISRG,Health Care,0.007329475865787457,0.002861347140382994,0.004468128725404462
LIN,Materials,0.007245108918161241,0.003692363096362232,0.0035527458217990086
WFC,Financials,0.00720101328235494,0.004149655990056738,0.0030513572922982015
IBM,Information Technology,0.007172777017980141,0.003991278041068406,0.003181498976911735
BA,Industrials,0.006720926190698669,0.002983495390559948,0.003737430800138721
CB,Financials,0.006381920616276263,0.002121874571297007,0.004260046044979256
