model,K,quarter,train_start,train_end,eval_start,eval_end,universe_size,assets_dropped,coverage_threshold,train_length_days,TE_annual_insample,TE_annual_oos,information_ratio_oos,sharpe_ratio_oos,max_drawdown_te_oos,portfolio_return_oos,benchmark_return_oos,tracking_difference,asset_active_share,sector_active_share,n_eff_absolute,diversification_norm,turnover,composition_stability,avg_weight_stability,retained_fraction,assets_added,assets_removed,execution_time,solver_gap,solver_optimal
Stratified,50,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,0.9,504,0.020723049854947294,0.02005104812243527,,-0.7740560261780597,-0.007371565778077262,-0.021616283156792204,-0.03647555543559822,0.014859272278806013,0.520782417236719,0.17157274648104037,34.02909289418075,0.680581857883615,0.0937331389559528,1.0,0.9531334305220236,1.0,0,0,0.09521746635437012,,
Stratified_sector,50,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,0.9,504,0.028103639599116683,0.02419494333910128,,-0.5783862259644355,-0.007844227368145135,-0.017398765214795553,-0.03647555543559822,0.019076790220802664,0.5172228648658885,0.04734297487502443,28.69288582896058,0.5738577165792116,0.09931479485283093,1.0,0.9503426025735845,1.0,0,0,0.11783051490783691,,
MarketCap,50,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,0.9,504,0.021161365903111008,0.020126101920057884,,-0.9092234638937169,-0.00671371968535601,-0.025501167060669738,-0.03647555543559822,0.010974388374928479,0.5294933952443057,0.1689933675791713,30.884027587317807,0.6176805517463562,0.12835451537556292,1.0,0.9358227423122185,1.0,0,0,0.04211592674255371,,
MarketCap_sector,50,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,0.9,504,0.023605779377006468,0.021347388841006978,,-1.0925675456888402,-0.011117962248304159,-0.03073754066168577,-0.03647555543559822,0.005738014773912448,0.5283318278407341,0.05715929272286623,29.279477555391377,0.5855895511078275,0.1500334159844187,1.0,0.9249832920077906,1.0,0,0,0.08585000038146973,,
Contribution,50,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,0.9,504,0.03984457012209559,0.03883314326287688,,-0.4720186198017856,-0.007434869199572664,-0.013998000627777785,-0.03647555543559822,0.022477554807820432,0.7711333515465402,0.4453073698017542,10.155971151304332,0.20311942302608663,0.2177406923279593,0.94,0.8911296538360204,0.94,3,3,0.08323073387145996,,
Contribution_sector,50,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,0.9,504,0.061702805296248546,0.06656620653716216,,0.17618886020885904,-0.01737932543209047,0.0035839613151003036,-0.03647555543559822,0.04005951675069852,0.8049043421547912,0.20641579426982698,7.62159484447583,0.15243189688951658,0.4181808216920791,0.94,0.7909095891539605,0.94,3,3,0.11224055290222168,,
LASSO,50,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,0.9,504,0.014006401993965524,0.022820470557829875,,-1.4801553120161868,-0.008813027348253788,-0.03990142200931379,-0.03647555543559822,-0.0034258665737155747,0.6345519155596655,0.169237116042256,32.20121022774568,0.6440242045549137,0.8829186325862063,0.6,0.5585406837068969,0.6,20,20,1.1935508251190186,,
LASSO_sector,50,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,0.9,504,0.020031226473737184,0.026873832964274504,,-1.563534486367862,-0.011699161012346776,-0.04195545379341781,-0.03647555543559822,-0.00547989835781959,0.629669503042326,0.04765092937724797,28.791008463527785,0.5758201692705557,0.7806326258441737,0.6,0.6096836870779132,0.6,20,20,1.3631055355072021,,
MIQP_Gurobi,50,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,0.9,504,0.014432145123463715,0.017714853432947066,,-1.4412221299308163,-0.007212098023213799,-0.03844645669916957,-0.03647555543559822,-0.0019709012635713563,0.6313504049109251,0.17216634993592178,34.584875320362826,0.6916975064072566,1.2089884959743484,0.4,0.3955057520128258,0.4,30,30,4.30505895614624,0.004907414092797954,True
Layered,50,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,0.9,504,0.015114128242431578,0.01785518480405912,,-1.2640447538001574,-0.005767977943258649,-0.03367225180222677,-0.03647555543559822,0.0028033036333714456,0.6166323159397846,0.054310283821503345,37.20192763870082,0.7440385527740164,0.8999504065430303,0.48,0.5500247967284848,0.48,26,26,6.090120315551758,0.004663439342653751,True
