model,K,n_daily_obs,IR_full_period,TE_annual_oos_full,portfolio_return_full_period,benchmark_return_full_period,tracking_difference_full_period,information_ratio_full_period,n_oos_days
Stratified,50,808,2.9422942216607924,0.024961282733275972,1.166608733502291,0.707610396454617,0.458998337047674,2.9422942216607924,808
Stratified_sector,50,808,2.8928751593246056,0.028566013195257818,1.2298360496906806,0.707610396454617,0.5222256532360636,2.8928751593246056,808
MarketCap,50,808,3.202239812805422,0.025322792278379306,1.2210063632871488,0.707610396454617,0.5133959668325319,3.202239812805422,808
MarketCap_sector,50,808,3.523506723604728,0.026380693566151144,1.3063091057850418,0.707610396454617,0.5986987093304248,3.523506723604728,808
Contribution,50,808,0.4011613819978683,0.05197412738033993,0.8113642057307726,0.707610396454617,0.10375380927615563,0.4011613819978683,808
Contribution_sector,50,808,0.2719269217641944,0.0671862520381345,0.7862549077267746,0.707610396454617,0.07864451127215766,0.2719269217641944,808
LASSO,50,808,1.506710825009519,0.026964761577185466,0.9485249372476232,0.707610396454617,0.24091454079300623,1.506710825009519,808
LASSO_sector,50,808,1.6869334950406125,0.029048339170627244,1.0013619352147662,0.707610396454617,0.29375153876014926,1.6869334950406125,808
MIQP_Gurobi,50,808,2.0844754025493635,0.023507156104255307,1.001679604418198,0.707610396454617,0.29406920796358094,2.0844754025493635,808
Layered,50,808,2.181688538807014,0.025786986804207438,1.0498676236342965,0.707610396454617,0.34225722717967955,2.181688538807014,808
Stratified,75,808,3.1060391214954235,0.02275993016007646,1.1479704924418752,0.707610396454617,0.4403600959872582,3.1060391214954235,808
Stratified_sector,75,808,3.1379072816278244,0.0241968576336653,1.1844933977978491,0.707610396454617,0.47688300134323214,3.1379072816278244,808
MarketCap,75,808,2.964941364956145,0.021713196078132182,1.10430912840412,0.707610396454617,0.396698731949503,2.964941364956145,808
MarketCap_sector,75,808,3.0641120629366365,0.02275899631398081,1.1410014173028222,0.707610396454617,0.43339102084820524,3.0641120629366365,808
Contribution,75,808,0.11291427862395619,0.04696817469911106,0.7275295020033794,0.707610396454617,0.019919105548762417,0.11291427862395619,808
Contribution_sector,75,808,-0.19717120406419741,0.06260152092633567,0.6237098455789756,0.707610396454617,-0.08390055087564141,-0.19717120406419741,808
LASSO,75,808,1.7473290241718273,0.02367768528718351,0.9541931125945335,0.707610396454617,0.24658271613991656,1.7473290241718273,808
LASSO_sector,75,808,2.019804013674491,0.025258426321034873,1.0157164500720866,0.707610396454617,0.30810605361746957,2.019804013674491,808
MIQP_Gurobi,75,808,2.078739063453901,0.02202660548443703,0.9823413216275165,0.707610396454617,0.27473092517289954,2.078739063453901,808
Layered,75,808,2.1440231891816226,0.024351236023387894,1.0233048523935055,0.707610396454617,0.31569445593888856,2.1440231891816226,808
Stratified,100,808,3.187926522819149,0.021038022625108847,1.1227398835691744,0.707610396454617,0.41512948711455744,3.187926522819149,808
Stratified_sector,100,808,3.2505552769973174,0.021982072638508814,1.153050003912238,0.707610396454617,0.445439607457621,3.2505552769973174,808
MarketCap,100,808,2.8457838328964593,0.020933248357380644,1.072058349370153,0.707610396454617,0.364447952915536,2.8457838328964593,808
MarketCap_sector,100,808,2.9019863177347207,0.022087892310779643,1.1025467617195188,0.707610396454617,0.39493636526490183,2.9019863177347207,808
Contribution,100,808,0.3840711234873039,0.04173261305584968,0.79381052428166,0.707610396454617,0.086200127827043,0.3840711234873039,808
Contribution_sector,100,808,-0.37365354208392326,0.05208134800354346,0.5972488098012969,0.707610396454617,-0.11036158665332008,-0.37365354208392326,808
LASSO,100,808,1.6036502680348188,0.0226947903535355,0.9234016564150616,0.707610396454617,0.21579125996044457,1.6036502680348188,808
LASSO_sector,100,808,1.9091711361507246,0.02400518319122588,0.9826442460944043,0.707610396454617,0.2750338496397873,1.9091711361507246,808
MIQP_Gurobi,100,808,1.5733553789186552,0.02331484917742336,0.9256306252053996,0.707610396454617,0.21802022875078264,1.5733553789186552,808
