asset,sector,weight,benchmark_weight
AAPL,Information Technology,0.08115381420353839,0.08822900026905098
MSFT,Information Technology,0.054316880400616586,0.07086865280162696
GOOGL,Communication Services,0.03362144401930752,0.08418573344775522
AMZN,Consumer Discretionary,0.02839938945313299,0.05334191753889916
JNJ,Health Care,0.01774451859208339,0.013507620128356452
PFE,Health Care,0.016194303217496982,0.0035862462648982834
VZ,Communication Services,0.01569534118366488,0.0050270183113488975
ACN,Information Technology,0.014932427817967069,0.003108658345225846
MCD,Consumer Discretionary,0.014862198659404038,0.005458286974942455
UNH,Health Care,0.014759755722127755,0.0060627640774250716
LLY,Health Care,0.014385351798175433,0.02066605728094347
LIN,Materials,0.012900170361882738,0.005237269854640493
JPM,Financials,0.012328889582569598,0.0182033079622136
TSLA,Consumer Discretionary,0.01171387851247043,0.03470990414571352
NVDA,Information Technology,0.011559009976552728,0.10080463665626188
MMC,Financials,0.011386436071240692,0.0020941954319477546
D,Utilities,0.011083252210737606,0.0012957474198403887
COST,Consumer Staples,0.010447364988476475,0.010331447916688155
NOC,Industrials,0.009698237762878842,0.002516095117407884
AVGO,Information Technology,0.00887977432903047,0.036529721378606064
MNST,Consumer Staples,0.008861174482606838,0.0017245820629486787
TRV,Financials,0.00881407148393706,0.001593070848379329
TXN,Information Technology,0.008677970998335234,0.004093161996982682
ABT,Health Care,0.008496058687602918,0.0044388259490533485
EW,Health Care,0.008333250228951367,0.0011055418072561953
UPS,Industrials,0.008279462883518354,0.002026448353356952
DLR,Real Estate,0.008267328253139736,0.0014369846888014313
WAT,Health Care,0.008229947070927652,0.0006919993201974268
BRK-B,Financials,0.008209238442948347,0.0017369881470370035
CVX,Energy,0.008180839365254336,0.008854246642857772
MAR,Consumer Discretionary,0.008177260764203963,0.0020005203576858983
PM,Consumer Staples,0.008107163566109238,0.006169395318483894
COP,Energy,0.008035139762005969,0.003336436898821523
META,Communication Services,0.00793662817481423,0.03803252900252369
SNPS,Information Technology,0.007881105486156349,0.0019536363118259586
MCK,Health Care,0.007877282421261868,0.0026454092481586573
AJG,Financials,0.007857181026946328,0.0013675085741967484
MA,Financials,0.007696591311847293,0.010868679318048783
PG,Consumer Staples,0.007474638157312115,0.008370102806903599
ETN,Industrials,0.0074369370724705775,0.003156436848490149
C,Financials,0.007328910505522943,0.004344967322887671
ANET,Information Technology,0.007282317087318026,0.0039017725605692668
AMD,Information Technology,0.0072633437358440266,0.007315398669475231
DIS,Communication Services,0.007198640284753095,0.004198423379296235
BKNG,Consumer Discretionary,0.006982790037054025,0.0034198710756565675
ABBV,Health Care,0.006938886261136621,0.009486474271985698
MET,Financials,0.006825965616313346,0.0011034824351157195
SLB,Energy,0.006742725118247285,0.0016351435805480629
UNP,Industrials,0.006717428889972527,0.0035156740913965387
CPB,Consumer Staples,0.006374036038425014,0.00017933997495612214
MMM,Industrials,0.0063186637001747216,0.0018839203955404774
VRSK,Industrials,0.006307220851369039,0.000698132790149012
DAL,Industrials,0.005834697534174527,0.0008986100513114379
SBAC,Real Estate,0.005437253245979323,0.0004842513694836761
CBOE,Financials,0.005344297785548457,0.0007352145722419992
NOW,Information Technology,0.005319041596340012,0.0030589173072979006
CRM,Information Technology,0.005314816751724377,0.004415429479847688
WMT,Consumer Staples,0.005176213734436318,0.023013351879167167
LHX,Industrials,0.005030223038008943,0.0015988737434531432
BLK,Financials,0.004910641624276877,0.0034649736557444597
NSC,Industrials,0.004826036527198458,0.001585676055966914
BBY,Consumer Discretionary,0.004821446812154031,0.0003266403300221755
LEN,Consumer Discretionary,0.00481442286045485,0.0005826006665116939
PEP,Consumer Staples,0.004800123315072834,0.0050826729293956775
SCHW,Financials,0.004750301857986709,0.0039454029054077815
NFLX,Communication Services,0.00473376463018325,0.009793272206677693
GPC,Consumer Discretionary,0.0047253084401101385,0.0003746818177064304
CHTR,Communication Services,0.004713998611402656,0.0007007261054186567
MU,Information Technology,0.004684492670938402,0.009717360792885198
STT,Financials,0.004645353817417502,0.0007882514268987499
DE,Industrials,0.004618628341587198,0.003714193974920716
CFG,Financials,0.004618102758754206,0.0005811954248421971
MRK,Health Care,0.0045757076410865485,0.0066747333827997584
AMCR,Materials,0.004557771418661498,0.00046624881458798306
CRL,Health Care,0.004497001470292916,0.00020024047968399933
EL,Consumer Staples,0.004492520114132545,0.0007819877898062136
TT,Industrials,0.004423808052977539,0.002187567578717977
GILD,Health Care,0.004414398175640264,0.004166835261754391
TGT,Consumer Staples,0.0043490071883482495,0.0012797172839070085
ADBE,Information Technology,0.0043389711720914804,0.0027680990842909943
