asset,sector,weight,benchmark_weight
AAPL,Information Technology,0.09842044827975466,0.11156496224525737
VZ,Communication Services,0.05672545488578293,0.006356629978823286
MSFT,Information Technology,0.05114536256202604,0.08961292262266739
GOOGL,Communication Services,0.04849332516040081,0.10645227923978537
ACN,Information Technology,0.0364067868173648,0.003930877034318868
DIS,Communication Services,0.03631347698715978,0.005308877402808959
AVGO,Information Technology,0.024741286658957116,0.046191580704825694
GPC,Consumer Discretionary,0.022955103225566348,0.00047378257397149063
TXN,Information Technology,0.02223430633617221,0.005175775110956123
SLB,Energy,0.021862867083416056,0.0020676277785435892
JPM,Financials,0.021599273231223213,0.02301795735359291
MAR,Consumer Discretionary,0.01749619669687733,0.0025296441929013452
D,Utilities,0.016211014727967325,0.0016384636744500374
ETN,Industrials,0.015877864483012177,0.003991292622125169
MMC,Financials,0.015586626045391508,0.0026480956781440223
LLY,Health Care,0.015130966589867904,0.026132086879324497
SBAC,Real Estate,0.015058680866290516,0.000612332516393837
ABBV,Health Care,0.014962294271207386,0.011995581280160343
LEN,Consumer Discretionary,0.01492984946018792,0.0007366945240819972
MCD,Consumer Discretionary,0.014795920146208221,0.006901966229088557
VRSK,Industrials,0.014249060865956512,0.0008827840974921714
NOW,Information Technology,0.013983662496311212,0.003867979834967764
TRV,Financials,0.013782926916551102,0.0020144270989297893
LIN,Materials,0.013342189676868727,0.006622491605021062
WAT,Health Care,0.013254289992889563,0.0008750283670464638
AMZN,Consumer Discretionary,0.013227188313999239,0.06745048678064239
WMT,Consumer Staples,0.012977920763449472,0.029100224707371315
NOC,Industrials,0.01290764125363593,0.0031815849201858627
PEP,Consumer Staples,0.01278878843736589,0.006427004859443363
MCK,Health Care,0.012654378306443548,0.0033451017465240727
UNP,Industrials,0.012445094368069759,0.004445545637797164
MET,Financials,0.011597487042928524,0.0013953459274906293
TSLA,Consumer Discretionary,0.01151290381685254,0.04389043436675318
MU,Information Technology,0.010782657804528304,0.012287535693205271
PFE,Health Care,0.010761564299523185,0.004534783664390214
EW,Health Care,0.010752626650908611,0.0013979499893569144
META,Communication Services,0.009797068193039979,0.048091870579050504
AMD,Information Technology,0.009719850143595159,0.00925027115665162
EL,Consumer Staples,0.009661010171259992,0.0009888181661351708
JNJ,Health Care,0.009547781351768241,0.017080292478072932
COP,Energy,0.009386275018722629,0.004218901444146565
C,Financials,0.009266792583321028,0.005494181208634635
SNPS,Information Technology,0.009074594339022453,0.0024703596403129837
BG,Consumer Staples,0.009001658747546238,0.000665614225756861
CHTR,Communication Services,0.008955151683771997,0.0008860633267622036
MMM,Industrials,0.008819386008030613,0.00238220434506352
AMCR,Materials,0.008770777344940452,0.0005895684099080843
DE,Industrials,0.008737256166491479,0.004696572661142874
BBY,Consumer Discretionary,0.0080712550089406,0.0004130344441802026
CBOE,Financials,0.008003745137478199,0.0009296737551622715
NVDA,Information Technology,0.007994867541551235,0.12746676771138385
LHX,Industrials,0.007862779741720814,0.0020217648197228284
CRM,Information Technology,0.007549647621409117,0.005583280120069554
CFG,Financials,0.007265017208983564,0.0007349176056841371
NFLX,Communication Services,0.006947184793595091,0.012383525152316421
COST,Consumer Staples,0.006542936140796894,0.013064044625341588
SCHW,Financials,0.006378230229680672,0.004988934758887328
UNH,Health Care,0.006237731343668125,0.007666323355554285
PYPL,Financials,0.005229116515707063,0.0012956775245491893
MNST,Consumer Staples,0.0050572609820423945,0.0021807221226013214
CPB,Consumer Staples,0.004285245986323029,0.00022677416126252545
ABT,Health Care,0.0038566867220054648,0.005612864793993571
ANET,Information Technology,0.0036971763318830375,0.0049337644887968496
DLR,Real Estate,0.0036354213784347447,0.0018170572268104996
PM,Consumer Staples,0.002597134249290159,0.007801157824341362
BKNG,Consumer Discretionary,0.0023815348114340803,0.004324403385233741
MA,Financials,0.002285429055899584,0.013743370026592787
STT,Financials,0.0007165119265296402,0.0009967384920327308
PG,Consumer Staples,9.999999999999999e-05,0.010583937263184486
AJG,Financials,9.999999999999999e-05,0.0017292051591322767
UPS,Industrials,9.999999999999999e-05,0.0025624299645786307
BRK-B,Financials,9.999999999999999e-05,0.004352919335937732
CVX,Energy,9.999999999999999e-05,0.011196133804172023
DAL,Industrials,9.999999999999999e-05,0.0011362862113596488
BLK,Financials,9.999999999999999e-05,0.004381435286641723
