asset,sector,weight,benchmark_weight
MSFT,Information Technology,0.08072256319466829,0.10007972523721372
AAPL,Information Technology,0.06625307767775901,0.12459576633405348
NVDA,Information Technology,0.05456729090666766,0.1423549050302286
AEE,Utilities,0.03971918896571338,0.0010150017411019636
CVX,Energy,0.03882246276629072,0.01250384388821604
AMZN,Consumer Discretionary,0.033981611811592004,0.07532871361139494
GOOGL,Communication Services,0.03337095684035812,0.11888592119746395
TMUS,Communication Services,0.030910143960049954,0.008159940814540382
UNP,Industrials,0.02877534511800736,0.0049647860257120485
MDT,Health Care,0.026322939517770778,0.0038426203301991915
ETN,Industrials,0.026157268184892096,0.004457476190633311
LII,Industrials,0.024590839585478776,0.0005975756129392703
PEP,Consumer Staples,0.023480830899976147,0.007177679977470458
ABBV,Health Care,0.022306558609444395,0.013396666947624406
PSA,Real Estate,0.021173006218593388,0.0017805926135710675
MS,Financials,0.020445438798876454,0.00837918938713931
BG,Consumer Staples,0.020233269915578254,0.0007433580657582237
PG,Consumer Staples,0.019563600025932985,0.01182014270070776
META,Communication Services,0.01953852160348838,0.053709008174648847
BMY,Health Care,0.01875412734298132,0.004042607564184641
MCD,Consumer Discretionary,0.01866526416153066,0.007708116905328875
CMCSA,Communication Services,0.018240960689214374,0.003828512701106616
NWSA,Communication Services,0.01790193690155396,0.0004646537989303348
JPM,Financials,0.01758460147423851,0.025706458176454824
LRCX,Information Technology,0.01602528888314206,0.008243471529946863
AIG,Financials,0.015874186453842688,0.0013985412244246725
AVGO,Information Technology,0.015749337545330457,0.0515867641620942
LLY,Health Care,0.01543859387814748,0.029184318491318362
TSLA,Consumer Discretionary,0.015332824025810505,0.04901684359143463
BX,Financials,0.014045012740294195,0.0044697585644619545
V,Financials,0.013730366129555664,0.02014677865425551
TTWO,Communication Services,0.013472619714445685,0.0012895294923891939
ADI,Information Technology,0.013433753485768599,0.00507650502641667
QCOM,Information Technology,0.013219513637132916,0.004770488991970122
OMC,Communication Services,0.011038182710795196,0.0008797563814577041
C,Financials,0.01045447985954088,0.006135902386298605
ORLY,Consumer Discretionary,0.010307051767192904,0.002629205897390958
PAYC,Industrials,0.010256850346144509,0.00024949898568310893
CRM,Information Technology,0.010115356047029457,0.006235408063765328
NFLX,Communication Services,0.009804159110849451,0.013829922721418579
COST,Consumer Staples,0.00957303133213008,0.014589926969530275
ACN,Information Technology,0.00944894706884223,0.004390004053236803
ISRG,Health Care,0.008153779999134829,0.005731430459147743
MCK,Health Care,0.008120200274046389,0.0037358101252014278
ORCL,Information Technology,0.007879720478332726,0.014474911342575354
DXCM,Health Care,0.006122475376071152,0.0008745150774862368
NEM,Materials,0.005890331213907162,0.004178393123323483
PANW,Information Technology,0.005402975779920122,0.004434485041204159
HPE,Information Technology,0.004611433301903822,0.0009284667181081487
BA,Industrials,0.004417723670031814,0.005976099898837639
