asset,sector,weight,benchmark_weight
AAPL,Information Technology,0.06029006433368047,0.06931694746929978
MSFT,Information Technology,0.05893958164383539,0.055677823260948764
GOOGL,Communication Services,0.049273592756923675,0.06614036252555729
NVDA,Information Technology,0.046522196063332015,0.07919697245186881
META,Communication Services,0.03231237695847235,0.029880184598638344
TMUS,Communication Services,0.025032522666143645,0.0045396581716717595
CMCSA,Communication Services,0.019750050371231995,0.002129934439960362
AMZN,Consumer Discretionary,0.01813199248996443,0.04190797679538714
TMO,Health Care,0.01775907854681934,0.0034157951378613735
COST,Consumer Staples,0.01736302117453246,0.008116882548130708
LLY,Health Care,0.01687625257003716,0.01623624888157318
TSLA,Consumer Discretionary,0.016832244036717695,0.02726977065359345
APH,Information Technology,0.01680141145916108,0.0029692548964025383
UNH,Health Care,0.01546111258047137,0.004763199149849687
MO,Consumer Staples,0.014990782909658423,0.0020451556083981716
VZ,Communication Services,0.013781106247603389,0.003949467444404578
XOM,Energy,0.013748849364061086,0.011541254788508386
PSA,Real Estate,0.012261093931410746,0.0009906054458400594
EXC,Utilities,0.012251375972878684,0.000924866017164013
NFLX,Communication Services,0.01191717334726721,0.007694065817732664
TJX,Consumer Discretionary,0.0118516749061172,0.0032481978524141852
QCOM,Information Technology,0.011471756059758975,0.002653988530980192
MS,Financials,0.011326909999197152,0.004661633759099125
MNST,Consumer Staples,0.010907553395041243,0.0013549146414372723
CRM,Information Technology,0.010762762065805022,0.003468973833724388
JPM,Financials,0.010745408247059265,0.014301394529422777
C,Financials,0.010439267670340336,0.0034136153731538638
COP,Energy,0.01043077795205598,0.002621265349771515
CVX,Energy,0.010124055473381318,0.006956322156565198
ORCL,Information Technology,0.00990506880398588,0.008052895364566158
LIN,Materials,0.009884143550717641,0.004114651172399227
LRCX,Information Technology,0.009341255262622139,0.004586129206621536
LOW,Consumer Discretionary,0.009157381114046879,0.002588271761292913
SHW,Materials,0.00913002283149463,0.001497223745122499
ADI,Information Technology,0.009118828944731218,0.002824235867696458
AVGO,Information Technology,0.009118171784131242,0.028699506626476138
HD,Consumer Discretionary,0.008577272870221557,0.0065268841995421946
DE,Industrials,0.008466837021640519,0.0029180494833361474
CDNS,Information Technology,0.008427087828464139,0.0015005672214716678
ORLY,Consumer Discretionary,0.008335958866733396,0.0014627184569562023
RTX,Industrials,0.007867310447621572,0.005157531580593353
PWR,Industrials,0.007819391351062997,0.0014804991605192987
DIS,Communication Services,0.007806736763283995,0.00329848340057234
V,Financials,0.0077945855531859525,0.011208351926729603
F,Consumer Discretionary,0.007723382232406844,0.0008879033541629248
ABBV,Health Care,0.007688492039341592,0.007453030599631089
BAC,Financials,0.007312261443729607,0.006506366260124101
MRK,Health Care,0.006977630728040962,0.0052439916791101725
ABT,Health Care,0.006936981414926027,0.0034873552255791107
MMC,Financials,0.006884101308240448,0.0016453006868954686
BA,Industrials,0.006760337651885464,0.003324711705278853
MAR,Consumer Discretionary,0.006434963926867917,0.0015717050416768801
NEE,Utilities,0.006220152650584895,0.0034738297600588925
SPGI,Financials,0.0061097525944725254,0.002509075294241535
MDT,Health Care,0.005877954873735283,0.002137783003466963
IBM,Information Technology,0.005871933334725539,0.004447752412874372
ICE,Financials,0.005778042509976077,0.001735758971483257
INTC,Information Technology,0.005387991206651317,0.0039729622647443
NKE,Consumer Discretionary,0.005290266935365166,0.0015459621795442895
EQIX,Real Estate,0.005247773064619535,0.0016867870444354932
UNP,Industrials,0.005204571663299672,0.0027620827116863057
ROST,Consumer Discretionary,0.005171711667281173,0.0012614866787852119
UPS,Industrials,0.005130115538202108,0.0015920753225191653
WFC,Financials,0.004957000468118185,0.0046242437265615515
PG,Consumer Staples,0.004922145468705207,0.006575955465997666
CSX,Industrials,0.004841019928538939,0.0013608173830409213
MCD,Consumer Discretionary,0.004729476342241991,0.0042882928556447425
HCA,Health Care,0.00472906822981717,0.002182533605925235
NSC,Industrials,0.004698742435336018,0.0012457833993313515
AON,Financials,0.004616225171072345,0.001340991368107636
MCK,Health Care,0.004587709175656302,0.0020783607808116207
TRV,Financials,0.004364773929420869,0.001251593104027479
ISRG,Health Care,0.0042969312884351945,0.0031885936075510633
INTU,Information Technology,0.004233318064720621,0.002452702881438556
SCHW,Financials,0.0042107206582229105,0.0030996983430096347
MPC,Energy,0.003991060661455874,0.0012184517069135405
KLAC,Information Technology,0.003978828004113735,0.0032360904494360275
MU,Information Technology,0.00393087947761272,0.007634426158820873
CCI,Real Estate,0.003805796965260918,0.0007223419263356445
AMAT,Information Technology,0.003782651354956145,0.0047208094339495354
WDC,Information Technology,0.0035371428684214377,0.0015359634130572462
ADBE,Information Technology,0.0034000648634513134,0.00217475181890871
WMT,Consumer Staples,0.0033866523486026467,0.018080396450557
O,Real Estate,0.003382980388655558,0.0011141878706960363
TFC,Financials,0.0033555142373234556,0.0010637858013141873
ACN,Information Technology,0.0033115072694066437,0.0024423115592255838
CI,Health Care,0.0032653082549107624,0.0013291293124581842
PANW,Information Technology,0.003189372839649884,0.0024670578760309972
LHX,Industrials,0.0031141786624941732,0.0012561521375853207
JCI,Industrials,0.0030493575712764336,0.0014844308702192481
APO,Financials,0.002818543347096058,0.0011557062659453444
COF,Financials,0.002791911621003788,0.0021384725269993194
YUM,Consumer Discretionary,0.0027724688360265723,0.000813758866219724
GE,Industrials,0.0026894674323404127,0.006243093420410568
SLB,Energy,0.0026375103687895207,0.0012846474666150264
CSCO,Information Technology,0.0025322267793478777,0.005691602445243618
PLD,Real Estate,0.002384026101626607,0.002290878085924487
SYY,Consumer Staples,0.0023768683315338367,0.0007477196186062134
GD,Industrials,0.0023676170813418562,0.0018003474435775463
WBD,Communication Services,0.002158102592824152,0.001270236949997129
ELV,Health Care,0.002045671606120642,0.0011709644688383846
TXN,Information Technology,0.002024299800115372,0.0032157849943099505
SNPS,Information Technology,0.001708973434562466,0.0015348706795724543
NEM,Materials,0.0016738778489516482,0.0023245850574004387
XEL,Utilities,0.0014760818834303534,0.0009430434030900657
FDX,Industrials,0.0014680788017901025,0.0015520978135357985
BMY,Health Care,0.001453293139201551,0.002249042839981257
CVS,Health Care,0.001302429187838799,0.0018158574463590074
DHR,Health Care,0.0011325692047106342,0.0025323595810631083
HSY,Consumer Staples,0.0011241915328402425,0.00083574341243727
ETN,Industrials,0.0011220573000869454,0.0024798486501008527
FCX,Materials,0.0009690035412455918,0.001562734633137005
AJG,Financials,0.0008566736010892828,0.0010743805292177167
MCO,Financials,0.0007746699988000108,0.001532839773916979
AMGN,Health Care,0.0006439226658666837,0.003648939025490794
CME,Financials,0.00047332556696545497,0.0020882561562836927
GILD,Health Care,0.00042391402235245133,0.0032736662556695877
KMI,Energy,0.000422062569730707,0.0013685055329118118
CL,Consumer Staples,0.0003791566640184641,0.001373704645387448
BX,Financials,0.00020146796838027185,0.002486681760779716
PCG,Utilities,0.00011259527083915315,0.0007319625428114718
NOC,Industrials,9.99999999999999e-05,0.001976765378155406
CMI,Industrials,9.99999999999999e-05,0.0013647312356570077
EMR,Industrials,9.99999999999999e-05,0.0014251279448888726
TT,Industrials,9.99999999999999e-05,0.0017186583377022363
CAT,Industrials,9.99999999999999e-05,0.005836921893125275
HON,Industrials,9.99999999999999e-05,0.002904377259597291
LMT,Industrials,9.99999999999999e-05,0.0028474326698130553
CTAS,Industrials,9.99999999999999e-05,0.001498838235587052
WM,Industrials,9.99999999999999e-05,0.00181787394629977
ITW,Industrials,9.99999999999999e-05,0.0014631813906008854
MMM,Industrials,9.99999999999999e-05,0.0014800985015788436
JNJ,Health Care,9.99999999999999e-05,0.01061223624904859
RSG,Industrials,9.99999999999999e-05,0.0013101754435031483
TDG,Industrials,9.99999999999999e-05,0.001339155389779371
PFE,Health Care,9.99999999999999e-05,0.0028175276065451073
ANET,Information Technology,9.99999999999999e-05,0.003065420244969124
AMD,Information Technology,9.99999999999999e-05,0.005747329151896493
COR,Health Care,9.99999999999999e-05,0.0012773280130050717
SYK,Health Care,9.99999999999999e-05,0.002555572889727814
BSX,Health Care,9.99999999999999e-05,0.0019394026564519757
VRTX,Health Care,9.99999999999999e-05,0.002125138837556218
REGN,Health Care,9.99999999999999e-05,0.001471511195014617
ADP,Industrials,9.99999999999999e-05,0.0016762365090630365
PH,Industrials,9.99999999999999e-05,0.002135650507510855
KKR,Financials,9.99999999999999e-05,0.0015492006142236762
CB,Financials,9.99999999999999e-05,0.002364549061026262
BK,Financials,9.99999999999999e-05,0.0014719378142534613
ECL,Materials,9.99999999999999e-05,0.0014666686239781276
AFL,Financials,9.99999999999999e-05,0.001052665339853398
APD,Materials,9.99999999999999e-05,0.0011101054261999494
USB,Financials,9.99999999999999e-05,0.0014904664145054074
SRE,Utilities,9.99999999999999e-05,0.0011084788559433715
ETR,Utilities,9.99999999999999e-05,0.0008687778921373232
DUK,Utilities,9.99999999999999e-05,0.0018874696047330507
D,Utilities,9.99999999999999e-05,0.0010180015137954941
SO,Utilities,9.99999999999999e-05,0.0019988079223806246
GLW,Information Technology,9.99999999999999e-05,0.0019375927884816278
NOW,Information Technology,9.99999999999999e-05,0.00240323260669744
AEP,Utilities,9.99999999999999e-05,0.001306488781012848
MA,Financials,9.99999999999999e-05,0.008538957384221033
ED,Utilities,9.99999999999999e-05,0.0007430999609989547
PEG,Utilities,9.99999999999999e-05,0.0007621031995387882
PGR,Financials,9.99999999999999e-05,0.002260245083884948
PNC,Financials,9.99999999999999e-05,0.0015265548306948509
GS,Financials,9.99999999999999e-05,0.004512909760640297
AXP,Financials,9.99999999999999e-05,0.0037980951953910116
BLK,Financials,9.99999999999999e-05,0.0027222500101477098
NUE,Materials,9.99999999999999e-05,0.0007074320866374608
MLM,Materials,9.99999999999999e-05,0.0006739076625776377
VMC,Materials,9.99999999999999e-05,0.0006655718557827755
STLD,Materials,9.99999999999999e-05,0.000485687058408635
AMT,Real Estate,9.99999999999999e-05,0.001617238954872671
WELL,Real Estate,9.99999999999999e-05,0.0026110919139935764
DLR,Real Estate,9.99999999999999e-05,0.0011289643074735966
SPG,Real Estate,9.99999999999999e-05,0.0011597126302606033
RCL,Consumer Discretionary,9.99999999999999e-05,0.0013891499725122288
SBUX,Consumer Discretionary,9.99999999999999e-05,0.002065870275857814
BKNG,Consumer Discretionary,9.99999999999999e-05,0.0026868152532633686
GM,Consumer Discretionary,9.99999999999999e-05,0.0012851869306191226
