asset,sector,weight,benchmark_weight
MSFT,Information Technology,0.0830745075425199,0.07815120606152863
AAPL,Information Technology,0.06221102215362654,0.09729552500355942
NVDA,Information Technology,0.05544885746288286,0.11116344984478364
GOOG,Communication Services,0.04062282908069238,0.0927807768258137
AMZN,Consumer Discretionary,0.02733695058944648,0.05882340110187438
META,Communication Services,0.023285219248956046,0.04194080024968468
BRK-B,Financials,0.018383917612649646,0.00205344415881833
LLY,Health Care,0.016849315324810692,0.022789727717320026
PG,Consumer Staples,0.0165948527813835,0.00923022525981311
REG,Real Estate,0.016320397495403614,0.00037768472940154295
AVGO,Information Technology,0.01600315840836463,0.04028356219527472
TSLA,Consumer Discretionary,0.015654425638892036,0.03827673821965597
COST,Consumer Staples,0.013476925545398352,0.011393120697681874
MA,Financials,0.01331904207395146,0.011985558683881244
ITW,Industrials,0.01220829688013635,0.0020537690531886514
C,Financials,0.01103931874727354,0.004791461713433436
APH,Information Technology,0.010969353593962877,0.004167742876196691
OKE,Energy,0.010837410540118773,0.0014076287130878006
AMP,Financials,0.010498721133455239,0.0011105029645493909
SYK,Health Care,0.010402695067929886,0.0035870853387053067
COP,Energy,0.009763137495215027,0.003679293415114875
TMO,Health Care,0.009610468603021784,0.004794521302168143
DD,Materials,0.009576607280867193,0.0004875622414309987
EXC,Utilities,0.00944672093872239,0.00129817206301212
KLAC,Information Technology,0.009361254167134027,0.004542281948816802
KMI,Energy,0.00931318717281113,0.0019208789359038351
PFE,Health Care,0.009287042317080031,0.003954773510651791
ACN,Information Technology,0.009058260127423695,0.0034281080464825526
UNH,Health Care,0.008885281505412157,0.006685781456062938
ABT,Health Care,0.008756335127406154,0.0048949653718796905
GS,Financials,0.00872192835024834,0.006334467117866881
HUBB,Industrials,0.00854011081132211,0.0006445307702114488
MDLZ,Consumer Staples,0.008534893053746507,0.0019375383818203277
JPM,Financials,0.008525382600044323,0.020073903133710484
HD,Consumer Discretionary,0.008440851731174622,0.00916134723204812
BA,Industrials,0.008404367136826437,0.00466667362976209
ADBE,Information Technology,0.008373723286233727,0.0030525524810059296
TJX,Consumer Discretionary,0.00794069178760723,0.004559276293954566
CMCSA,Communication Services,0.007760636884976616,0.002989645348287856
HAL,Energy,0.0076766495697276425,0.000736823782539871
CBRE,Real Estate,0.007329807075761684,0.001046962472109077
TXT,Industrials,0.007036861665906608,0.00042522838667235596
KMB,Consumer Staples,0.006932815971767937,0.0008925082150294532
T,Communication Services,0.0067567596292123664,0.005220505950258094
CRM,Information Technology,0.006707769155275284,0.004869164651621582
HPE,Information Technology,0.006168698853826286,0.0007250299062687682
DVN,Energy,0.005935389838498904,0.0007093632048520597
NSC,Industrials,0.005841019199816286,0.001748622152358135
NFLX,Communication Services,0.005834309289596495,0.010799641364469948
GE,Industrials,0.005681721300166027,0.00876300925187365
IEX,Industrials,0.0055877543709731145,0.0003808565304382206
D,Utilities,0.005516696877771101,0.001428900079349547
ORLY,Consumer Discretionary,0.0054632862314669805,0.002053119264448009
AMD,Information Technology,0.0052519642260963955,0.00806713837838422
MRK,Health Care,0.005117231956641918,0.007360637508731823
BMY,Health Care,0.0051107299832991535,0.0031568297777161644
MU,Information Technology,0.005089969228141888,0.010715929196858614
PSA,Real Estate,0.005049418596136279,0.0013904460661237374
RTX,Industrials,0.005047545880106179,0.007239279298594552
KDP,Consumer Staples,0.005033381167435676,0.0009868661759368296
INTC,Information Technology,0.0050049665765356565,0.005576579227451258
COF,Financials,0.004941808206257655,0.0030016296853267793
SJM,Consumer Staples,0.0048783392304966484,0.0003050789468297222
CHD,Consumer Staples,0.00466462262666706,0.0006217318211809795
NEM,Materials,0.004640861241540496,0.0032628632943678833
WRB,Financials,0.004627373521240109,0.0006831817736867515
ISRG,Health Care,0.004615804231500271,0.00447561383465532
NTRS,Financials,0.0045892039517694974,0.0006621702176070416
DHR,Health Care,0.004555315480726158,0.0035545023826453544
DXCM,Health Care,0.004522410652165547,0.0006828996368899636
TMUS,Communication Services,0.004357115035057659,0.006372012058741114
DIS,Communication Services,0.004320806997744117,0.004629858727064539
ROP,Information Technology,0.004307353938199274,0.0010170627117596738
NKE,Consumer Discretionary,0.004194533864296962,0.002169962864579791
MNST,Consumer Staples,0.004138345738130147,0.0019018023179978407
SWKS,Information Technology,0.0039296639383094465,0.00021181679355119137
EW,Health Care,0.003846729208453721,0.001219148695127025
BKNG,Consumer Discretionary,0.003795144874564174,0.0037713013945054447
VRSK,Industrials,0.003740126250341934,0.0007698738071678542
OMC,Communication Services,0.003715216002537446,0.0006869925160993575
HON,Industrials,0.0036941034121211725,0.00407667851222203
BF-B,Consumer Staples,0.0036729320466104814,0.00205344415881833
MCK,Health Care,0.0036705746961972797,0.0029172548806398997
EQIX,Real Estate,0.0036086555344824306,0.002367629231368568
LULU,Consumer Discretionary,0.0035598665232309326,0.0005187438864726385
DVA,Health Care,0.0034094211774313844,0.00025912427051819834
EG,Financials,0.0033825418147988132,0.0003469700739422685
AMGN,Health Care,0.00337573969360623,0.005121769655946589
ODFL,Industrials,0.003358508842336834,0.0010428273092401418
CSCO,Information Technology,0.003278596348837053,0.007988918558001734
JCI,Industrials,0.003046716757668747,0.0020835955148405688
CNC,Health Care,0.0030142979088861486,0.0005519176026526289
