asset,sector,weight,benchmark_weight
MSFT,Information Technology,0.08145016047253002,0.06094636354453002
AAPL,Information Technology,0.06274008610478082,0.07587609631327111
NVDA,Information Technology,0.05931063521331305,0.08669102331920935
AMZN,Consumer Discretionary,0.03422270735492656,0.04587353886334151
XOM,Energy,0.03259076493290734,0.012633351465696184
GOOGL,Communication Services,0.025864204771264443,0.07239892552115794
BAC,Financials,0.02316865768861583,0.00712203423587344
GOOG,Communication Services,0.02037105992151899,0.0723552615415561
TMO,Health Care,0.020153281571297657,0.0037390163636614464
META,Communication Services,0.019582357057924986,0.03270761115770041
LOW,Consumer Discretionary,0.019203241459975835,0.0028331881973273623
JPM,Financials,0.017655275003164512,0.01565467073126919
ETN,Industrials,0.016665696481270614,0.002714505498106701
TSLA,Consumer Discretionary,0.016381076462249684,0.029850185562041342
AVGO,Information Technology,0.016335029373591423,0.03141521097561776
MCD,Consumer Discretionary,0.015983952332506556,0.004694074589457679
ADP,Industrials,0.015419273202672848,0.0018348511792418245
MAR,Consumer Discretionary,0.014577708624398061,0.0017204283724574897
MMC,Financials,0.01431241985125152,0.0018009880403123985
MCO,Financials,0.013914753553365643,0.0016778854604070506
KO,Consumer Staples,0.013255339490669845,0.006644868463843263
V,Financials,0.013074074176820775,0.012268947513625474
ISRG,Health Care,0.011323955529492473,0.0034903157813978825
MS,Financials,0.01120302744258491,0.005102743051968014
BLK,Financials,0.01118139432002947,0.002979844201163832
ACN,Information Technology,0.011081011357367266,0.0026734164423049675
DUK,Utilities,0.010879247297059991,0.002066072306206582
COST,Consumer Staples,0.010874366046608758,0.008884946387147888
LLY,Health Care,0.010127032124190239,0.017772611588964014
CAT,Industrials,0.010113410863260017,0.006389243379939159
CRM,Information Technology,0.010052760384991722,0.0037972271186994303
APH,Information Technology,0.00984979135890762,0.0032502220412673733
PEP,Consumer Staples,0.009725658300045233,0.004371050103068684
WMT,Consumer Staples,0.009597754544514003,0.019791262491358035
