asset,sector,weight,benchmark_weight
MSFT,Information Technology,0.07957185221922018,0.05714193871991205
AAPL,Information Technology,0.06452397917876257,0.07113972013557837
NVDA,Information Technology,0.05894466894289728,0.08127955228129971
AMZN,Consumer Discretionary,0.035312975183772494,0.04300999754775078
GOOGL,Communication Services,0.02410880253121826,0.06787960306269632
XOM,Energy,0.020828596109529602,0.011844745991325234
META,Communication Services,0.020640971559654823,0.030665920060718218
GOOG,Communication Services,0.017133442865327066,0.06783866469818088
MAR,Consumer Discretionary,0.01708041330459382,0.0016130349197804956
BAC,Financials,0.01602823351350725,0.006677459001635895
CDNS,Information Technology,0.01519202955858333,0.0015400264448661137
TSLA,Consumer Discretionary,0.015038151519028277,0.027986862135226727
AVGO,Information Technology,0.015014784789002785,0.029454194738464785
JPM,Financials,0.013802285779541443,0.0146774669329204
UNH,Health Care,0.012693781749445852,0.004888453211538321
MS,Financials,0.012370844041830021,0.0047842170364433955
LLY,Health Care,0.012207517702289313,0.01666320061191785
ADP,Industrials,0.012186722489357713,0.001720315168070512
AMT,Real Estate,0.01113598431598722,0.0016597662020958477
WMT,Consumer Staples,0.010945975258559604,0.01855584226357628
TMO,Health Care,0.010864454297459263,0.0035056175873230816
MDLZ,Consumer Staples,0.010629498435607338,0.0014166729480065703
HD,Consumer Discretionary,0.010534785020096341,0.006698516484996777
BLK,Financials,0.010456872280459571,0.0027938348546977607
COST,Consumer Staples,0.010404865438375219,0.008330325756239074
V,Financials,0.010021070918888179,0.011503089047620886
ORLY,Consumer Discretionary,0.009674035529659954,0.0015011824014768667
MDT,Health Care,0.009525083012460965,0.002193998583745947
APH,Information Technology,0.009421503477710506,0.003047335032097687
KO,Consumer Staples,0.009247471960332519,0.00623007911350416
MCO,Financials,0.00922642897956105,0.0015731476429690313
COF,Financials,0.009169632843315645,0.0021947062391305186
CRM,Information Technology,0.009037780429935298,0.003560194681078478
REGN,Health Care,0.008728638423858964,0.001510206355178494
DIS,Communication Services,0.008622569712456615,0.0033852209965318245
ACN,Information Technology,0.008379588453518166,0.0025065350848599796
JNJ,Health Care,0.008278258446192536,0.010891297789827255
AMD,Information Technology,0.007992944640177867,0.005898462097945839
MCD,Consumer Discretionary,0.007851402265292077,0.004401058684026452
SPG,Real Estate,0.007818957152485876,0.0011902086714215808
ISRG,Health Care,0.007569378028450794,0.0032724415189768928
SYK,Health Care,0.007363071063178095,0.002622774758536904
DHR,Health Care,0.006972875086997604,0.0025989510279469303
LIN,Materials,0.0068222887798863084,0.00422285088346761
VZ,Communication Services,0.006745667533013037,0.004053323450285482
MCK,Health Care,0.006564037004383717,0.002133013782137259
PWR,Industrials,0.006325727079537982,0.0015194306700673525
LOW,Consumer Discretionary,0.006218478909672432,0.0026563334863346135
KMI,Energy,0.006205733319562673,0.001404492035060474
TRV,Financials,0.006092483475189551,0.0012845052529696188
BK,Financials,0.006060208016640462,0.0015106441928843346
ABBV,Health Care,0.00596831410120259,0.007649017020757933
D,Utilities,0.005904525638964228,0.001044771090375572
USB,Financials,0.005802076982030592,0.0015296600250083797
NEE,Utilities,0.005717374130468659,0.0035651782998477356
RTX,Industrials,0.005574559019810644,0.005293155088751122
PGR,Financials,0.005395413457763347,0.0023196809521453146
KR,Consumer Staples,0.005316647276790914,0.0009232638887451772
ETN,Industrials,0.005278816904545681,0.0025450592587750688
CME,Financials,0.00525652060414309,0.0021431693684321037
NFLX,Communication Services,0.00524902382380628,0.00789639055038658
NKE,Consumer Discretionary,0.005214225321780037,0.0015866151180658808
PANW,Information Technology,0.005134574330411453,0.0025319321358871208
ITW,Industrials,0.005047002057833382,0.0015016575085196097
FDX,Industrials,0.004989669497368787,0.0015929120959471358
KLAC,Information Technology,0.004946836274291683,0.0033211873475567895
LMT,Industrials,0.004891386894828184,0.002922309343254318
ORCL,Information Technology,0.004844262405034319,0.00826465595257292
AEP,Utilities,0.004767571572571295,0.0013408444779350846
MRK,Health Care,0.004755988417698251,0.005381888759749909
CSCO,Information Technology,0.0047113522767201375,0.005841269990386301
AMAT,Information Technology,0.004655911042201077,0.004844948806975511
DE,Industrials,0.00463193121888419,0.002994783110988018
F,Consumer Discretionary,0.004610899261009074,0.0009112518428565745
AZO,Consumer Discretionary,0.004537512032652012,0.0011385797054195804
CMI,Industrials,0.004377654591956801,0.001400618488111019
EOG,Energy,0.004371170371432323,0.0013404583860854391
MA,Financials,0.004358706648364626,0.008763499558778986
UNP,Industrials,0.00435579907692446,0.002834715005124967
ADBE,Information Technology,0.00433795054132129,0.0022319395387401715
SRE,Utilities,0.004107987836691066,0.001137627643267802
CBRE,Real Estate,0.004084426198316017,0.0007655091768667494
QCOM,Information Technology,0.004036620189215532,0.002723778357674885
ADI,Information Technology,0.004026352351570792,0.002898502553272027
INTC,Information Technology,0.003965952293852744,0.004077436095239211
CMCSA,Communication Services,0.003936482724119184,0.0021859436328037813
ETR,Utilities,0.003907166672010586,0.0008916234537592686
CVS,Health Care,0.0038247063163503493,0.0018636076061672936
BKNG,Consumer Discretionary,0.003693360781352337,0.0027574682981793748
PFE,Health Care,0.003677990126641463,0.0028916178903097
PG,Consumer Staples,0.003632324344085888,0.006748878139538572
IBM,Information Technology,0.0036162948406302264,0.004564711422475202
CAT,Industrials,0.003157807024844379,0.0059904107882717906
PH,Industrials,0.003010036387506511,0.002191810011238842
PEG,Utilities,0.002896897066196417,0.0007821436215671531
BA,Industrials,0.00282939648579737,0.0034121390061178404
BMY,Health Care,0.002696519678079153,0.0023081841317385584
MU,Information Technology,0.0026903448108731047,0.00783518259477305
CSX,Industrials,0.002626376383193787,0.0013966017160238812
SLB,Energy,0.002524853095225215,0.0013184288198546078
GLW,Information Technology,0.00245397573467146,0.001988544125812041
KKR,Financials,0.002360648245857196,0.0015899387112877396
WFC,Financials,0.0022313078266413752,0.0047458437879422085
MMC,Financials,0.0019352816095313504,0.0016885658511788598
WDC,Information Technology,0.0018870592653089764,0.0015763534219647318
NUE,Materials,0.0018339453820532421,0.0007260348658689366
EMR,Industrials,0.0018115246571471229,0.0014626034015950949
MNST,Consumer Staples,0.0018040844546064287,0.0013905437547164794
SCHW,Financials,0.0017242155551177385,0.0031812086463283056
VTR,Real Estate,0.0017117128345477608,0.0007578135978157473
TJX,Consumer Discretionary,0.001597712084586941,0.0033336131292866656
RCL,Consumer Discretionary,0.0015864554141548882,0.001425679345078417
EQIX,Real Estate,0.0015415917966113304,0.0017311431424848428
ANET,Information Technology,0.0014267613341983022,0.003146029164391917
C,Financials,0.0012642133121014702,0.0035033805030757936
NEM,Materials,0.0012235462287967416,0.002385712822799309
LRCX,Information Technology,0.0012166820065002638,0.004706727000769267
TT,Industrials,0.0011759057471515666,0.0017638525298155417
FCX,Materials,0.0009442255884964733,0.0016038286235379906
GM,Consumer Discretionary,0.0009241365658400079,0.0013189824697147896
PM,Consumer Staples,0.0008901640002473418,0.004974430799672627
PSA,Real Estate,0.0008104421074344301,0.0010166546097987537
TGT,Consumer Staples,0.000803111963673608,0.0010318458687300993
AXP,Financials,0.0007167845597453807,0.003897970685568201
SBUX,Consumer Discretionary,0.000649922193578221,0.0021201948243036155
PEP,Consumer Staples,0.0005000645551434497,0.004098198196004313
MLM,Materials,0.000404102084449089,0.0006916288766787962
O,Real Estate,0.0003375436826081204,0.0011434867834432165
CTAS,Industrials,0.00010056812937058609,0.001538251993214093
PLD,Real Estate,0.00010055470888889572,0.002351119485888748
XEL,Utilities,0.00010045266729731397,0.0009678418658185094
JCI,Industrials,0.00010044739189538556,0.0015234657688118927
ECL,Materials,0.00010036527254904214,0.001505236442900907
DLR,Real Estate,0.0001003581354917851,0.0011586517844326537
GD,Industrials,0.0001003443377526076,0.0018476897491718762
SHW,Materials,0.0001003298134011441,0.001536595047777182
AON,Financials,0.00010028727500830302,0.001376254352135961
INTU,Information Technology,0.00010028596541305723,0.0025171996594129326
DUK,Utilities,0.00010027165118087293,0.001937102892544272
GE,Industrials,0.00010023736543640162,0.006407263085336858
HCA,Health Care,0.00010023471550152694,0.002239925957223984
GS,Financials,0.000100143132863117,0.004631582161220549
EXC,Utilities,0.00010012121171744959,0.000949186483624299
PNC,Financials,0.00010011511184322793,0.0015666974295910083
TMUS,Communication Services,0.00010010670655676811,0.0046590339539541
AMGN,Health Care,0.00010009855277261364,0.003744892274435111
NOC,Industrials,0.00010009804070531461,0.0020287468059374558
WM,Industrials,0.00010006227002480376,0.0018656771324040455
VRTX,Health Care,0.00010006003581126762,0.002181021924255328
CL,Consumer Staples,0.0001000425647100205,0.0014098278644640117
UPS,Industrials,0.00010003942800477562,0.001633940861705378
HON,Industrials,0.00010002866710847149,0.0029807513596498037
MMM,Industrials,0.00010002623910613708,0.0015190194753172315
BSX,Health Care,0.00010000211824604374,0.001990401586441708
SO,Utilities,9.995021287539058e-05,0.0020513689854261396
NOW,Information Technology,9.994473917793536e-05,0.002466428504181784
ICE,Financials,9.99320362106026e-05,0.0017814028453694924
WELL,Real Estate,9.991541315015074e-05,0.0026797537224506856
TXN,Information Technology,9.990453405772091e-05,0.0033003479360184432
CB,Financials,9.990368419216967e-05,0.002426727728060356
ABT,Health Care,9.988883436271012e-05,0.0035790594337830966
HLT,Consumer Discretionary,9.988727116162537e-05,0.0013049570326030754
SNPS,Information Technology,9.985746704272271e-05,0.0015752319537361244
SPGI,Financials,9.984843104105757e-05,0.00257505445274392
MO,Consumer Staples,9.98403102366993e-05,0.002098935439700258
COP,Energy,9.982082276371424e-05,0.0026901946809822245
WMB,Energy,9.979117854521286e-05,0.0017049052212945324
ROST,Consumer Discretionary,9.978640172375509e-05,0.0012946589911981704
GILD,Health Care,9.978064627430627e-05,0.0033597512548971713
T,Communication Services,9.972658341222536e-05,0.0038170854441033726
CVX,Energy,9.955104423994506e-05,0.007139247030607453
APD,Materials,9.934372788218061e-05,0.0011392969861494266
STX,Information Technology,9.921073018739263e-05,0.0014858403711371431
BX,Financials,9.901343954245656e-05,0.002552072054333688
GRMN,Consumer Discretionary,9.89261866356142e-05,0.0008810430432253947
