asset,sector,weight,benchmark_weight
MSFT,Information Technology,0.06933534475424842,0.06848833431435068
NVDA,Information Technology,0.06401621562840448,0.0974188358719896
AAPL,Information Technology,0.059482327364161196,0.08526558679705812
GOOGL,Communication Services,0.046622331404746614,0.08135812420489963
META,Communication Services,0.035754418676259656,0.03675510198333108
HD,Consumer Discretionary,0.03209678163328975,0.008028608176620763
AMZN,Consumer Discretionary,0.031951505744777516,0.05155028262776263
VZ,Communication Services,0.03062717328286284,0.0048581720845711045
CAT,Industrials,0.030228323257186628,0.007179897391274281
XOM,Energy,0.02663057495182145,0.01419669933319505
GS,Financials,0.026342768362108363,0.005551252802550064
V,Financials,0.025627423734854788,0.013787201239405508
DIS,Communication Services,0.02230787167654295,0.004057407790709762
TMO,Health Care,0.02223261676776825,0.004201710944315335
CRM,Information Technology,0.021797015150700576,0.0042671251449315755
WELL,Real Estate,0.02072003876889233,0.003211859326701031
LIN,Materials,0.02015483165209231,0.005061361751903575
AVGO,Information Technology,0.019003224511435986,0.035302770283938835
TSLA,Consumer Discretionary,0.017730956416472276,0.033544076614591994
NEE,Utilities,0.016211014727967325,0.004273098336531483
MCD,Consumer Discretionary,0.014904181819134384,0.005274955404753264
LLY,Health Care,0.01415508380828467,0.019971930946375827
CSCO,Information Technology,0.013799257404715815,0.007001142433806747
NFLX,Communication Services,0.01367779300767211,0.009464338242746763
JPM,Financials,0.01334076700905796,0.01759189983239734
HON,Industrials,0.013105672418899662,0.00357262459414092
WFC,Financials,0.012405959013400625,0.005688202802244206
PG,Consumer Staples,0.011707415057942488,0.008088969898854041
KO,Consumer Staples,0.01162409395447807,0.007467155484905522
UNH,Health Care,0.01142034542833284,0.005859129482339921
WMT,Consumer Staples,0.011092863366873037,0.022240385203964354
PEP,Consumer Staples,0.01037877666945364,0.004911957389303718
ORCL,Information Technology,0.010089401734475718,0.009905728306618677
BAC,Financials,0.010072257602636603,0.008003369411669016
COST,Consumer Staples,0.009629571409307529,0.009984437842357233
AMAT,Information Technology,0.009284506410749613,0.005806986620711633
ISRG,Health Care,0.009078837063043,0.003922234243301082
TMUS,Communication Services,0.008765043368483225,0.005584155563646068
IBM,Information Technology,0.008644574078725745,0.005471103867921024
LMT,Industrials,0.00852823095305598,0.003502578032078719
C,Financials,0.008454815958435963,0.0041990296531787385
TJX,Consumer Discretionary,0.008358848485610807,0.003995552401405209
BLK,Financials,0.007854404015343758,0.003348592992014607
PFE,Health Care,0.007386447720800805,0.003465792327271478
ABBV,Health Care,0.007339919059642769,0.009167844959927434
T,Communication Services,0.0071931448069500175,0.004575025451684498
DE,Industrials,0.006408540362920635,0.0035894425617877296
APH,Information Technology,0.006342563774639807,0.0036524294611203242
ANET,Information Technology,0.006302410497864363,0.0037707208050763623
MRK,Health Care,0.006204008024803304,0.006450544116592152
RTX,Industrials,0.005563729103445962,0.006344191034067375
GE,Industrials,0.005522919524297121,0.007679522012361014
SCHW,Financials,0.005268083521464178,0.003812885704865201
AMD,Information Technology,0.004714242230896732,0.007069690898742098
BA,Industrials,0.0045387660818046694,0.004089670777946517
ABT,Health Care,0.004099791162438721,0.0042897357794136224
MU,Information Technology,0.004042031377304679,0.009390976522429484
INTC,Information Technology,0.003782745994378255,0.004887072659626651
AMGN,Health Care,0.003434847681985734,0.004488497237027868
BKNG,Consumer Discretionary,0.002903014198218314,0.003305005306043689
PM,Consumer Staples,0.0028010537759269013,0.0059621792200911525
JNJ,Health Care,0.0025126308580450942,0.013053929580567544
CVX,Energy,0.0025065732506361913,0.008556852433405347
ADI,Information Technology,0.002476797522832141,0.0034740440441219803
GOOG,Communication Services,0.002283885480233149,0.08130905690935408
QCOM,Information Technology,0.0018112074078805295,0.00326462571865146
AXP,Financials,0.0017608836241928703,0.0046719716803676654
GILD,Health Care,0.0017437303103299228,0.0040268806469157
MA,Financials,0.0006837930521989819,0.01050362485051931
KLAC,Information Technology,0.0006267810891612996,0.003980659292905613
MS,Financials,9.999999999999987e-05,0.005734195639220896
COP,Energy,9.999999999999979e-05,0.0032243734953570045
UNP,Industrials,9.999999999999976e-05,0.0033975905141848477
TXN,Information Technology,9.999999999999963e-05,0.003955681901232775
LRCX,Information Technology,9.999999999999945e-05,0.005641318785754402
