asset,sector,weight,benchmark_weight
AAPL,Information Technology,0.07038323223560707,0.09763183932699966
MSFT,Information Technology,0.06702260188699588,0.07842134561822109
NVDA,Information Technology,0.044557696028738776,0.11154770040948805
AMZN,Consumer Discretionary,0.03988300522619656,0.059026731649125204
GOOGL,Communication Services,0.038907009685101024,0.09315766898109122
META,Communication Services,0.019432499552171273,0.04208577394564859
AVGO,Information Technology,0.019245168940599085,0.04042280743769436
XOM,Energy,0.01774306085595167,0.016255677352824415
TSLA,Consumer Discretionary,0.01759346771479129,0.038409046620452116
COST,Consumer Staples,0.017456432267398993,0.011432502464512091
REG,Real Estate,0.01709852447477985,0.000378990244575419
V,Financials,0.016073636147873247,0.015786788864521038
AEP,Utilities,0.015618015048530375,0.0018401690698637244
ORCL,Information Technology,0.013873951991663521,0.011342377514512983
CSCO,Information Technology,0.013389236219836257,0.008016533268336614
UNH,Health Care,0.013149192747053656,0.006708891707711025
HD,Consumer Discretionary,0.013079584053173896,0.009193014590809323
APH,Information Technology,0.012346010550304765,0.004182149208097666
BAC,Financials,0.01214590397583062,0.009164115393171175
LLY,Health Care,0.01212105422302607,0.022868503301894515
KO,Consumer Staples,0.011677249211596658,0.00855013320048099
XYL,Industrials,0.011191497368623909,0.0007735775952745439
ABBV,Health Care,0.010754190796778522,0.010497477349600099
MCD,Consumer Discretionary,0.010665846020171415,0.006039993599759382
GS,Financials,0.010588179608984833,0.006356363006943196
NDAQ,Financials,0.01044137634004276,0.0013027406259882451
CVX,Energy,0.009951077253089581,0.009797871255040738
IBM,Information Technology,0.009878089158213562,0.006264589898918298
JPM,Financials,0.009643200977342647,0.020143291126128136
GLW,Information Technology,0.00952458204254386,0.002729069220625656
PGR,Financials,0.009285786293008472,0.0031835199460742395
BKNG,Consumer Discretionary,0.00882599532679106,0.0037843373761390904
RTX,Industrials,0.008614569719940296,0.007264302785742729
MDT,Health Care,0.008416315192011846,0.0030110340159297507
A,Health Care,0.008150289073089201,0.000839707558298675
EW,Health Care,0.007944142107377969,0.0012233628372323238
JNJ,Health Care,0.00792822068107362,0.014947169230528433
CRM,Information Technology,0.007921919167419555,0.004885995536859822
WMB,Energy,0.007883870004457822,0.0023398044343717365
CAT,Industrials,0.007846614248600647,0.0082212134440318
BK,Financials,0.00784589249194306,0.002073201452562185
DOV,Industrials,0.007781244559354896,0.0007375153671654376
C,Financials,0.007655839847299075,0.004808024008609747
ETN,Industrials,0.007484972783200857,0.0034928281437833658
VRSN,Information Technology,0.007452866646223561,0.000583046892161368
SLB,Energy,0.007197598877971964,0.0018094059192082079
PWR,Industrials,0.007108405491048848,0.0020852599752404846
PG,Consumer Staples,0.006942035982149081,0.009262130704213984
ZTS,Health Care,0.006869093948170579,0.0013806640706334379
DIS,Communication Services,0.006865911359792582,0.004645862421020244
PEG,Utilities,0.006828614757107327,0.0010734104695091667
PYPL,Financials,0.006606528041359296,0.001133862974096678
GE,Industrials,0.006488584156612418,0.00879329970487996
T,Communication Services,0.006470817212788512,0.005238551291260288
MA,Financials,0.006348454163247958,0.012026988287757426
UAL,Industrials,0.006335690089264869,0.0007690196922447727
QCOM,Information Technology,0.0062031768404811815,0.003738101449823919
LHX,Industrials,0.006014817566016491,0.0017692706927308678
HRL,Consumer Staples,0.005968410546196074,0.00034670363623204764
PM,Consumer Staples,0.005909235347229049,0.006826886971882066
ISRG,Health Care,0.0059071507515842,0.004491084361575513
PFE,Health Care,0.005859040748695454,0.003968443686927067
TMUS,Communication Services,0.005768842201880107,0.006394037726667878
CF,Materials,0.0057195688034418725,0.00046592199407781155
SNPS,Information Technology,0.005666953957901025,0.0021618414117573433
CSX,Industrials,0.005530562432029537,0.0019166900584201602
BEN,Financials,0.0055182336002676914,0.00035298216614925153
BDX,Health Care,0.0054333792877021905,0.0015621277910397207
SHW,Materials,0.005323171830806493,0.0021088162917893873
ORLY,Consumer Discretionary,0.005287002436537665,0.002060216131609573
REGN,Health Care,0.005039343358275959,0.002072600566018543
CMI,Industrials,0.005031832589017869,0.0019222026587829002
UNP,Industrials,0.005012420063263516,0.003890350417330127
MU,Information Technology,0.005011979545440132,0.01075297016536917
INTC,Information Technology,0.004978948521165972,0.005595855380901506
USB,Financials,0.0048450964313550065,0.0020992986970138888
