asset,sector,weight,benchmark_weight
GOOGL,Communication Services,0.07339366293694127,0.11031730677203078
MSFT,Information Technology,0.06295925846036271,0.09286655341061335
AAPL,Information Technology,0.06271886941064102,0.11561561906342237
T,Communication Services,0.05041230209392361,0.006203492167201817
NVDA,Information Technology,0.04611584190578513,0.13209478103499808
META,Communication Services,0.04342569667288567,0.04983797132196202
HD,Consumer Discretionary,0.03324422448340151,0.010886367401270152
CSCO,Information Technology,0.02680361598186999,0.009493178280263595
XOM,Energy,0.02433341436774295,0.019249972277458744
QCOM,Information Technology,0.024202798179877427,0.00442665954285418
GS,Financials,0.023921475734903504,0.007527204742893157
REG,Real Estate,0.023330759326969354,0.00044880022795460605
AMZN,Consumer Discretionary,0.022110673740062235,0.06989945255509342
AEP,Utilities,0.020518361425499936,0.0021791281170180812
COST,Consumer Staples,0.020494660720879028,0.013538368825067664
V,Financials,0.019592600344826003,0.018694714553947684
TSLA,Consumer Discretionary,0.018843988438398233,0.04548399101430603
ETN,Industrials,0.018666168888511716,0.004136206906571943
KO,Consumer Staples,0.01853063928670855,0.010125067292212296
CAT,Industrials,0.01765283127693373,0.009735560533697847
APH,Information Technology,0.017462152402143636,0.004952500875153516
A,Health Care,0.01744837919422626,0.0009943816469520118
UNH,Health Care,0.017446455040522307,0.007944669212044309
XYL,Industrials,0.017136300098034987,0.000916070548171332
AVGO,Information Technology,0.01704923809828645,0.04786868646955941
BKNG,Consumer Discretionary,0.016923792064884348,0.004481412124396716
CVX,Energy,0.01466726488633081,0.011602638631657723
BAC,Financials,0.014567312897060699,0.010852144972927079
NDAQ,Financials,0.014409533626452144,0.0015427053816761272
PG,Consumer Staples,0.013986655470486482,0.010968214699176458
PGR,Financials,0.013942704061243334,0.003769924154899533
GLW,Information Technology,0.013511340327667546,0.0032317636294117253
PWR,Industrials,0.013449432592620355,0.002469364754443722
CRM,Information Technology,0.012571995989294892,0.005785995661140301
ABBV,Health Care,0.011718683021898912,0.01243111213252165
ORCL,Information Technology,0.011620850391187409,0.013431642863956683
RTX,Industrials,0.010975135847206295,0.00860238698182067
LLY,Health Care,0.010752235089810838,0.02708088042310679
IBM,Information Technology,0.010734685785459074,0.007418527033133585
ZTS,Health Care,0.010549983903343442,0.0016349823207803243
MDT,Health Care,0.009719716014767867,0.0035656663253753646
C,Financials,0.009646377486199656,0.005693661781433698
MCD,Consumer Discretionary,0.009628229895033416,0.007152560107327337
JNJ,Health Care,0.00930707986975255,0.017700437026954355
JPM,Financials,0.008865162369503831,0.023853684306017222
ISRG,Health Care,0.008420503904279706,0.005318341867866608
PYPL,Financials,0.006965989373504909,0.0013427204750717796
GE,Industrials,0.003219214183610191,0.010413025054099922
EW,Health Care,0.001795283489680143,0.001448706208351494
WMB,Energy,0.0002364689483838724,0.0027707962897347417
