asset,sector,weight,benchmark_weight
AAPL,Information Technology,0.0693440646815403,0.12681824807083938
MSFT,Information Technology,0.06923804242016748,0.1018649011553578
NVDA,Information Technology,0.04537709525052863,0.14489416608122874
AMZN,Consumer Discretionary,0.042429115959456816,0.07667239241511963
GOOGL,Communication Services,0.04242143557035863,0.12100655335372781
V,Financials,0.03875171299958573,0.0205061475873387
BAC,Financials,0.036750603112412475,0.01190366859102679
XYL,Industrials,0.028599010749864266,0.0010048336286177118
ORLY,Consumer Discretionary,0.027713323666789937,0.0026761044579209727
CSCO,Information Technology,0.026027977586326044,0.010413024190674051
AEP,Utilities,0.024844236585391803,0.002390275746138964
CVX,Energy,0.023281635916334413,0.012726881680741636
REG,Real Estate,0.02209932349086374,0.0004922869341016502
META,Communication Services,0.021813167995752943,0.054667044657598085
AVGO,Information Technology,0.021730732919411154,0.05250694503648079
COST,Consumer Staples,0.021498074283951667,0.01485017534862756
APH,Information Technology,0.020283292301511612,0.005432375743382334
BDX,Health Care,0.020228012870017693,0.0020291158200851614
PWR,Industrials,0.01996384522019232,0.0027086349970988203
SHW,Materials,0.01976077588894042,0.002739233322566481
XOM,Energy,0.019551528562576186,0.021115207265381398
TSLA,Consumer Discretionary,0.0193020950052642,0.04989118340956921
UNH,Health Care,0.019167615407752137,0.008714471618416045
ABT,Health Care,0.019020946601903933,0.006380261916532102
CMI,Industrials,0.017422661784352134,0.0024968327474349165
LLY,Health Care,0.017195417736171222,0.029704894886134203
ABBV,Health Care,0.016828825226319958,0.013635630505543958
WFC,Financials,0.01583116391493506,0.008460246872741143
QCOM,Information Technology,0.015408954916880846,0.004855582771414971
KDP,Consumer Staples,0.015094639357416735,0.0012863144477415478
ALL,Financials,0.015083257351984108,0.00184673343221302
DIS,Communication Services,0.014918859112435644,0.0060347130308442375
ORCL,Information Technology,0.01433870402336671,0.014733108126037621
PM,Consumer Staples,0.013922267560463395,0.00886774080586532
CMCSA,Communication Services,0.012701957189743825,0.003896803942515649
NWS,Communication Services,0.012631586418229796,0.0005129789923298444
WDAY,Information Technology,0.01012878767143053,0.0013515097762399363
INCY,Health Care,0.010087096889203416,0.000639882646003731
STLD,Materials,0.00973100745595373,0.0008885847416368455
WDC,Information Technology,0.009631295393776457,0.002810109161703896
AMD,Information Technology,0.008340002759465805,0.010514978526034897
AES,Utilities,0.00782161714594416,0.00033769617891333013
EA,Communication Services,0.007354134731962754,0.0016605870986223998
EW,Health Care,0.006881957869701884,0.001589079268015697
ALGN,Health Care,0.006649927277613743,0.00041839561438178883
NFLX,Communication Services,0.006198782763355751,0.014076614495737017
FCX,Materials,0.006155142600685462,0.0028590882260335466
T,Communication Services,0.005335950810171705,0.006804582416620944
TKO,Communication Services,0.005008336991540595,0.0005360766401548103
WELL,Real Estate,9.999999999999998e-05,0.004777101620512909
