asset,sector,weight,benchmark_weight
AAPL,Information Technology,0.07121017278572772,0.10056466803510065
MSFT,Information Technology,0.06841288608208691,0.08077709734165937
NVDA,Information Technology,0.044718433372022,0.11489855705972352
AMZN,Consumer Discretionary,0.039504355704086724,0.06079987547514809
GOOGL,Communication Services,0.03923396701801986,0.09595609506679088
V,Financials,0.02208826296613476,0.01626101886889004
META,Communication Services,0.020504471141607326,0.04335001691066167
AVGO,Information Technology,0.01958779309046448,0.04163709542952699
XOM,Energy,0.019414029568302807,0.016743992614921568
COST,Consumer Staples,0.017706428765465382,0.011775931121233955
TSLA,Consumer Discretionary,0.016902137771021047,0.03956284189211509
REG,Real Estate,0.016038871653103852,0.00039037498829266274
AEP,Utilities,0.015419244414625657,0.0018954471503860007
HD,Consumer Discretionary,0.014074758099662101,0.00946916975998128
NDAQ,Financials,0.013765183650340398,0.0013418745308029542
CSCO,Information Technology,0.013696617006016988,0.008257347321117882
UNH,Health Care,0.013444776354592297,0.006910424633194631
APH,Information Technology,0.013167303638221493,0.004307779610470704
ORCL,Information Technology,0.012814324420079213,0.01168309884704127
GS,Financials,0.012689212615726805,0.006547306084881489
JPM,Financials,0.011453130998956234,0.020748389041906182
LLY,Health Care,0.011369135535663993,0.023555465705321764
KO,Consumer Staples,0.011309665521578884,0.008806976421722273
JNJ,Health Care,0.011265415638244541,0.015396177334097106
BAC,Financials,0.01118428956113004,0.009439402439842742
XYL,Industrials,0.011051380471396411,0.0007968156147055421
IBM,Information Technology,0.010463745316919652,0.006452776142531822
ABBV,Health Care,0.010258295969637291,0.010812818155896197
GLW,Information Technology,0.009844337833417082,0.002811049572648301
BKNG,Consumer Discretionary,0.009611418256665406,0.0038980176404297888
RTX,Industrials,0.009502075771601596,0.007482520079416848
PGR,Financials,0.0093368475155625,0.0032791518501233585
CVX,Energy,0.009227701046740196,0.010092196121735269
PRU,Financials,0.00887288331549924,0.0008981886423028808
CAT,Industrials,0.008722647020981062,0.008468176022738586
MCD,Consumer Discretionary,0.00818139174535107,0.006221433043574325
T,Communication Services,0.0077814286756309305,0.00539591566871926
ETN,Industrials,0.007642341692598682,0.0035977515655191894
AMAT,Information Technology,0.007639340859587923,0.006848925853123725
MDT,Health Care,0.007330284365358281,0.003101484498721641
WMB,Energy,0.007328435647551742,0.002410091398785913
NSC,Industrials,0.007317840363850769,0.001807376097351711
PEG,Utilities,0.007060521314294207,0.001105655370990625
ZTS,Health Care,0.007036912835672313,0.0014221387703882496
VRSN,Information Technology,0.007018202040370703,0.0006005614312224695
GE,Industrials,0.006927022001322825,0.009057447568847079
PG,Consumer Staples,0.006910089653632006,0.009540362098959308
UNP,Industrials,0.0068555725548162996,0.004007215278907749
ISRG,Health Care,0.006777427448392631,0.004625995075507844
LHX,Industrials,0.006576849585546173,0.0018224190090568907
EW,Health Care,0.006471711136156231,0.0012601122590827287
C,Financials,0.00642897516996531,0.00495245548648512
QCOM,Information Technology,0.006288231253054351,0.003850392801921858
A,Health Care,0.006215738316193127,0.0008649321003165645
BDX,Health Care,0.006079616999227694,0.0016090536019520703
SLB,Energy,0.006022047859573734,0.0018637598846875222
PM,Consumer Staples,0.00594304911399575,0.00703196443673486
PYPL,Financials,0.00589758350020647,0.0011679238491596336
DIS,Communication Services,0.0057901107385231404,0.004785422617531749
TMUS,Communication Services,0.005757956995120125,0.006586112540936653
TAP,Consumer Staples,0.005729590618833202,0.00024470714682565747
HON,Industrials,0.00561195860693403,0.004213655471332707
CRM,Information Technology,0.0055289069452157235,0.005032769254091153
EA,Communication Services,0.005432341076941911,0.0013168167267462178
DOV,Industrials,0.005406824167259078,0.0007596700889897786
CI,Health Care,0.005257399104120809,0.0019282939160337074
INTC,Information Technology,0.005219328747044658,0.005763953057034817
SNPS,Information Technology,0.005207219087522186,0.002226782424837388
AON,Financials,0.005134179872928871,0.001945503324874588
PWR,Industrials,0.005073941217109705,0.0021479005068682443
NFLX,Communication Services,0.005041191986787266,0.011162510800741652
XYZ,Financials,0.004959175309971964,0.0010711588324147827
CF,Materials,0.004933141522957202,0.000479918139283991
ROP,Information Technology,0.004889893067681778,0.0010512361588598145
VRTX,Health Care,0.004837910343407558,0.0030831404083682973
MU,Information Technology,0.004811102648038822,0.011075985892776724
TDY,Information Technology,0.004804043943072089,0.0008080868315655492
UAL,Industrials,0.004802223207330313,0.0007921207937507724
PFE,Health Care,0.004780696202140252,0.004087654444931123
REGN,Health Care,0.004610762603540545,0.00213486081310952
HRL,Consumer Staples,0.004569304918568821,0.0003571185007327429
AMD,Information Technology,0.004561622077315194,0.008338195338231127
TT,Industrials,0.004485038799787497,0.0024934206064589305
USB,Financials,0.004329239014032811,0.0021623609472789895
MMM,Industrials,0.004326228739895664,0.0021473192329545306
NRG,Utilities,0.0041099482394964535,0.0008804171176398244
STX,Information Technology,0.00410652117132281,0.0021004165238742364
DG,Consumer Staples,0.004085706770774799,0.0008558760922170498
TRMB,Information Technology,0.004013015629800858,0.00044310477786554915
ELV,Health Care,0.0038371003972711816,0.0016988291808692894
RMD,Health Care,0.003780691329243907,0.0009809107235238873
WFC,Financials,0.003564600921609905,0.006708828825461791
ULTA,Consumer Discretionary,0.003202070513168926,0.0007701768326857388
TPR,Consumer Discretionary,0.0030921234655325613,0.0007839809451821137
BF-B,Consumer Staples,0.0029550211993036924,0.0032791518501233585
AES,Utilities,0.0025958648136136667,0.00026778720448946054
DXCM,Health Care,0.002456877663998354,0.0007058451586814251
GL,Financials,0.0023703841790053805,0.00030078960241771633
FTNT,Information Technology,0.0022309954881259766,0.0016535482695493734
ENPH,Information Technology,0.0021109326319993077,0.0001401614004822939
