asset,sector,weight,benchmark_weight
MSFT,Information Technology,0.07149731052617934,0.06848833431435068
AAPL,Information Technology,0.06903718339368693,0.08526558679705812
NVDA,Information Technology,0.044717344752029306,0.0974188358719896
GOOGL,Communication Services,0.038711743003981655,0.08135812420489963
AMZN,Consumer Discretionary,0.03587520988021428,0.05155028262776263
V,Financials,0.027475961457242733,0.013787201239405508
HD,Consumer Discretionary,0.026462675343127944,0.008028608176620763
CAT,Industrials,0.026190740528556064,0.007179897391274281
APH,Information Technology,0.024377545745680934,0.0036524294611203242
XOM,Energy,0.023715341270542506,0.01419669933319505
META,Communication Services,0.02314882722593531,0.03675510198333108
BAC,Financials,0.021448926173145585,0.008003369411669016
CSCO,Information Technology,0.02135234528976149,0.007001142433806747
WELL,Real Estate,0.01931865770186268,0.003211859326701031
AVGO,Information Technology,0.01924047031333157,0.035302770283938835
TSLA,Consumer Discretionary,0.019048360732121666,0.033544076614591994
LIN,Materials,0.018474479214016806,0.005061361751903575
HON,Industrials,0.018451859378230382,0.00357262459414092
TMO,Health Care,0.01725045608826259,0.004201710944315335
TJX,Consumer Discretionary,0.01716753935225859,0.003995552401405209
UNH,Health Care,0.01701886199989377,0.005859129482339921
RTX,Industrials,0.01645928126688258,0.006344191034067375
NEE,Utilities,0.015359788032860937,0.004273098336531483
MCD,Consumer Discretionary,0.015225861263264216,0.005274955404753264
CRM,Information Technology,0.015145369722304946,0.0042671251449315755
GS,Financials,0.014894629127314131,0.005551252802550064
ORCL,Information Technology,0.014477609106565622,0.009905728306618677
ISRG,Health Care,0.013896873140960036,0.003922234243301082
KO,Consumer Staples,0.013773245808710607,0.007467155484905522
CVX,Energy,0.01324698618437531,0.008556852433405347
LLY,Health Care,0.012613555226114705,0.019971930946375827
BLK,Financials,0.012325684665983008,0.003348592992014607
JNJ,Health Care,0.012180236965079135,0.013053929580567544
IBM,Information Technology,0.011613912752409849,0.005471103867921024
PG,Consumer Staples,0.010965209866011282,0.008088969898854041
JPM,Financials,0.010925074270291341,0.01759189983239734
DIS,Communication Services,0.010689599954845573,0.004057407790709762
BKNG,Consumer Discretionary,0.010589639024332553,0.003305005306043689
UNP,Industrials,0.010305636687855295,0.0033975905141848477
COST,Consumer Staples,0.009924682446347758,0.009984437842357233
C,Financials,0.009376516926583459,0.0041990296531787385
ABBV,Health Care,0.009121733950375601,0.009167844959927434
ADI,Information Technology,0.009027602643221255,0.0034740440441219803
ABT,Health Care,0.008815327592493444,0.0042897357794136224
TMUS,Communication Services,0.00837562442123084,0.005584155563646068
MU,Information Technology,0.0076675336800270215,0.009390976522429484
SCHW,Financials,0.0070713428281262,0.003812885704865201
GE,Industrials,0.007025518805575046,0.007679522012361014
T,Communication Services,0.0069948390531480885,0.004575025451684498
PM,Consumer Staples,0.006740694969979859,0.0059621792200911525
AMGN,Health Care,0.00668361896516306,0.004488497237027868
MRK,Health Care,0.0063869565500564605,0.006450544116592152
INTC,Information Technology,0.006199360944872126,0.004887072659626651
NFLX,Communication Services,0.005939965353398061,0.009464338242746763
QCOM,Information Technology,0.005862866153109813,0.00326462571865146
WMT,Consumer Staples,0.005312219430175989,0.022240385203964354
BA,Industrials,0.003975896088541939,0.004089670777946517
PFE,Health Care,0.003756805173680899,0.003465792327271478
AXP,Financials,0.0037117103694127565,0.0046719716803676654
AMAT,Information Technology,0.0035963152483348467,0.005806986620711633
AMD,Information Technology,0.003415132280802463,0.007069690898742098
DE,Industrials,0.0032023604684160724,0.0035894425617877296
MS,Financials,0.003169673281537202,0.005734195639220896
PEP,Consumer Staples,0.003121894770172115,0.004911957389303718
GILD,Health Care,0.0028813177352128303,0.0040268806469157
WFC,Financials,0.0024156836056602347,0.005688202802244206
KLAC,Information Technology,0.002366618774917238,0.003980659292905613
LMT,Industrials,0.002053184605644047,0.003502578032078719
COP,Energy,0.0005369704475600095,0.0032243734953570045
GOOG,Communication Services,0.0001,0.08130905690935408
MA,Financials,0.0001,0.01050362485051931
LRCX,Information Technology,0.0001,0.005641318785754402
VZ,Communication Services,0.0001,0.0048581720845711045
TXN,Information Technology,0.0001,0.003955681901232775
ANET,Information Technology,0.0001,0.0037707208050763623
