asset,sector,weight,benchmark_weight
AAPL,Information Technology,0.06422672354095534,0.06896966421692242
MSFT,Information Technology,0.06102005761957356,0.055398873072671675
GOOGL,Communication Services,0.053608831870726036,0.06580899420871866
NVDA,Information Technology,0.04323253422388499,0.07880018951240503
AMZN,Consumer Discretionary,0.030377360927810643,0.04169801459979993
META,Communication Services,0.028823259917048073,0.02973048256951124
AVGO,Information Technology,0.019273853448629256,0.02855571988504061
AEP,Utilities,0.01897650589978887,0.001299943171466703
DIS,Communication Services,0.018689522674462555,0.003281957744364371
TMUS,Communication Services,0.017270122422708433,0.004516914134144172
TSLA,Consumer Discretionary,0.016735620226318686,0.02713314699963986
COST,Consumer Staples,0.016528671955494983,0.008076216340610126
V,Financials,0.01614785173589413,0.011152197219215561
NDAQ,Financials,0.014616878542467961,0.0009202897759123245
T,Communication Services,0.014456623490904019,0.003700648538754213
ORCL,Information Technology,0.013646417158639132,0.008012549737769771
XOM,Energy,0.01241761654748642,0.011483432211984166
HD,Consumer Discretionary,0.012222802011396729,0.006494184006364886
PWR,Industrials,0.012198106393297693,0.0014730817455525648
APH,Information Technology,0.012098681571570805,0.0029543787003897697
CMCSA,Communication Services,0.011796635146245987,0.0021192633041607427
NFLX,Communication Services,0.011577406837731568,0.007655517954637985
CSCO,Information Technology,0.01149438816501376,0.005663087078070264
UNH,Health Care,0.011230757608902518,0.004739335154782485
IBM,Information Technology,0.010922760278602983,0.00442546883028591
ABBV,Health Care,0.010548780797888712,0.007415690341567154
LLY,Health Care,0.010294553090156552,0.01615490402257606
GLW,Information Technology,0.010218880509462,0.001927885299188842
GS,Financials,0.009807755727554488,0.004490299734714749
CMI,Industrials,0.00957579025840932,0.0013578938269215774
ETN,Industrials,0.008928904141814995,0.0024674244171238877
JPM,Financials,0.008884483160215461,0.014229743439941241
BDX,Health Care,0.008643923196766639,0.001103527598728107
CRM,Information Technology,0.0080737737224954,0.003451594007298515
KO,Consumer Staples,0.007983423373852236,0.006040035913612612
C,Financials,0.007944766767154122,0.003396512896884561
NSC,Industrials,0.007774616467485776,0.0012395419284288837
PNC,Financials,0.007766265255397857,0.001518906673268835
ISRG,Health Care,0.007726520679571464,0.003172618507680567
BKNG,Consumer Discretionary,0.0075781983929350104,0.002673354101643793
BAC,Financials,0.0074348356065869255,0.006473768863405571
