asset,sector,weight,benchmark_weight
AAPL,Information Technology,0.0700241397330803,0.06931694746929978
MSFT,Information Technology,0.06378265337626417,0.055677823260948764
NVDA,Information Technology,0.04418995734849764,0.07919697245186881
GOOGL,Communication Services,0.04042357275408974,0.06614036252555729
AMZN,Consumer Discretionary,0.039489526581766694,0.04190797679538714
META,Communication Services,0.02202707455630679,0.029880184598638344
AVGO,Information Technology,0.019289358867378356,0.028699506626476138
TSLA,Consumer Discretionary,0.01776331583000292,0.02726977065359345
AEP,Utilities,0.01736411213647279,0.001306488781012848
V,Financials,0.017197224191545877,0.011208351926729603
XOM,Energy,0.01662370269928697,0.011541254788508386
BAC,Financials,0.014022601271261599,0.006506366260124101
CSCO,Information Technology,0.013593804991403361,0.005691602445243618
ORCL,Information Technology,0.01325035316380307,0.008052895364566158
LLY,Health Care,0.012694335744659474,0.01623624888157318
APH,Information Technology,0.012654434915509783,0.0029692548964025383
COST,Consumer Staples,0.012105459778566897,0.008116882548130708
UNH,Health Care,0.012006820474585539,0.004763199149849687
HD,Consumer Discretionary,0.011702452186425275,0.0065268841995421946
GS,Financials,0.011381126871560706,0.004512909760640297
IBM,Information Technology,0.010344616982416961,0.004447752412874372
MDT,Health Care,0.010202593417560043,0.002137783003466963
CMI,Industrials,0.010100558425397638,0.0013647312356570077
CRM,Information Technology,0.009856644504487738,0.003468973833724388
C,Financials,0.009847613324122617,0.0034136153731538638
BKNG,Consumer Discretionary,0.009591424857849211,0.0026868152532633686
ADI,Information Technology,0.009431755221555772,0.002824235867696458
CVX,Energy,0.009253585841431695,0.006956322156565198
PWR,Industrials,0.009104553816822411,0.0014804991605192987
ABBV,Health Care,0.008920616382745146,0.007453030599631089
GLW,Information Technology,0.008766970821241407,0.0019375927884816278
ISRG,Health Care,0.008666309493817649,0.0031885936075510633
JPM,Financials,0.008418749308158469,0.014301394529422777
ADP,Industrials,0.008192841606339638,0.0016762365090630365
CAT,Industrials,0.00816960225471078,0.005836921893125275
ROST,Consumer Discretionary,0.007311590846543326,0.0012614866787852119
TRV,Financials,0.007264191220612968,0.001251593104027479
CSX,Industrials,0.006922336627202642,0.0013608173830409213
RTX,Industrials,0.0068499715838542955,0.005157531580593353
QCOM,Information Technology,0.0067816049310787845,0.002653988530980192
JNJ,Health Care,0.006715515134556409,0.01061223624904859
T,Communication Services,0.0066982771989902426,0.003719282430553396
ETN,Industrials,0.0063492380765879574,0.0024798486501008527
WMB,Energy,0.006143854739144643,0.0016612214026057782
LHX,Industrials,0.00613731124245505,0.0012561521375853207
DIS,Communication Services,0.0060363289950729785,0.00329848340057234
HON,Industrials,0.005992300447661648,0.002904377259597291
TMO,Health Care,0.005952994365280222,0.0034157951378613735
SLB,Energy,0.0059079419957205675,0.0012846474666150264
PGR,Financials,0.005853925292585397,0.002260245083884948
EXC,Utilities,0.005814792275187575,0.000924866017164013
NFLX,Communication Services,0.005769808989515947,0.007694065817732664
MCD,Consumer Discretionary,0.005721466142976821,0.0042882928556447425
PG,Consumer Staples,0.005651752577466973,0.006575955465997666
ICE,Financials,0.005630290694701921,0.001735758971483257
PEG,Utilities,0.0055274476072234395,0.0007621031995387882
GE,Industrials,0.005423565152780343,0.006243093420410568
DHR,Health Care,0.005327118321994587,0.0025323595810631083
SHW,Materials,0.005238172998688134,0.001497223745122499
SNPS,Information Technology,0.004944446293511834,0.0015348706795724543
BMY,Health Care,0.004801806566556183,0.002249042839981257
BA,Industrials,0.0047897672254085645,0.003324711705278853
ACN,Information Technology,0.004590047114499872,0.0024423115592255838
REGN,Health Care,0.00455396374935784,0.001471511195014617
NSC,Industrials,0.004427692905582284,0.0012457833993313515
FCX,Materials,0.0044046246963771706,0.001562734633137005
KO,Consumer Staples,0.004388207484971451,0.006070449332908928
BLK,Financials,0.0043831234323483455,0.0027222500101477098
TMUS,Communication Services,0.004371323219647422,0.0045396581716717595
O,Real Estate,0.004360509679097052,0.0011141878706960363
