asset,sector,weight,benchmark_weight
AAPL,Information Technology,0.09104424408163937,0.09672288430945575
MSFT,Information Technology,0.08580945517927224,0.0776912408073972
GOOG,Communication Services,0.067329967879666,0.0922347080478399
META,Communication Services,0.05419767592912331,0.04169395427228372
HD,Consumer Discretionary,0.04952894839602201,0.00910742738077343
NVDA,Information Technology,0.04461823013387585,0.11050918835561702
NFLX,Communication Services,0.03623474980221127,0.010736079200364304
BAC,Financials,0.03462768934050381,0.009078797235432947
KO,Consumer Staples,0.02766250314995643,0.008470531233266009
HON,Industrials,0.027251387875851702,0.00405268489059564
JPM,Financials,0.025890107842540006,0.019955756550674546
AVGO,Information Technology,0.0239604578203187,0.04004647002669218
XOM,Energy,0.023154146001596872,0.016104336564867566
PG,Consumer Staples,0.022576133730818376,0.009175900021326351
MU,Information Technology,0.022155112346621594,0.010652859727496786
GS,Financials,0.021939406958502636,0.006297185098503508
CAT,Industrials,0.021911082955589314,0.008144673728486509
ORCL,Information Technology,0.021094578109709595,0.011236779678563551
UNH,Health Care,0.01933272751122775,0.006646431747702915
RTX,Industrials,0.0180114009456047,0.0071966719338446734
JNJ,Health Care,0.016206402552138528,0.01480801068794826
LIN,Materials,0.015482115478985608,0.005741466464575654
CVX,Energy,0.01540175262501298,0.009706652813393949
ABBV,Health Care,0.015288110482694421,0.010399745556629219
TSLA,Consumer Discretionary,0.01527742131230223,0.0380514573761503
TJX,Consumer Discretionary,0.015163783633763785,0.00453244230398961
MS,Financials,0.014335306733635611,0.006504710308746558
PLD,Real Estate,0.014242711730362683,0.003196625704991967
AMGN,Health Care,0.013357244037738929,0.005091625065733286
MCD,Consumer Discretionary,0.0129950199102791,0.0059837610989043446
MRK,Health Care,0.01288995369583478,0.007317315880405221
V,Financials,0.012715484357192225,0.01563981344084545
DUK,Utilities,0.012581408409312402,0.002633721057856231
LLY,Health Care,0.010083881248647623,0.022655596928694312
GOOGL,Communication Services,0.009469268092749996,0.09229036860831578
WELL,Real Estate,0.008538084954927078,0.0036434429145976253
NEE,Utilities,0.007994083140218987,0.004847282609231073
AMD,Information Technology,0.007068569261138,0.008019658581957205
BA,Industrials,0.005711329300423894,0.004639207544077218
SO,Utilities,0.0056355231784359335,0.002789079359255831
DE,Industrials,0.0055705177777506595,0.004071762720235095
AMZN,Consumer Discretionary,0.004980115045135894,0.058477191209535706
GE,Industrials,0.0025433640316970133,0.008711433851049754
NEM,Materials,0.002312101118671323,0.003243659448131544
WFC,Financials,0.002303160661319826,0.006452537327628769
COST,Consumer Staples,0.001979827833639717,0.011326065562884164
WMT,Consumer Staples,0.0007934907636595439,0.025228867657954075
EQIX,Real Estate,0.0005499626416795949,0.002353694357730942
MA,Financials,9.999999999999999e-05,0.011915016707323667
LMT,Industrials,9.999999999999998e-05,0.003973226040042685
