asset,sector,weight,benchmark_weight
AAPL,Information Technology,0.0825157586777553,0.06169235145248925
HD,Consumer Discretionary,0.06169817379918346,0.00580895219175934
MSFT,Information Technology,0.06099062444219558,0.0495534781338335
LIN,Materials,0.041373919823059345,0.003662055464062031
BAC,Financials,0.0399316089111676,0.005790691146288137
GOOG,Communication Services,0.035101628498870364,0.05882967681980922
MA,Financials,0.03288603756409428,0.0075997051113438725
CVX,Energy,0.03255466919071061,0.006191153635113951
CAT,Industrials,0.030948147392198797,0.005194883069409502
NVDA,Information Technology,0.028974420662300455,0.07048561191529276
ABT,Health Care,0.02867415126065403,0.0031037596442253534
AMZN,Consumer Discretionary,0.028451104333219023,0.03729826150046281
AXP,Financials,0.026621680366296467,0.00338031941968953
TMUS,Communication Services,0.026595579940443828,0.004040313337874225
KO,Consumer Staples,0.025616092033847564,0.00540272339439372
PM,Consumer Staples,0.02560363374475119,0.004313825421081632
MCD,Consumer Discretionary,0.02451136602970075,0.003816597234014157
META,Communication Services,0.022742815827670147,0.026593479906784394
GE,Industrials,0.02256011175575083,0.005556377300273847
TSLA,Consumer Discretionary,0.02242178743676288,0.02427020139534224
CSCO,Information Technology,0.022201425253179433,0.005065548198517107
UNH,Health Care,0.022074051156805666,0.004239265673389199
IBM,Information Technology,0.021313937390595422,0.00395851685693791
RTX,Industrials,0.02044884621639579,0.004590223062523034
AMGN,Health Care,0.01718761105047692,0.003247569851355367
AVGO,Information Technology,0.015413357220295585,0.02554267194321815
ORCL,Information Technology,0.015217210304761284,0.0071671080331540665
INTC,Information Technology,0.014822256613209362,0.0035359517880189043
COST,Consumer Staples,0.014794518121473341,0.007224056874109124
PEP,Consumer Staples,0.014477413383110172,0.003553956677760551
MRK,Health Care,0.011924696976411854,0.004667172884739006
LLY,Health Care,0.0103468352396573,0.014450324326756112
PG,Consumer Staples,0.009013530096603724,0.005852625808773859
MU,Information Technology,0.008168409020878946,0.0067946688208775
JNJ,Health Care,0.00804785779004394,0.009444931323081029
GS,Financials,0.007969709184499144,0.004016507148559852
AMD,Information Technology,0.007928392013656128,0.005115145183058897
MS,Financials,0.007721279613373073,0.004148872082638998
ABBV,Health Care,0.00770907981152226,0.006633226071333266
WFC,Financials,0.0074485949311242855,0.004115594809009059
NFLX,Communication Services,0.007302632621516664,0.006847748348069928
LRCX,Information Technology,0.006661693050442226,0.004081672738787722
V,Financials,0.006259531735348275,0.009975476582739552
GOOGL,Communication Services,0.0058470368433536,0.05886517856154735
T,Communication Services,0.004448752984760505,0.0033101757540375193
AMAT,Information Technology,0.0031294985147800884,0.004201538662221525
VZ,Communication Services,0.0010485311710926376,0.0035150413070091455
JPM,Financials,0.00010000000000000018,0.012728296466901092
WMT,Consumer Staples,0.00010000000000000005,0.01609162279862537
XOM,Energy,9.999999999999967e-05,0.010271761417808093
