asset,sector,weight,benchmark_weight,active_weight
MSFT,Information Technology,0.0889597094762063,0.04961840689868486,0.039341302577521435
NVDA,Information Technology,0.06837389078180411,0.07057796756607256,-0.002204076784268441
AAPL,Information Technology,0.06559595660243907,0.06177318549949132,0.00382277110294775
HD,Consumer Discretionary,0.05031667095437393,0.0058165635261216405,0.044500107428252285
AMZN,Consumer Discretionary,0.04781701168817091,0.03734713254123592,0.010469879146934986
BAC,Financials,0.041510271512117204,0.0057982785536291265,0.03571199295848808
GOOGL,Communication Services,0.036810620152964414,0.058942308229951924,-0.02213168807698751
V,Financials,0.03611752091425467,0.00998854721668318,0.026128973697571493
CAT,Industrials,0.033625041985996244,0.005201689803345172,0.028423352182651074
LIN,Materials,0.030746791859492376,0.003666853769792591,0.027079938089699784
KO,Consumer Staples,0.028567233643644354,0.005409802456652158,0.023157431186992195
GS,Financials,0.028190702297710975,0.004021769884052774,0.024168932413658202
XOM,Energy,0.026251541000181212,0.01028522026685003,0.015966320733331183
AVGO,Information Technology,0.022653497744792455,0.025576139909599796,-0.002922642164807341
PEP,Consumer Staples,0.02092788216343225,0.0035586133441765596,0.017369268819255688
LLY,Health Care,0.02069159051986882,0.014469258249168258,0.006222332270700563
META,Communication Services,0.020632603875454826,0.02662832472229429,-0.005995720846839463
VZ,Communication Services,0.019606068991562677,0.0035196469835239047,0.01608642200803877
AXP,Financials,0.018652993560353364,0.0033847485732623785,0.015268244987090986
IBM,Information Technology,0.018618785133648383,0.003963703609106348,0.014655081524542035
TSLA,Consumer Discretionary,0.018137008622670207,0.024302002073289353,-0.006164993450619147
RTX,Industrials,0.017690596593962545,0.004596237524576271,0.013094359069386274
CSCO,Information Technology,0.01747453016666602,0.0050721854679926515,0.012402344698673368
COST,Consumer Staples,0.016020847147826613,0.007233522387080486,0.008787324760746128
GE,Industrials,0.015576667550386836,0.005563657691655872,0.010013009858730965
MCD,Consumer Discretionary,0.014872720704531689,0.0038215980322158574,0.011051122672315832
UNH,Health Care,0.014545768517952905,0.0042448202841736645,0.01030094823377924
JNJ,Health Care,0.013501578001826683,0.00945730679596423,0.004044271205862452
NFLX,Communication Services,0.013167615017680266,0.0068567207927700225,0.006310894224910243
WMT,Consumer Staples,0.01251650451264357,0.016112707276085197,-0.0035962027634416274
ABT,Health Care,0.01166227923062051,0.003107826427984725,0.008554452802635785
PG,Consumer Staples,0.011293612299291475,0.005860294367656337,0.005433317931635138
MRK,Health Care,0.011255640328181656,0.004673288172346779,0.006582352155834878
AMGN,Health Care,0.011032386343740838,0.003251825066269798,0.007780561277471039
MA,Financials,0.01024126491168281,0.007609662827425506,0.0026316020842573045
ORCL,Information Technology,0.009434539061520725,0.007176498927389426,0.002258040134131299
AMD,Information Technology,0.009122755121011808,0.005121847438304723,0.004000907682707085
AMAT,Information Technology,0.0075485020651974485,0.004207043840184544,0.0033414582250129044
CVX,Energy,0.0061077032218424115,0.006199265759099422,-9.156253725701047e-05
WFC,Financials,0.005738740505768216,0.0041209873767488235,0.0016177531290193928
INTC,Information Technology,0.0050562976772997115,0.003540584863048471,0.0015157128142512404
LRCX,Information Technology,0.005016087430666241,0.00408702085923128,0.0009290665714349611
MS,Financials,0.004981952252619252,0.004154308252813058,0.0008276439998061947
ABBV,Health Care,0.004946888482596455,0.006641917432505299,-0.0016950289499088438
MU,Information Technology,0.004405157504162413,0.006803571716713028,-0.002398414212550615
PM,Consumer Staples,0.002829139895774475,0.004319477725761815,-0.0014903378299873397
TMUS,Communication Services,0.0008096586903617107,0.004045607266060904,-0.003235948575699193
T,Communication Services,0.00014103768415514608,0.0033145130000037885,-0.003173475315848642
GOOG,Communication Services,0.00010453183259043161,0.05890675997111091,-0.05880222813852048
JPM,Financials,0.000101603766300293,0.01274497405643428,-0.012643370290133987
