model,K,quarter,train_start,train_end,eval_start,eval_end,universe_size,assets_dropped,TE_annual_insample,TE_annual_oos,portfolio_return_oos,benchmark_return_oos,tracking_difference,asset_active_share,sector_active_share,diversification,bench_diversification,turnover,execution_time
Stratified,50,2023-Q1,2021-12-31,2022-12-30,2023-01-01,2023-03-31,468,0,0.019324874199462064,0.025650852905199202,0.1106161102524359,0.07027218611635555,0.040343924136080345,0.8231995190472916,0.5666693407807903,0.5780531942784727,0.3508708418375058,,0.048580169677734375
Stratified_sector,50,2023-Q1,2021-12-31,2022-12-30,2023-01-01,2023-03-31,468,0,0.03160746449605526,0.03483967025004516,0.11422104192281224,0.07027218611635555,0.04394885580645669,0.830414342657634,0.28940301282347347,0.46538168895474535,0.3508708418375058,,0.050788164138793945
MarketCap,50,2023-Q1,2021-12-31,2022-12-30,2023-01-01,2023-03-31,468,0,0.020486571300823916,0.026760862677944447,0.1115352897515649,0.07027218611635555,0.04126310363520935,0.8474731194758593,0.5621795989184097,0.5521860381656191,0.36919165565814305,,0.01625537872314453
MarketCap_sector,50,2023-Q1,2021-12-31,2022-12-30,2023-01-01,2023-03-31,468,0,0.02480751819599863,0.027359771286892653,0.11784841083957853,0.07027218611635555,0.04757622472322298,0.8504160846208438,0.29742377737391,0.5449682070224453,0.36919165565814305,,0.04730820655822754
LASSO,50,2023-Q1,2021-12-31,2022-12-30,2023-01-01,2023-03-31,468,0,0.01270024257167853,0.022996092449821575,0.08704827359759171,0.07027218611635555,0.016776087481236157,0.9340916701397319,0.6821912265208924,0.7211018928630847,0.23921980743127416,,2.4955031871795654
LASSO_sector,50,2023-Q1,2021-12-31,2022-12-30,2023-01-01,2023-03-31,468,0,0.018241928328275907,0.02570073432625868,0.09413249845258709,0.07027218611635555,0.023860312336231537,0.9809339220962855,0.46212879451833744,0.6174627852754248,0.23921980743127416,,2.263054609298706
MIQP_Gurobi,50,2023-Q1,2021-12-31,2022-12-30,2023-01-01,2023-03-31,468,0,0.008410733822263664,0.02187780877473572,0.08651830997721754,0.07027218611635555,0.016246123860861994,0.9595751847715929,0.6866447867239511,0.7145541669107054,0.22460106136920255,,120.12482833862305
Layered,50,2023-Q1,2021-12-31,2022-12-30,2023-01-01,2023-03-31,468,0,0.010376996623300659,0.018133307271120884,0.08231074219144152,0.07027218611635555,0.012038556075085971,0.9691778103829116,0.510640084122381,0.7142128958447935,0.21053690361898422,,180.19343090057373
Stratified,75,2023-Q1,2021-12-31,2022-12-30,2023-01-01,2023-03-31,468,0,0.013461742900533735,0.019861828075673715,0.1056001148785286,0.07027218611635555,0.035327928762173055,0.8337504359427472,0.5118131992323062,0.4820643060942469,0.28738819034746865,,0.03475308418273926
Stratified_sector,75,2023-Q1,2021-12-31,2022-12-30,2023-01-01,2023-03-31,468,0,0.021609149500341353,0.021717329286505042,0.10535757758718844,0.07027218611635555,0.035085391470832894,0.8404444607659001,0.23239051024042762,0.4253461606564644,0.28738819034746865,,0.058349609375
MarketCap,75,2023-Q1,2021-12-31,2022-12-30,2023-01-01,2023-03-31,468,0,0.013020551661622798,0.021635744897833292,0.10206236980128391,0.07027218611635555,0.031790183684928364,0.8848099227075011,0.4766222202317444,0.5114159602357463,0.29720213359421277,,0.024988889694213867
MarketCap_sector,75,2023-Q1,2021-12-31,2022-12-30,2023-01-01,2023-03-31,468,0,0.01622535204720784,0.023488032817026026,0.10726800479549659,0.07027218611635555,0.036995818679141035,0.9209970145587382,0.26598781465121035,0.5202407135071532,0.29720213359421277,,0.054871559143066406
LASSO,75,2023-Q1,2021-12-31,2022-12-30,2023-01-01,2023-03-31,468,0,0.009277777849841599,0.02194575356584867,0.08538047129093784,0.07027218611635555,0.015108285174582292,0.9294498050261037,0.6126800265032395,0.6157700096267877,0.21376112536529418,,2.1811912059783936
LASSO_sector,75,2023-Q1,2021-12-31,2022-12-30,2023-01-01,2023-03-31,468,0,0.01442765721451911,0.023929963273974286,0.09322393250991712,0.07027218611635555,0.022951746393561567,1.0056600436315213,0.3467480321709771,0.5428098588013893,0.21376112536529418,,2.3398284912109375
MIQP_Gurobi,75,2023-Q1,2021-12-31,2022-12-30,2023-01-01,2023-03-31,468,0,0.005641587312855209,0.019700184459441182,0.0865583831061354,0.07027218611635555,0.016286196989779844,0.9705101934781065,0.6629617564557145,0.6373837912917572,0.18715268776885055,,120.08305644989014
Layered,75,2023-Q1,2021-12-31,2022-12-30,2023-01-01,2023-03-31,468,0,0.00690492890492532,0.019180104357175615,0.09609008005915487,0.07027218611635555,0.02581789394279932,0.9785512366426772,0.5777086266784996,0.5704218819062934,0.16399616704124514,,180.20329308509827
Stratified,100,2023-Q1,2021-12-31,2022-12-30,2023-01-01,2023-03-31,468,0,0.009963968499380855,0.017724679333589597,0.10454285202157987,0.07027218611635555,0.03427066590522432,0.7951720380900364,0.4389268850693189,0.4236374448744265,0.24469570060074525,,0.051305294036865234
Stratified_sector,100,2023-Q1,2021-12-31,2022-12-30,2023-01-01,2023-03-31,468,0,0.014884008611318868,0.020758378374574036,0.1150070869226627,0.07027218611635555,0.044734900806307154,0.8786552342834777,0.20015646386250968,0.39127092584318846,0.24469570060074525,,0.07838845252990723
MarketCap,100,2023-Q1,2021-12-31,2022-12-30,2023-01-01,2023-03-31,468,0,0.009551088927481848,0.018063923839844728,0.10838344509657682,0.07027218611635555,0.038111258980221274,0.8103476843430939,0.4332141668125643,0.47457052553815154,0.2544962768168757,,0.050881385803222656
MarketCap_sector,100,2023-Q1,2021-12-31,2022-12-30,2023-01-01,2023-03-31,468,0,0.012587650951190531,0.02092857745799332,0.11128498110840024,0.07027218611635555,0.04101279499204469,0.8670618149480814,0.2236687411074838,0.46347311630781635,0.2544962768168757,,0.07718491554260254
LASSO,100,2023-Q1,2021-12-31,2022-12-30,2023-01-01,2023-03-31,468,0,0.005610740188162434,0.019059649408872625,0.08562101329380889,0.07027218611635555,0.015348827177453339,0.8781248293187494,0.5222691514416368,0.5108192251457907,0.1807280384192209,,2.532654047012329
LASSO_sector,100,2023-Q1,2021-12-31,2022-12-30,2023-01-01,2023-03-31,468,0,0.011331641433077298,0.021994789438828367,0.09287836718071163,0.07027218611635555,0.02260618106435608,1.0039793889754725,0.3083963253276381,0.4185791620456,0.1807280384192209,,2.5967512130737305
MIQP_Gurobi,100,2023-Q1,2021-12-31,2022-12-30,2023-01-01,2023-03-31,468,0,0.005078478087249801,0.015851507866369123,0.07808754443830712,0.07027218611635555,0.007815358321951571,0.9404424796184867,0.5439368872650794,0.5215464885781265,0.17246078572294324,,120.09698581695557
Layered,100,2023-Q1,2021-12-31,2022-12-30,2023-01-01,2023-03-31,468,0,0.005607309524266879,0.01700641303405624,0.09128517149274851,0.07027218611635555,0.021012985376392956,0.862007581326188,0.47379263683612066,0.5032255087438859,0.16597835502354288,,180.20165491104126
Stratified,125,2023-Q1,2021-12-31,2022-12-30,2023-01-01,2023-03-31,468,0,0.007711475648502722,0.016722909312525288,0.10447198815677816,0.07027218611635555,0.03419980204042261,0.8512601509552852,0.4233627110545125,0.37098508863274954,0.21844070828106746,,0.04982495307922363
Stratified_sector,125,2023-Q1,2021-12-31,2022-12-30,2023-01-01,2023-03-31,468,0,0.011577223500483876,0.021419048779576448,0.11474721502627405,0.07027218611635555,0.0444750289099185,0.9208274992036819,0.19678886944248547,0.3695364327869374,0.21844070828106746,,0.06821942329406738
MarketCap,125,2023-Q1,2021-12-31,2022-12-30,2023-01-01,2023-03-31,468,0,0.008035220654458131,0.013785327507829896,0.10588416544751356,0.07027218611635555,0.035611979331158006,0.8329678490549073,0.41875611356036835,0.4116529615297948,0.22361587643086456,,0.03549957275390625
MarketCap_sector,125,2023-Q1,2021-12-31,2022-12-30,2023-01-01,2023-03-31,468,0,0.010884596588316576,0.018100281456336638,0.11155925525690003,0.07027218611635555,0.041287069140544475,0.9140208877870292,0.1964972308796912,0.40094356744829274,0.22361587643086456,,0.062140703201293945
LASSO,125,2023-Q1,2021-12-31,2022-12-30,2023-01-01,2023-03-31,468,0,0.004275578948955773,0.016415491291202452,0.0825536726733005,0.07027218611635555,0.012281486556944943,0.8621001517709571,0.46920396001212317,0.4366529793372152,0.15775669920833818,,2.3126604557037354
LASSO_sector,125,2023-Q1,2021-12-31,2022-12-30,2023-01-01,2023-03-31,468,0,0.008958110629597437,0.018923111393044017,0.08815852489782694,0.07027218611635555,0.01788633878147139,0.9744963730708833,0.28299723426725476,0.36559510816860913,0.15775669920833818,,2.0554046630859375
MIQP_Gurobi,125,2023-Q1,2021-12-31,2022-12-30,2023-01-01,2023-03-31,468,0,0.004408918531429187,0.015281991136973068,0.08541946291159563,0.07027218611635555,0.015147276795240083,0.8545273325831975,0.4601253923280504,0.45034149564163617,0.15245535328945103,,7.1594953536987305
Layered,125,2023-Q1,2021-12-31,2022-12-30,2023-01-01,2023-03-31,468,0,0.005104425355145516,0.015026585167410155,0.08948922057493625,0.07027218611635555,0.019217034458580695,0.8694490323491756,0.39233499594756643,0.42299226412015506,0.1636787211958821,,180.20149111747742
Stratified,150,2023-Q1,2021-12-31,2022-12-30,2023-01-01,2023-03-31,468,0,0.0067878480185454395,0.012677391763802288,0.09848233929573058,0.07027218611635555,0.02821015317937503,0.8526420247404272,0.4044349006617643,0.35598767226680494,0.19757529503973897,,0.09003829956054688
Stratified_sector,150,2023-Q1,2021-12-31,2022-12-30,2023-01-01,2023-03-31,468,0,0.010802261122564084,0.019051032459552655,0.10533017804922995,0.07027218611635555,0.0350579919328744,0.9232292024493861,0.1720445965368717,0.3486577447636803,0.19757529503973897,,0.1037442684173584
MarketCap,150,2023-Q1,2021-12-31,2022-12-30,2023-01-01,2023-03-31,468,0,0.006941917591887763,0.012096836064034859,0.10651112018874387,0.07027218611635555,0.03623893407238832,0.8021913466423911,0.3979961692683867,0.36204992980613665,0.20091062902719647,,0.06890130043029785
MarketCap_sector,150,2023-Q1,2021-12-31,2022-12-30,2023-01-01,2023-03-31,468,0,0.010080977371428422,0.017020036979450297,0.10920957109421825,0.07027218611635555,0.0389373849778627,0.8976779498963918,0.18143528913831877,0.3577099417973288,0.20091062902719647,,0.15253877639770508
LASSO,150,2023-Q1,2021-12-31,2022-12-30,2023-01-01,2023-03-31,468,0,0.0037938428386614445,0.01498786908223565,0.08319068472714974,0.07027218611635555,0.012918498610794193,0.8267163330343186,0.4523371872205436,0.38647760752881233,0.144954479060747,,2.4098989963531494
LASSO_sector,150,2023-Q1,2021-12-31,2022-12-30,2023-01-01,2023-03-31,468,0,0.008496908999766496,0.018212031521551732,0.08803813819389017,0.07027218611635555,0.01776595207753462,0.9509492373322072,0.2755559369591307,0.31941256720174127,0.144954479060747,,2.416029453277588
MIQP_Gurobi,150,2023-Q1,2021-12-31,2022-12-30,2023-01-01,2023-03-31,468,0,0.004288566854474725,0.0159513543462807,0.08485257870230467,0.07027218611635555,0.01458039258594912,0.8580130989992941,0.4561855774828886,0.39091122670773437,0.14115911941867051,,4.4651055335998535
Layered,150,2023-Q1,2021-12-31,2022-12-30,2023-01-01,2023-03-31,468,0,0.004779355380548466,0.015752098577363153,0.0830776295654434,0.07027218611635555,0.01280544344908785,0.8807062409838122,0.41316072615536586,0.3606660858649191,0.14236715683667447,,172.5762004852295
Stratified,175,2023-Q1,2021-12-31,2022-12-30,2023-01-01,2023-03-31,468,0,0.006204216982741698,0.011711643431350506,0.10125194759903833,0.07027218611635555,0.030979761482682777,0.8266863489814948,0.36392449051508474,0.3220514237643981,0.18123330604817006,,0.07663130760192871
Stratified_sector,175,2023-Q1,2021-12-31,2022-12-30,2023-01-01,2023-03-31,468,0,0.009393317150845343,0.018028104089352917,0.11078176167534348,0.07027218611635555,0.04050957555898793,0.9297926551473251,0.1528392151296028,0.2993372480977823,0.18123330604817006,,0.11631059646606445
MarketCap,175,2023-Q1,2021-12-31,2022-12-30,2023-01-01,2023-03-31,468,0,0.006253682382492287,0.012573178646252226,0.10011955586627952,0.07027218611635555,0.02984736974992397,0.8289919348577619,0.3747170345578302,0.33245200632988836,0.18325742835962902,,0.06934595108032227
MarketCap_sector,175,2023-Q1,2021-12-31,2022-12-30,2023-01-01,2023-03-31,468,0,0.00911250118207445,0.018399798050708713,0.10777246279572728,0.07027218611635555,0.037500276679371725,0.9072041698774989,0.151245013016264,0.3235918766692729,0.18325742835962902,,0.09712886810302734
LASSO,175,2023-Q1,2021-12-31,2022-12-30,2023-01-01,2023-03-31,468,0,0.0037565427023654955,0.014492132932353734,0.08382448156420019,0.07027218611635555,0.013552295447844642,0.8159652639706378,0.42671755517099313,0.33642501229823496,0.132608895303774,,2.270981788635254
LASSO_sector,175,2023-Q1,2021-12-31,2022-12-30,2023-01-01,2023-03-31,468,0,0.00799563094981172,0.01713896514234102,0.08991230859001287,0.07027218611635555,0.019640122473657318,0.9603664938913973,0.2577620455528786,0.2843241414712796,0.132608895303774,,2.4167606830596924
MIQP_Gurobi,175,2023-Q1,2021-12-31,2022-12-30,2023-01-01,2023-03-31,468,0,0.0038106677184375167,0.014699046344616287,0.08211916811300268,0.07027218611635555,0.011846981996647132,0.824147885310314,0.43729198670383923,0.3308098316223241,0.12898399132467556,,0.6807906627655029
Layered,175,2023-Q1,2021-12-31,2022-12-30,2023-01-01,2023-03-31,468,0,0.004598633343303223,0.015426449181708617,0.08627620179237505,0.07027218611635555,0.0160040156760195,0.9130115202017023,0.4295024554121833,0.32585836188122086,0.1327124859722875,,51.63828229904175
Stratified,200,2023-Q1,2021-12-31,2022-12-30,2023-01-01,2023-03-31,468,0,0.005896387591362231,0.011665818444484118,0.09838634369464883,0.07027218611635555,0.028114157578293275,0.8303729257001116,0.3507321975492483,0.29109735135877535,0.16687230013819424,,0.07674670219421387
Stratified_sector,200,2023-Q1,2021-12-31,2022-12-30,2023-01-01,2023-03-31,468,0,0.008949923904877085,0.01739857232062878,0.1076818056109079,0.07027218611635555,0.03740961949455235,0.9259757543042717,0.1355013054166815,0.2664680850612835,0.16687230013819424,,0.11754441261291504
MarketCap,200,2023-Q1,2021-12-31,2022-12-30,2023-01-01,2023-03-31,468,0,0.00597545500633009,0.011862763602164083,0.10069279434098699,0.07027218611635555,0.03042060822463144,0.8293608365870334,0.3520161012515805,0.29366770569716233,0.1685071143976193,,0.06270766258239746
MarketCap_sector,200,2023-Q1,2021-12-31,2022-12-30,2023-01-01,2023-03-31,468,0,0.008792940763785477,0.016742376140885046,0.10630124558876797,0.07027218611635555,0.03602905947241242,0.918211423219418,0.13477726913735635,0.28300913081606055,0.1685071143976193,,0.13889002799987793
LASSO,200,2023-Q1,2021-12-31,2022-12-30,2023-01-01,2023-03-31,468,0,0.0037542394652747345,0.014308699918269328,0.08365386583376888,0.07027218611635555,0.01338167971741333,0.82313979809699,0.38266358286907126,0.297411600164895,0.12586134567804724,,2.5627505779266357
LASSO_sector,200,2023-Q1,2021-12-31,2022-12-30,2023-01-01,2023-03-31,468,0,0.007555916004677539,0.01658441054465607,0.08986248432506261,0.07027218611635555,0.019590298208707058,0.948882309783575,0.22257384788792736,0.2582144018867153,0.12586134567804724,,2.2289576530456543
MIQP_Gurobi,200,2023-Q1,2021-12-31,2022-12-30,2023-01-01,2023-03-31,468,0,0.0038435817017757876,0.01465300348921857,0.08216584798233417,0.07027218611635555,0.011893661865978622,0.8283611783092848,0.42896653279642283,0.2896584828513155,0.11722310669615509,,0.6669719219207764
Layered,200,2023-Q1,2021-12-31,2022-12-30,2023-01-01,2023-03-31,468,0,0.005179469989426981,0.013827606311150093,0.08186846208160925,0.07027218611635555,0.0115962759652537,0.8799823964328795,0.3565771294116389,0.258788157447986,0.11238207353934243,,180.22212934494019
Stratified,50,2023-Q2,2022-03-31,2023-03-31,2023-04-01,2023-06-30,468,0,0.018006538656708117,0.02341679593958794,0.09503827243211593,0.0829992916950808,0.012038980737035132,0.8967015738431021,0.6167236665446306,0.597303820719415,0.3508708418375058,0.34792394421353057,0.0300595760345459
Stratified_sector,50,2023-Q2,2022-03-31,2023-03-31,2023-04-01,2023-06-30,468,0,0.030810700774138396,0.036048031530394715,0.11278286347998723,0.0829992916950808,0.029783571784906426,1.0135646336812953,0.2941177481030156,0.36868736249572076,0.3508708418375058,0.4210026542040286,0.04909634590148926
MarketCap,50,2023-Q2,2022-03-31,2023-03-31,2023-04-01,2023-06-30,468,0,0.01917592029077553,0.022914382910203698,0.1010479911065818,0.0829992916950808,0.018048699411501,0.8982328425898275,0.6058542702612205,0.5721169598662367,0.36919165565814305,0.3850085602746507,0.009121894836425781
MarketCap_sector,50,2023-Q2,2022-03-31,2023-03-31,2023-04-01,2023-06-30,468,0,0.02362811423032201,0.025039955127423637,0.09894743999375377,0.0829992916950808,0.01594814829867297,0.9807761460031357,0.2974237773739098,0.5239343772839579,0.36919165565814305,0.34968000578820535,0.052838802337646484
LASSO,50,2023-Q2,2022-03-31,2023-03-31,2023-04-01,2023-06-30,468,0,0.01257631688011623,0.017889940657660627,0.0747903685446143,0.0829992916950808,-0.008208923150466507,1.0404629310404707,0.6176831650944867,0.7421361297461964,0.26290995339805234,1.0099698830207406,2.020937204360962
LASSO_sector,50,2023-Q2,2022-03-31,2023-03-31,2023-04-01,2023-06-30,468,0,0.017558592214991627,0.01879847315176273,0.0769297119170469,0.0829992916950808,-0.006069579778033907,1.070227431586535,0.3883572109240568,0.6327571895232638,0.26290995339805234,0.9997334639838512,2.0065205097198486
MIQP_Gurobi,50,2023-Q2,2022-03-31,2023-03-31,2023-04-01,2023-06-30,468,0,0.00784375646000507,0.020688792430916748,0.0827363237831249,0.0829992916950808,-0.0002629679119559025,0.9439627126758023,0.71106390401758,0.7383700080126354,0.24402290704464513,1.0325624712927823,120.09068727493286
Layered,50,2023-Q2,2022-03-31,2023-03-31,2023-04-01,2023-06-30,468,0,0.00973377773482472,0.025203830300829656,0.0997908674365302,0.0829992916950808,0.016791575741449405,1.065296546350878,0.6253929192437737,0.6967748360173479,0.22145771318861387,1.1559488382872956,180.24743032455444
Stratified,75,2023-Q2,2022-03-31,2023-03-31,2023-04-01,2023-06-30,468,0,0.01346787821587662,0.018566505919567915,0.09384440965733187,0.0829992916950808,0.010845117962251072,0.8225785838334174,0.5447855274441659,0.529022987409062,0.28738819034746865,0.4280566892276128,0.04155898094177246
Stratified_sector,75,2023-Q2,2022-03-31,2023-03-31,2023-04-01,2023-06-30,468,0,0.020008191700697616,0.025302447700804635,0.09183205397725946,0.0829992916950808,0.008832762282178663,0.937564249910161,0.2458148506468604,0.3924747076120532,0.28738819034746865,0.37288288195934605,0.05969524383544922
